lemma	sense	pos	definitionEn	definitionZh	usageExplanationZh	exampleEn	exampleZh
bacterium	noun	noun	a single-celled microorganism, some of which cause disease	細菌	單數形式為 bacterium，複數為 bacteria；常見於醫學或生物學語境，如 harmful bacteria。	A single bacterium can multiply into millions within hours.	一個細菌可以在數小時內繁殖成數百萬個。
badge	noun	noun	a small emblem worn to show identity, rank, or membership	徽章；證章	常見 name badge、police badge，指佩戴於身上表明身分或所屬的小型標誌物。	Visitors must wear a badge at all times inside the building.	訪客在大樓內必須全程配戴識別證。
badger	noun	noun	a burrowing nocturnal mammal with a black and white striped head	獾	常見於自然生態描述，屬夜行性哺乳動物；與動詞 badger（糾纏）為不同詞義，須依語境判斷。	A badger emerged from its den at dusk.	一隻獾在黃昏時從洞穴中出現。
badger	verb	verb	to persistently pester or nag someone to do something	糾纏；不斷催促	常見 badger someone into/about，語氣帶有煩人的堅持，如小孩不斷要求父母。	The children badgered their mother into buying them ice cream.	孩子們不斷纏著媽媽買冰淇淋給他們。
baffle	verb	verb	to completely confuse or puzzle someone	使困惑；難倒	常用被動語態 be baffled by，描述面對難以理解之事物時的困惑感受。	The strange results baffled even the experienced scientists.	這個奇怪的結果連經驗豐富的科學家都感到困惑。
baffle	noun	noun	a device that regulates or obstructs the flow of a fluid or sound	擋板；隔音板	常見於音響或工程術語，如 sound baffle，用來控制聲音或氣流方向，與動詞義無直接關聯。	The speaker cabinet includes a baffle to improve sound quality.	這個喇叭箱裝有擋板以改善音質。
bait	noun	noun	food used to attract and catch fish or animals	餌；誘餌	常見 fishing bait；比喻用法 take the bait 指上當、中計。	He put a worm on the hook as bait.	他把一條蟲掛在鉤子上當餌。
bait	verb	verb	to deliberately provoke or tease someone	挑釁；引誘	常見 bait someone into doing something，語氣帶負面意味，指刻意激怒對方。	Protesters tried to bait the police into overreacting.	抗議者試圖挑釁警方做出過度反應。
balcony	noun	noun	a platform projecting from the wall of a building, enclosed by a railing	陽台；(劇院的)包廂	住宅陽台或劇院樓上座位皆可用此字，需視語境判斷所指。	They had breakfast on the balcony overlooking the sea.	他們在可俯瞰大海的陽台上吃早餐。
bald	adjective	adjective	having little or no hair on the scalp	禿頭的；光禿的	也可延伸形容輪胎磨損、山頭無植被，如 bald tires。	He started going bald in his early thirties.	他三十歲出頭就開始掉髮禿頭了。
bald	verb	verb	to become bald or lose one's hair	變禿；掉髮	用法較少見，多以形容詞 bald 或 balding（正在禿頭）表達同樣概念。	He noticed he was balding rapidly after turning forty.	他四十歲後注意到自己迅速禿頭。
bale	noun	noun	a large bound bundle of goods, such as hay or cotton, for storage or transport	大捆；包	常見於農業或工業用語，如 a bale of hay，指用繩索或鐵絲捆綁成的大包。	The farmer stacked bales of hay in the barn.	農夫把一捆捆乾草堆疊在穀倉裡。
bale	verb	verb	to bind something into a large bundle	把...打包成捆	多用於農業機械語境，如 bale hay，指以機器將乾草等物壓縮捆綁。	The machine bales the straw automatically after harvest.	收割後，這台機器會自動把稻草打包成捆。
ballet	noun	noun	a classical dance form performed to music, or a theatrical piece using this style	芭蕾舞；芭蕾舞劇	可指舞蹈形式本身，也可指特定舞劇作品，如 attend a ballet。	She has studied ballet since she was five years old.	她從五歲就開始學芭蕾舞。
ballot	noun	noun	a piece of paper used to cast a secret vote	選票；投票	常見 cast a ballot（投票）、on the ballot（列於選票上），指正式選舉中的投票行為或文件。	Every registered voter received a ballot in the mail.	每位登記選民都收到郵寄的選票。
ballot	verb	verb	to vote by means of a ballot, or to conduct a vote among a group	投票表決；對...進行投票	常見於工會或組織的正式決策程序，如 ballot the members。	The union will ballot its members on the new contract.	工會將就新合約對會員進行投票表決。
banal	adjective	adjective	lacking originality or freshness; unoriginal to the point of being boring	陳腐的；平庸的	常用於評論文學、對話或想法，帶明顯負面評價，指毫無新意、了無新意。	The film's dialogue felt banal and predictable.	這部電影的對白顯得陳腐且可以預料。
bang	noun	noun	a sudden loud noise, such as an explosion	巨響；砰的一聲	常見 with a bang，也可用來形容令人印象深刻的開始或結尾，如 go out with a bang。	The door slammed shut with a loud bang.	門砰的一聲用力關上了。
bang	verb	verb	to hit something forcefully, producing a loud noise	猛敲；猛撞	常見 bang on the door、bang one's fist，強調用力撞擊產生聲響的動作。	He banged his fist on the table in frustration.	他氣得用拳頭猛敲桌子。
banish	verb	verb	to officially expel someone from a country or place	驅逐；放逐	常見被動語態 be banished from，語氣正式，多用於歷史或法律脈絡；引申可指驅除念頭或感受。	The king banished the traitor from the kingdom forever.	國王將這名叛徒永遠驅逐出王國。
banker	noun	noun	a person who manages or owns a bank, or works in banking	銀行家；銀行業者	常見於職業描述，如 an investment banker，也可泛指從事金融業的人。	Her father was a successful banker in New York.	她的父親是紐約一位成功的銀行家。
bankruptcy	noun	noun	the legal state of being unable to pay one's debts	破產	常見 file for bankruptcy（申請破產）、declare bankruptcy，屬正式法律與財經用語。	The company filed for bankruptcy after years of financial trouble.	這家公司在多年財務困境後申請破產。
banner	noun	noun	a long strip of cloth or material displaying a message, often for advertising or celebration	橫幅；旗幟	常見於遊行、廣告或網頁，如 a banner ad，指懸掛展示訊息的長條物。	Protesters carried a large banner reading "Stop the Cuts."	抗議者舉著寫有「停止刪減」的大幅橫幅。
banner	adjective	adjective	outstandingly good; exceptional	極佳的；顯著的	常見 a banner year，形容表現特別突出的一年或成果，語氣正面且較正式。	It was a banner year for the company's sales.	這一年是公司業績特別亮眼的一年。
bare	adjective	adjective	not covered or clothed; lacking decoration or content	赤裸的；空蕩的	常見 bare feet、bare walls；bare minimum 指最低限度，是常用固定搭配。	The room was bare except for a single chair.	房間裡除了一張椅子外空蕩蕩的。
barely	adverb	adverb	only just; by a very small margin	幾乎不；勉強	常修飾動詞或形容詞，如 barely enough、barely survive，強調程度極低、幾乎達不到。	She barely passed the exam.	她這次考試勉強及格。
bargain	noun	noun	an item offered or bought at a favorable price	便宜貨；划算的交易	常見 a good bargain、strike a bargain（達成協議），可指商品也可指協議本身。	I found a real bargain at the flea market today.	我今天在跳蚤市場找到一件真正的便宜貨。
bargain	verb	verb	to negotiate the terms of a purchase or agreement	討價還價；議價	常見 bargain with someone、bargain for something，強調交涉過程。	He tried to bargain with the vendor for a lower price.	他試著跟攤販討價還價，希望能便宜一點。
barge	noun	noun	a flat-bottomed boat used for transporting goods, especially on canals or rivers	駁船	常見於運河或河運語境，指運送貨物用的平底船。	Coal was transported down the river by barge.	煤炭經由駁船沿河運送。
barge	verb	verb	to move forcefully or rudely, often interrupting	闖入；莽撞地闖進	常見 barge into a room / barge in on，語氣帶不禮貌意味，指未經允許粗魯地闖入。	He barged into the meeting without knocking.	他沒敲門就闖進了會議。
bark	noun	noun	the tough outer covering of a tree's trunk and branches	樹皮	也可指狗吠聲（a dog's bark），需依語境判斷詞義；此處指樹木的外層組織。	The bark of this tree is rough and gray.	這棵樹的樹皮粗糙且呈灰色。
barn	noun	noun	a large farm building used for storing crops or housing animals	穀倉；畜舍	常見於農場描述，如 store hay in the barn，指存放穀物或飼養牲畜的建築。	The farmer keeps his tractors in the barn.	農夫把他的曳引機放在穀倉裡。
baron	noun	noun	a nobleman of a rank below viscount, or a powerful and influential businessman	男爵；企業大亨	可指貴族頭銜，也可比喻在某產業中極具權勢的人，如 a media baron。	He became known as the media baron of the region.	他成為這個地區知名的媒體大亨。
baroque	adjective	adjective	characterized by elaborate and ornate decoration, especially in art, architecture, or music from the 17th-18th century	巴洛克風格的；華麗繁複的	常修飾 art、music 或 architecture，特指歐洲十七、十八世紀的華麗藝術風格。	The cathedral's baroque interior is covered in gold leaf.	這座大教堂的巴洛克式內裝滿覆金箔。
barrel	noun	noun	a large cylindrical container, or the tube of a gun through which a bullet travels	桶；(槍的)槍管	常見 a barrel of oil（計量單位）、the barrel of a gun，須視語境判斷所指。	The wine was aged in oak barrels for two years.	這款酒在橡木桶中陳釀了兩年。
barren	adjective	adjective	(of land) too poor to produce vegetation or crops; unable to bear offspring	貧瘠的；不孕的	常修飾 land、soil，也可用於生育語境；後者現代用法較少，多改用 infertile。	Nothing grows on this barren land without irrigation.	沒有灌溉，這片貧瘠的土地上什麼都長不出來。
barren	noun	noun	a stretch of land that is unproductive and uninhabited	荒地	多見於地名或文學描述，指無法耕作、荒涼的地區，現代較少單獨使用。	The explorers crossed a vast, empty barren before reaching the coast.	探險家們穿越了一片廣闊的荒地才抵達海岸。
barrier	noun	noun	a structure or obstacle that prevents movement or progress	障礙；屏障	常見 language barrier、trade barrier，可指實體阻擋物，也可比喻造成困難的因素。	Language was the biggest barrier to her finding a job abroad.	語言是她在國外找工作最大的障礙。
barter	noun	noun	the exchange of goods or services without using money	以物易物；實物交易	常見於經濟史或非貨幣交易語境，如 a barter system。	In ancient times, barter was the main form of trade.	在古代，以物易物是主要的貿易形式。
barter	verb	verb	to exchange goods or services directly, without using money	以物易物；交換	常見 barter A for B，強調交換過程而非使用貨幣。	The villagers bartered vegetables for tools.	村民們用蔬菜換取工具。
basement	noun	noun	the floor of a building that is partly or entirely below ground level	地下室	常見 a basement apartment，指位於建築物地面層以下的樓層。	They store old furniture in the basement.	他們把舊家具存放在地下室。
basin	noun	noun	a round open container for holding liquid, or a natural low-lying area drained by a river system	盆；盆地	可指容器（wash basin），也可指地理上的流域地形（river basin），須視語境判斷。	The Amazon basin contains the world's largest rainforest.	亞馬遜盆地擁有世界上最大的雨林。
batch	noun	noun	a group of things or people processed or produced together at one time	一批；一組	常見 a batch of cookies、a batch of emails，強調同批次處理或製作。	She baked a fresh batch of cookies for the party.	她為派對烤了一批新鮮的餅乾。
batch	verb	verb	to process or handle things together as a group	分批處理；成批處理	常見於電腦或工業語境，如 batch process，指集中處理一組資料或物件。	The software batches requests to reduce server load.	這套軟體會分批處理請求，以減輕伺服器負擔。
battery	noun	noun	a device that stores and provides electrical power	電池	常見 a car battery、rechargeable battery；此字另有法律用語「毆打」義，須視語境區分。	The remote control needs a new battery.	這台遙控器需要換新電池。
bawl	verb	verb	to cry or shout loudly	大聲哭喊；大聲叫喊	常見 bawl out（大聲斥責）或單純形容嬰兒放聲大哭，語氣較粗俗、直接。	The baby began to bawl as soon as her mother left the room.	媽媽一離開房間，嬰兒就開始放聲大哭。
bead	noun	noun	a small, often round piece of material with a hole through it, used for jewelry or decoration	珠子	常見複數 beads，用於串珠飾品；也可指液體形成的小珠狀物，如 beads of sweat。	She strung colorful beads to make a bracelet.	她把彩色珠子串起來做成手鍊。
bead	verb	verb	to form into small drops, or to decorate with beads	凝結成珠；用珠子裝飾	常見 sweat beaded on his forehead，形容液體凝結成珠狀，語氣較文學化。	Sweat beaded on his forehead in the summer heat.	汗珠在夏日的炎熱中凝結在他額頭上。
beam	noun	noun	a long, sturdy piece of wood, metal, or concrete used to support a structure, or a ray of light	橫梁；光線	可指建築結構的梁柱，也可指光束，如 a beam of sunlight，須依語境判斷。	Sunlight streamed through the window in a bright beam.	陽光透過窗戶灑進一道明亮的光束。
bean	noun	noun	the edible seed or seed pod of various leguminous plants	豆子	常見 coffee bean、kidney bean，泛指各種豆科植物的種子。	She added black beans to the salad.	她在沙拉裡加了黑豆。
beard	noun	noun	hair that grows on a man's chin and cheeks	鬍子；落腮鬍	常見 grow a beard、a full beard，指下巴與臉頰的鬚毛。	He decided to grow a beard over the winter.	他決定在冬天蓄鬍。
beast	noun	noun	a large or dangerous animal, or a cruel and brutal person	野獸；殘暴的人	描述動物時語氣中性偏文學，形容人時則帶強烈負面評價，指行為殘暴無情之人。	The villagers feared the beast that roamed the forest at night.	村民們害怕夜晚在森林裡遊蕩的野獸。
beckon	verb	verb	to signal someone to come closer, typically with a hand gesture	招手示意；召喚	常見 beckon someone over/in，也可比喻用於吸引人前往，如 adventure beckons。	She beckoned him to come closer.	她招手示意他過來。
behalf	noun	noun	used to indicate that one is acting or speaking as a representative of someone else	代表；為了...的利益	固定搭配 on behalf of，意為代表某人或為某人的利益，是正式書信、演講常用語。	I am writing on behalf of my client to request a refund.	我代表我的客戶寫這封信，要求退款。
behave	verb	verb	to act or conduct oneself in a particular way, especially properly	行為舉止；表現良好	常用 behave well/badly，也可對小孩說 behave yourself（要守規矩）。	The children were told to behave themselves at the museum.	孩子們被要求在博物館裡守規矩。
behavior	noun	noun	the way in which a person or animal acts or conducts themselves	行為；舉止	常見 human behavior、animal behavior，泛指觀察得到的行為模式，是心理學常用術語。	Her behavior at the meeting surprised everyone.	她在會議上的行為舉止讓所有人都感到驚訝。
belated	adjective	adjective	coming or happening later than expected or usual	遲來的；耽誤的	常見 a belated apology、belated birthday wishes，語氣禮貌但帶有為延遲致歉的意味。	Please accept my belated congratulations on your promotion.	請接受我遲來的祝賀，恭喜你升職。
belie	verb	verb	to give a false or misleading impression of something	掩飾；與...不符	常用於書面語，如 his calm expression belied his fear，強調外表與實際情況相反。	Her calm expression belied the panic she felt inside.	她平靜的表情掩飾了內心的恐慌。
believer	noun	noun	a person who has religious faith, or who is convinced that something is true or effective	信徒；信奉者	可指宗教信仰者，也可比喻指堅信某理念或方法有效的人，如 a true believer in exercise。	After seeing the results, she became a firm believer in the new method.	看到成效後，她成了這個新方法的忠實擁護者。
bellicose	adjective	adjective	showing eagerness to fight; aggressively hostile	好戰的；好鬥的	常修飾 rhetoric、attitude 或 nation，屬正式書面語，帶明顯負面評價。	The dictator's bellicose speeches alarmed neighboring countries。	這位獨裁者好戰的言論讓鄰國感到不安。
belly	noun	noun	the front part of the body between the chest and the legs; the stomach	腹部；肚子	口語常用字，等同 stomach 但語氣較隨性，如 a belly ache（肚子痛）。	The dog rolled over to have its belly scratched.	這隻狗翻過身讓人搔牠的肚子。
beloved	adjective	adjective	dearly loved	心愛的；摯愛的	常修飾親密關係，如 beloved wife、beloved teacher，語氣溫暖且正式。	He dedicated the book to his beloved wife.	他把這本書獻給他摯愛的妻子。
beloved	noun	noun	a person who is dearly loved	心愛的人；摯愛	常見於文學或正式場合，如婚禮致詞中稱呼對方 my beloved。	She wrote a letter to her beloved before he left for war.	他出征前，她寫了一封信給她心愛的人。
belt	noun	noun	a strip of leather or fabric worn around the waist, or a distinct geographical zone	腰帶；地帶	可指衣物配件（a leather belt），也可指具有特定特徵的區域，如 the Bible Belt。	He tightened his belt after losing weight.	他瘦下來後把腰帶束緊了。
bench	noun	noun	a long seat for several people, or the position/authority of judges collectively	長椅；(法官的)席位	常見 a park bench，也可用 the bench 指司法體系中法官的職位或集合稱謂。	They sat on a bench in the park and talked for hours.	他們坐在公園的長椅上聊了好幾個小時。
bend	noun	noun	a curve or turn, especially in a road, river, or pipe	彎道；彎曲處	常見 a sharp bend in the road，指道路、河流等的轉彎處。	Slow down—there's a sharp bend ahead.	放慢速度——前面有個急彎。
beneath	adverb	adverb	in or to a lower position; underneath	在下方；在...之下	常作副詞獨立使用，如 the valley beneath，也可作介系詞接名詞，語氣較 under 正式。	From the hilltop, they could see the village beneath.	從山頂上，他們可以看到下方的村莊。
beneficial	adjective	adjective	producing good or helpful results; advantageous	有益的；有利的	常見 beneficial to/for，強調對健康、關係或發展有正面幫助。	Regular exercise is beneficial to your overall health.	規律運動對你的整體健康有益。
beneficiary	noun	noun	a person who receives money, property, or benefits from someone or something, especially after a death	受益人；受惠者	常見於法律或保險語境，如 the beneficiary of a will，指遺囑或保單指定的受益對象。	She was named the sole beneficiary of her aunt's estate.	她被指定為姑姑遺產的唯一受益人。
beneficiary	adjective	adjective	relating to or receiving a benefit, especially an ecclesiastical one	受惠的；受封的	此用法較少見且偏正式古典語境，現代英語中多以名詞形式 beneficiary 出現。	The beneficiary clergyman received the church income for life.	這位受封聖職者終身享有教會的收入。
benevolent	adjective	adjective	kind and generous, especially to those less fortunate	仁慈的；慈善的	常見 a benevolent smile、benevolent society，形容出於善意而給予幫助的態度或組織。	The benevolent old man donated most of his fortune to charity.	這位仁慈的老人把大部分財產捐給了慈善機構。
bequeath	verb	verb	to leave property or money to someone through a will	遺贈；留給	正式法律用語，常見 bequeath something to someone，指透過遺囑將財產留給他人。	He bequeathed his entire library to the university.	他把整個藏書都遺贈給了這所大學。
berate	verb	verb	to scold someone angrily and at length	嚴厲斥責	常見 berate someone for something，語氣正式且帶強烈負面情緒，指長時間、激烈地責罵。	The coach berated the team for their careless mistakes.	教練嚴厲斥責了球隊的粗心錯誤。
bereft	adjective	adjective	deprived of or lacking something, especially after a loss	喪失的；失去(親人)的	常見 bereft of，如 bereft of hope，強調因失去而空虛，語氣正式且帶悲傷色彩。	She felt utterly bereft after her husband's death.	丈夫過世後，她感到徹底的失落與空虛。
besiege	verb	verb	to surround a place with armed forces to force its surrender, or to overwhelm with requests	圍攻；包圍	軍事用語常見 besiege a city；引申可指被大量要求或問題困擾，如 be besieged with questions。	The rebels besieged the capital for three months.	叛軍圍攻首都長達三個月。
bestow	verb	verb	to formally give something as an honor or gift	授予；賦予	常見 bestow something on/upon someone，語氣正式，多用於獎項、頭銜或榮譽的授予。	The university bestowed an honorary degree on the retired professor.	這所大學授予這位退休教授榮譽學位。
betray	verb	verb	to be disloyal to someone, or to unintentionally reveal something	背叛；洩露	常見 betray a friend/trust，也可指無意中流露情緒，如 his voice betrayed his nervousness。	His trembling hands betrayed his nervousness.	他顫抖的雙手洩露了他的緊張。
bibliography	noun	noun	a list of the books and sources referred to in a piece of academic work	參考書目	常見於學術論文結尾，列出引用或參考的文獻資料。	Please include a full bibliography at the end of your thesis.	請在論文結尾附上完整的參考書目。
bile	noun	noun	a bitter fluid produced by the liver that aids digestion, or (figuratively) bitterness and anger	膽汁；怨氣	字面指消化液，比喻用法則指心中的怨恨或不滿，如 vent one's bile。	The critic's review was full of bile toward the director.	這位評論家的評論充滿了對導演的怨氣。
bilingual	adjective	adjective	able to speak two languages fluently, or involving two languages	雙語的；能說兩種語言的	常見 a bilingual education、bilingual speaker，可修飾人或政策制度。	She raised her children to be bilingual in English and Spanish.	她把孩子培養成能說英語和西班牙語的雙語者。
billow	noun	noun	a large mass of something, such as smoke or cloth, that swells or surges	(煙、布等的)大團；巨浪	常見 billows of smoke，形容如波浪般翻湧的煙霧或雲團。	Billows of black smoke rose from the burning building.	大團大團的黑煙從燃燒的建築物中升起。
billow	verb	verb	to rise, swell, or move in large waves or masses	翻湧；飄動	常見 billow out/up，形容布料、煙霧因風而膨脹翻動的樣子。	The curtains billowed in the breeze.	窗簾在微風中飄動。
bind	verb	verb	to tie or fasten securely, or to create a legal or moral obligation	綁；(法律上)使有約束力	可指實體上的綁緊（bind a wound），也可指契約或承諾具約束力（legally bound）。	The contract binds both parties to a five-year agreement.	這份合約使雙方受五年協議的約束。
biography	noun	noun	an account of a person's life written by someone else	傳記	常見 an authorized biography，指詳述某人生平的書面記述。	He wrote a biography of the famous scientist.	他為這位知名科學家撰寫了一本傳記。
biologist	noun	noun	a scientist who studies living organisms	生物學家	指從事生物學研究的專業人士，常見於學術或科學新聞語境。	The marine biologist spent years studying coral reefs.	這位海洋生物學家花了數年研究珊瑚礁。
biology	noun	noun	the scientific study of living organisms and their processes	生物學	常見學科名稱，如 study biology，也可泛指某生物的生理機制，如 human biology。	She majored in biology at university.	她大學主修生物學。
bite	noun	noun	the act of biting, or a small amount of food eaten	咬；一口(食物)	常見 take a bite、a mosquito bite，指咬合動作或被咬造成的傷口。	He took a big bite out of the sandwich.	他咬了一大口三明治。
bizarre	adjective	adjective	strikingly unusual or strange	離奇的；古怪的	常修飾難以理解或超乎常理的事件，如 a bizarre coincidence，語氣中性偏驚訝。	The detective was baffled by the bizarre circumstances of the case.	這起案件的離奇情況讓偵探感到困惑。
blade	noun	noun	the flat cutting part of a knife or tool, or a leaf of grass	刀刃；(草的)葉片	可指刀具鋒利部位，也可指細長草葉，如 a blade of grass，須依語境判斷。	He sharpened the blade of his knife before cutting the rope.	他在割繩子前先把刀刃磨利。
blame	noun	noun	responsibility for a fault or wrong	責備；過錯	常見 take the blame、place blame on，指對錯誤或過失的歸咎。	He accepted the blame for the mistake without complaint.	他毫無怨言地承擔了這次錯誤的責任。
blame	verb	verb	to hold someone responsible for a fault or wrong	責備；歸咎於	常見 blame someone for something，也可用 be to blame 表達誰該負責。	She blamed herself for the accident.	她把這場意外的責任歸咎於自己。
bland	adjective	adjective	lacking strong flavor, or lacking interesting or distinctive qualities	乏味的；平淡的	可形容食物味道清淡，也可形容個性或風格單調無趣，如 a bland personality。	The soup tasted bland without any seasoning.	這碗湯沒加調味料，喝起來很平淡。
blank	noun	noun	an empty space on a form or document to be filled in	空格；空白處	常見 fill in the blank，指表格或文件中留待填寫的空白欄位。	Please write your name in the blank at the top of the page.	請在頁面頂端的空格填上你的名字。
blank	adjective	adjective	having nothing written, printed, or recorded on it; showing no expression	空白的；茫然的	可指紙張未書寫（a blank page），也可形容表情空洞、毫無反應（a blank stare）。	She gave him a blank stare, not understanding the question.	她一臉茫然地看著他，不明白這個問題。
blank	verb	verb	to make one's mind suddenly go empty, or to ignore someone completely	腦筋一片空白；故意忽視	常見 blank on something（想不起來）或口語 blank someone（故意不理睬）。	I completely blanked on his name during the introduction.	介紹的時候我完全想不起他的名字。
blanket	noun	noun	a large piece of soft fabric used for warmth, or something that covers a wide area	毛毯；覆蓋一切之物	常見 a wool blanket，也可比喻指全面覆蓋的事物，如 a blanket of snow。	She pulled the blanket over her shoulders to keep warm.	她把毛毯拉到肩上保暖。
blanket	verb	verb	to cover something completely, as if with a blanket	覆蓋；籠罩	常見被動語態 be blanketed in/with，形容雪、霧等大面積覆蓋景象。	Snow blanketed the entire town overnight.	一夜之間，大雪覆蓋了整座城鎮。
blast	noun	noun	a sudden violent explosion, or a strong rush of air	爆炸；一陣強風	常見 a bomb blast，也可指強風或聲響，如 a blast of cold air。	The blast could be heard for miles around.	這場爆炸方圓數英里都能聽見。
blast	verb	verb	to cause an explosion, or to criticize harshly	爆破；猛烈抨擊	字面指用炸藥破壞物體；比喻用法指言詞上強烈批評，如 blast the government's policy。	Critics blasted the film for its weak plot.	評論家們猛烈抨擊這部電影劇情薄弱。
blatant	adjective	adjective	completely obvious and done without any attempt at concealment, especially of something wrong	明目張膽的；公然的	常見 a blatant lie、blatant disregard，強調毫不掩飾地做出不當行為，帶明顯負面評價。	His blatant disregard for the rules angered his colleagues.	他公然無視規則的態度激怒了同事。
bleach	verb	verb	to make something white or pale by removing its color	漂白	常見 bleach one's hair、bleach the fabric，指透過化學方式去除顏色。	She bleached her hair a light blonde.	她把頭髮漂成淺金色。
bleach	noun	noun	a chemical substance used to whiten fabric or remove stains	漂白劑	常見於家用清潔用品，如 chlorine bleach，指用於去漬或殺菌的化學藥劑。	Add a little bleach to remove the stain.	加一點漂白劑來去除這個污漬。
bleak	adjective	adjective	lacking hope or encouragement; depressing, or (of weather) cold and grim	黯淡的；荒涼的	常修飾 future、outlook 或 landscape，形容缺乏希望或景象淒涼的狀態。	The economic outlook for the region remains bleak.	這個地區的經濟前景依然黯淡。
bleed	verb	verb	to lose blood as a result of injury, or to extort money from someone	流血；榨取(金錢)	字面指身體傷口流血；比喻用法 bleed someone dry 指榨取某人的金錢，語氣負面。	The company bled the small business dry with excessive fees.	這家公司用過高的費用榨乾了這家小企業。
blend	verb	verb	to mix different substances or elements together thoroughly	混合；融合	常見 blend ingredients together，也可比喻指風格或元素的融合，如 blend tradition with modernity。	Blend the flour, sugar, and eggs until smooth.	把麵粉、糖和雞蛋混合攪拌至滑順。
blend	noun	noun	a mixture of different substances, styles, or qualities	混合物；混合體	常見 a blend of coffee beans，也可指抽象概念的融合，如 a blend of humor and drama。	This coffee is a blend of beans from three different countries。	這款咖啡是三個不同國家咖啡豆的混合。
bless	verb	verb	to ask for God's favor and protection for someone, or to be fortunate to have something	祝福；(幸運地)擁有	常見 bless someone with something，也可用宗教儀式中的祝禱，如 bless the food。	They were blessed with three healthy children.	他們幸運地擁有三個健康的孩子。
