lemma	sense	pos	definitionEn	definitionZh	usageExplanationZh	exampleEn	exampleZh
utility	noun	noun	the state of being useful, or a public service such as electricity or water	實用性；公用事業	常見 public utility（公用事業，如水電瓦斯），也可泛指某物的實用價值。	The gadget's utility outweighs its high price.	這個裝置的實用性超過了它高昂的價格。
utilize	verb	verb	to make practical and effective use of something	利用；使用	語氣比 use 更正式，常見於書面或商業情境，如 utilize resources。	The team utilized every available resource to meet the deadline.	這個團隊利用了每一項可用的資源以趕上截止期限。
utter	verb	verb	to say something, especially something brief	說出；發出（聲音）	常見 utter a word/sound，語氣正式，強調開口說話這個動作本身。	He didn't utter a single word during the entire meeting.	他在整場會議中一句話都沒說。
utterance	noun	noun	a spoken word, statement, or vocal sound	言詞；發言	語言學或正式書面用語，指說出口的話語或聲音單位。	Her every utterance was recorded for the official transcript.	她的每一句發言都被記錄下來作為正式文字紀錄。
utterly	adverb	adverb	completely and totally	完全地；徹底地	常修飾負面形容詞，如 utterly ridiculous/exhausted，語氣強烈。	The plan was utterly ridiculous from the start.	這項計畫從一開始就完全荒謬。
vacancy	noun	noun	an available job position, or an unoccupied room in a hotel	空缺（職位）；空房	常見 job vacancy、hotel vacancy，指目前無人佔用或未被填補的位置。	The hotel had no vacancies during the holiday weekend.	這家飯店在假日週末沒有空房。
vaccinate	verb	verb	to give someone a vaccine to protect against a disease	接種疫苗	常見 vaccinate against，指施打疫苗以預防特定疾病，語氣中性醫學用語。	Parents are encouraged to vaccinate their children against measles.	家長們被鼓勵讓孩子接種麻疹疫苗。
vaccine	noun	noun	a substance used to stimulate immunity to a disease	疫苗	常見 receive/develop a vaccine，指用來預防疾病的醫學製劑。	Scientists developed a new vaccine in record time.	科學家們以破紀錄的速度研發出一款新疫苗。
vacillate	verb	verb	to waver between different opinions or actions; to be indecisive	猶豫不決；搖擺不定	常接 vacillate between A and B，語氣書面，強調難以做出決定的狀態。	He vacillated between accepting and rejecting the job offer.	他在接受與拒絕這份工作邀約之間猶豫不決。
vacuum	noun	noun	a space entirely empty of matter, or a device for cleaning by suction	真空；吸塵器	常見 a power vacuum（權力真空），也可指 vacuum cleaner 的簡稱。	Nature abhors a vacuum, both literally and figuratively.	無論是字面上還是比喻上，自然界都厭惡真空狀態。
vacuum	verb	verb	to clean a surface using a vacuum cleaner	用吸塵器清潔	日常家務動詞，直接接受詞，如 vacuum the carpet。	She vacuums the living room every Saturday morning.	她每週六早上都會用吸塵器清潔客廳。
vague	adjective	adjective	not clearly expressed or defined; uncertain	模糊的；含糊的	常修飾 description、idea、memory，強調不明確、不具體的性質。	His explanation was too vague to be useful.	他的解釋太過模糊，沒有實際幫助。
vain	adjective	adjective	having excessive pride in one's appearance or achievements, or producing no result	自負的；徒勞的	兩義：形容人愛慕虛榮（she is vain），或指努力沒有效果（in vain）。	They tried in vain to revive the drowning victim.	他們試圖搶救溺水者，卻徒勞無功。
valiant	adjective	adjective	showing courage or determination	勇敢的；英勇的	常修飾 effort、attempt，強調面對困難仍堅持不懈的勇氣，語氣書面。	Despite a valiant effort, the team lost the final match.	儘管付出英勇的努力，這支隊伍仍輸掉了決賽。
valid	adjective	adjective	legally or officially acceptable, or based on sound reasoning	有效的；合理的	常見 a valid passport（有效護照）、a valid argument（合理的論點），依語境略有不同。	Your driver's license is no longer valid after it expires.	你的駕照過期後就不再有效。
validity	noun	noun	the quality of being legally or officially acceptable, or logically sound	有效性；正當性	常見 question the validity of，指對某事合法性或論證正確性的質疑。	The researchers questioned the validity of the survey's methodology.	研究人員質疑這項調查方法的有效性。
valuation	noun	noun	an estimation of the worth or value of something	估價；評估價值	常見於財務或房地產情境，如 property valuation（房產估價）。	The company's valuation rose sharply after the merger.	這家公司的估值在合併後大幅上升。
valve	noun	noun	a device that regulates the flow of a liquid or gas by opening or closing a passage	閥門；活門	常見於機械、水管或心臟結構描述，如 heart valve（心臟瓣膜）。	The plumber replaced the faulty valve in the water pipe.	水管工更換了水管中故障的閥門。
vandalism	noun	noun	deliberate destruction of or damage to public or private property	蓄意破壞（財物）	常見 an act of vandalism，強調惡意毀損他人財物的行為，語氣負面。	The playground was closed after an act of vandalism.	這座遊樂場在遭到蓄意破壞後便關閉了。
vanilla	noun	noun	a flavoring derived from the pods of a tropical orchid, or something plain and ordinary	香草；（比喻）平淡無奇之物	字面義指香草口味；口語比喻用法指普通、無特色的事物，如 a vanilla plan。	She ordered a scoop of vanilla ice cream.	她點了一球香草冰淇淋。
vanish	verb	verb	to disappear suddenly and completely	消失；突然不見	常見 vanish into thin air（憑空消失），語氣帶有戲劇性或神秘感。	The magician made the coin vanish before our eyes.	魔術師讓那枚硬幣在我們眼前消失了。
vanity	noun	noun	excessive pride in one's own appearance or achievements	虛榮心；自負	常見 out of vanity（出於虛榮心），語氣帶輕微負面評價。	He refused to wear glasses out of sheer vanity.	他純粹出於虛榮心而拒絕戴眼鏡。
variable	noun	noun	an element or factor that is liable to vary or change	變數；可變因素	常見於科學、數學或統計語境，指可能改變的量或條件。	Weather is a major variable that could affect the outcome.	天氣是可能影響結果的一項主要變數。
variable	adjective	adjective	not consistent or having a fixed pattern; likely to change	多變的；可變的	常修飾 weather、rate、quality，強調不穩定、容易改變的特性。	The interest rate on this loan is variable, not fixed.	這筆貸款的利率是浮動的，並非固定利率。
variance	noun	noun	the fact or quality of being different, divergent, or inconsistent	差異；不一致	常見 at variance with（與……不一致），語氣正式書面。	Her account of events was at variance with the witness's testimony.	她對事件的描述與這名證人的證詞不一致。
variant	adjective	adjective	differing from a standard or type, but similar in most respects	不同版本的；變異的	常修飾 spelling、form、virus strain，強調與標準略有差異的版本。	"Colour" is a variant spelling of "color."	"colour" 是 "color" 的一種變體拼法。
variation	noun	noun	a change or difference in condition, amount, or level	變化；差異	常見 variation in temperature/price，指某事物在程度或狀態上的改變或不同。	There was significant variation in exam scores between classes.	各班之間的考試成績存在顯著差異。
varnish	noun	noun	a liquid that dries to form a hard, clear, shiny surface on wood	亮光漆；清漆	常見於木工或美術用語，用於保護並增加木材表面的光澤。	He applied a coat of varnish to protect the wooden table.	他塗了一層亮光漆來保護這張木桌。
varnish	verb	verb	to coat something with varnish	上漆；塗亮光漆	直接接受詞，如 varnish the floor，指塗覆保護性亮光塗料的動作。	She varnished the shelves before putting the books back.	她在把書放回去之前先為架子上了亮光漆。
vary	verb	verb	to differ or become different in size, amount, degree, or nature	不同；變化	常接 vary from A to B 或 vary depending on，強調事物之間或隨條件而有的差異。	Prices vary depending on the season and demand.	價格會依季節與需求而有所不同。
vascular	adjective	adjective	relating to blood vessels or veins in the body or in plants	血管的；脈管的	醫學或生物用語，常見 vascular disease/system，指與血管系統相關的事物。	He was diagnosed with a vascular disease affecting his legs.	他被診斷出患有影響雙腿的血管疾病。
vast	adjective	adjective	extremely large in area, size, amount, or extent	廣大的；巨大的	常修飾 area、amount、majority，強調規模或數量極為龐大，語氣書面。	The vast majority of students passed the exam.	絕大多數學生都通過了這場考試。
veer	verb	verb	to change direction suddenly	突然轉向；偏離	常見 veer off course/to the left，也可比喻指話題或計畫突然改變方向。	The car veered off the road to avoid the deer.	那輛車為了閃避那隻鹿而突然偏離道路。
vegetation	noun	noun	plants collectively, especially those found in a particular area	植被；草木	集合名詞，泛指某地區的植物整體，常見於地理或生態描述。	Thick vegetation covered the hillside after years of neglect.	多年疏於整理後，濃密的植被覆蓋了這座山坡。
vein	noun	noun	one of the tubes that carry blood to the heart, or a distinctive style or quality	靜脈；（比喻）風格；一絲	字面義指血管；比喻用法如 in a similar vein（以類似的風格），也可指 a vein of humor（一絲幽默）。	The nurse found it difficult to locate a vein for the injection.	護理師發現很難找到血管以進行注射。
velocity	noun	noun	the speed of something in a given direction	速度；速率	物理學用語，強調含方向性的速度，常見 high velocity（高速）。	The bullet traveled at an extremely high velocity.	這顆子彈以極高的速度飛行。
velvet	noun	noun	a fabric with a thick, soft pile on one side	絲絨；天鵝絨	常見於布料描述，如 a velvet dress，質感柔軟厚實。	The curtains were made of deep red velvet.	這些窗簾是用深紅色的絲絨製成的。
vendor	noun	noun	a person or company that sells goods or services	小販；供應商	常見 a street vendor（街頭小販）、a software vendor（軟體供應商），依語境指販售者。	Street vendors sold fresh fruit along the market road.	街頭小販沿著市場道路販售新鮮水果。
veneer	noun_material	noun	a thin decorative layer of fine wood covering a coarser one	（木材）貼皮；薄板	家具工藝用語，指覆蓋在較粗糙材質表面的薄層裝飾木材。	The table's oak veneer gave it an expensive look.	這張桌子的橡木貼皮讓它看起來很高級。
veneer	noun_figurative	noun	a superficial or false appearance of a good quality	（比喻）表面的假象；外表	比喻用法，指掩蓋真實本質的表面裝飾，如 a veneer of civility。	Beneath his veneer of politeness lay real hostility.	在他表面的禮貌之下，其實藏著真正的敵意。
venerable	adjective	adjective	accorded great respect, especially because of age, wisdom, or character	受人尊敬的；德高望重的	常修飾年長或資深人士，如 a venerable scholar，語氣正式且帶敬意。	The venerable professor had taught at the university for fifty years.	這位德高望重的教授已在這所大學任教五十年。
venerate	verb	verb	to regard with great respect or reverence	崇敬；敬仰	常接 venerate someone/something as，語氣正式書面，強調深切的敬意。	The ancient philosopher is still venerated by scholars today.	這位古代哲學家至今仍受到學者的崇敬。
vengeance	noun	noun	punishment inflicted in retaliation for an injury or wrong	復仇；報復	常見 seek/take vengeance，語氣強烈，強調因受害而採取的報復行為。	He swore vengeance against those who had betrayed him.	他發誓要向那些背叛他的人復仇。
ventral	adjective	adjective	relating to or situated on the underside of an animal or plant	腹部的；腹側的	生物學用語，與 dorsal（背部的）相對，常用於描述動物身體構造。	The fish has distinctive markings on its ventral surface.	這隻魚的腹側表面有明顯的斑紋。
venture	noun	noun	a risky or daring undertaking, especially in business	冒險；創業（事業）	常見 a business venture（創業計畫），強調帶有風險的新事業或行動。	Their new business venture required significant startup capital.	他們的新創業計畫需要大量的創業資金。
venture	verb	verb	to undertake something risky, or to dare to go somewhere	冒險（去做）；敢於前往	常接 venture into/out，強調不顧風險嘗試或前往某處。	Few explorers dared to venture into the uncharted jungle.	很少有探險家敢冒險進入這片未經探勘的叢林。
venue	noun	noun	the place where an event or meeting takes place	場地；地點	常見於活動、比賽、婚禮等安排，如 a wedding venue（婚禮場地）。	They booked a venue for the conference months in advance.	他們提前好幾個月就預訂了這場會議的場地。
verbal	adjective	adjective	relating to or in the form of words, especially spoken rather than written	言語的；口頭的	常見 verbal agreement（口頭協議）、verbal skills（言語表達能力），與 written 相對。	They reached a verbal agreement before signing the contract.	他們在簽約前先達成了口頭協議。
verdict	noun	noun	a decision on a disputed issue in a court case, or an opinion or judgment	裁決；判決；定論	法律用語常見 reach a verdict（做出裁決），也可泛指對某事的整體評價。	The jury reached a guilty verdict after three days of deliberation.	陪審團經過三天的商議後做出了有罪的裁決。
verge	noun	noun	the edge or brink of something, especially a point beyond which something will happen	邊緣；瀕臨	常見 on the verge of（瀕臨……的邊緣），後接 tears、collapse 等，強調即將發生的狀態。	The company was on the verge of bankruptcy last year.	這家公司去年一度瀕臨破產邊緣。
verge	verb	verb	to be close to becoming or being something	接近；瀕於	常接 verge on，如 verge on the absurd（近乎荒謬），語氣書面。	His enthusiasm verged on obsession.	他的熱忱幾乎到了著迷的程度。
verify	verb	verb	to make sure or demonstrate that something is true or accurate	核實；驗證	常見 verify information/identity，強調確認事實或身分的正確性。	Please verify your email address to complete registration.	請驗證您的電子郵件地址以完成註冊。
veritable	adjective	adjective	used to emphasize the aptness of a metaphor or description	名副其實的；真正的	常置於名詞前加強語氣，如 a veritable feast（名副其實的盛宴），語氣帶修辭性。	The buffet was a veritable feast of international cuisine.	這場自助餐堪稱是一場名副其實的國際美食盛宴。
versatile	adjective	adjective	able to adapt or be adapted to many different functions or activities	多才多藝的；用途廣泛的	常修飾 person、tool、material，強調適應多種用途或角色的能力。	She is a versatile actress who can play both comedy and drama.	她是位多才多藝的女演員，喜劇和正劇都能勝任。
verse	noun	noun	writing arranged with a metrical rhythm, or a group of lines in a poem or song	詩；（詩歌或歌曲的）段落	常見 free verse（自由詩），也可指歌曲或聖經中的一節、一段。	He memorized every verse of his favorite poem.	他把自己最喜歡那首詩的每一段都背了下來。
verse	verb	verb	to make someone familiar with a subject through experience or study	使熟悉；使精通	較少見，常見被動語態 be versed in（精通於……），語氣書面正式。	She is well versed in international law.	她非常精通國際法。
vertical	adjective	adjective	at a right angle to a horizontal surface; upright	垂直的；豎直的	與 horizontal（水平的）相對，常見 vertical line/axis，用於幾何、建築等描述。	The climbers scaled a nearly vertical rock face.	這些攀岩者攀爬了一面近乎垂直的岩壁。
vessel	noun	noun	a ship or large boat, or a container for liquid	船隻；容器	常見 a fishing vessel（漁船），也可指盛裝液體的容器，如 a blood vessel（血管）。	The cargo vessel docked at the port early in the morning.	這艘貨船在清晨時分靠了港。
veteran	noun	noun	a person who has had long experience in a particular field, especially former military service	老手；資深人士；退伍軍人	常見 a war veteran（退伍軍人），也可泛指某領域經驗豐富的人，如 a veteran journalist。	The war veteran shared his experiences with the students.	這位退伍軍人和學生們分享了他的經歷。
viability	noun	noun	the ability to work successfully; feasibility	可行性；生存能力	常見 assess the viability of a plan（評估計畫的可行性），語氣正式，多用於商業或科學語境。	Investors questioned the long-term viability of the startup.	投資人質疑這家新創公司長期的可行性。
vibrate	verb	verb	to move with small rapid movements back and forth	震動；顫動	常見 the phone vibrates（手機震動），也可用於物理學描述分子或聲音的振動。	Her phone vibrated silently in her pocket during the meeting.	會議期間，她的手機在口袋裡靜靜地震動著。
vicar	noun	noun	a priest in the Church of England responsible for a parish	（英國國教）教區牧師	英國國教特有職稱，指負責某教區事務的神職人員，文化特定詞彙。	The vicar delivered a moving sermon at Sunday service.	這位教區牧師在週日禮拜中發表了一場動人的講道。
vicious	adjective	adjective	cruel or violent, or (of an animal) dangerously aggressive	兇惡的；惡毒的	常修飾 attack、dog、rumor，強調殘暴或惡意的性質，語氣強烈負面。	The vicious dog attacked the mail carrier.	那隻兇惡的狗攻擊了郵差。
victimize	verb	verb	to single someone out for cruel or unjust treatment	使受害；欺凌	常見被動語態 be victimized，強調因偏見或不公而受到不當對待。	She felt victimized by her coworkers' constant criticism.	她覺得自己因同事持續的批評而受到欺凌。
victor	noun	noun	a person who defeats an enemy or opponent; a winner	勝利者；獲勝者	語氣較 winner 正式，常見於戰爭、比賽等競爭性情境。	History is often written by the victors.	歷史往往是由勝利者所書寫的。
vigorous	adjective	adjective	strong, healthy, and full of energy, or carried out with great physical effort	精力充沛的；強而有力的	常修飾 exercise、debate、defense，強調充滿活力或力道十足的性質。	She gave a vigorous defense of her research findings.	她強而有力地為自己的研究成果辯護。
vile	adjective	adjective	extremely unpleasant or morally bad	惡劣的；可惡的	常修飾 taste、smell、behavior，語氣強烈負面，帶厭惡感。	The medicine had a vile taste that made him gag.	這種藥的味道很難聞，讓他想吐。
vindicate	verb	verb	to clear someone of blame or suspicion, or to prove something to be right	為……洗清罪名；證明……是對的	常見 be vindicated by（因……而被證明無辜或正確），語氣正式。	Years later, new evidence vindicated the wrongly accused man.	多年後，新證據還了這名被冤枉男子的清白。
vine	noun	noun	a climbing or trailing plant, especially one that produces grapes	藤蔓；葡萄藤	常見於農業或植物描述，如 grape vines（葡萄藤），也可泛指攀爬性植物。	They grow grapes on vines along the hillside.	他們在山坡上種植葡萄藤來栽培葡萄。
vinegar	noun	noun	a sour liquid used for flavoring or preserving food, made from fermented alcohol	醋	常見於烹飪語境，如 oil and vinegar（油醋醬），日常食品用語。	She added a splash of vinegar to the salad dressing.	她在沙拉醬裡加了一點醋。
violate	verb	verb	to break or fail to comply with a rule or law, or to fail to respect someone's rights	違反；侵犯	常見 violate a law/rule/privacy，強調不遵守規範或侵害他人權益。	The company violated environmental regulations for years.	這家公司多年來一直違反環保法規。
violation	noun	noun	an act of violating a law, rule, or someone's rights	違反；侵犯（行為）	常見 a violation of human rights（侵犯人權），與 violate 為名詞形式對應。	The inspection revealed several safety violations at the factory.	這次檢查揭露了工廠內數項安全違規事項。
violent	adjective	adjective	using or involving physical force to cause harm, or very intense	暴力的；猛烈的	常修飾 crime、storm、reaction，強調具有破壞性或極端強度的性質。	The city has seen a rise in violent crime this year.	這座城市今年暴力犯罪案件有所上升。
virtual	adjective	adjective	almost or nearly as described, but not completely so, or existing in a computer-simulated form	實質上的；虛擬的	常見 virtual reality（虛擬實境），也可指近乎某狀態但非正式承認，如 a virtual monopoly（實質上的壟斷）。	The company enjoys a virtual monopoly in this market.	這家公司在這個市場中享有實質上的壟斷地位。
virtually	adverb	adverb	almost or nearly; for all practical purposes	幾乎；實際上	常修飾動詞或形容詞，如 virtually impossible（幾乎不可能），強調程度接近完全。	It's virtually impossible to finish the project by tomorrow.	明天之前完成這個專案幾乎是不可能的。
virtue	noun	noun	behavior showing high moral standards, or a good or useful quality	美德；優點	常見 by virtue of（憑藉；由於），也可泛指值得稱讚的特質，如 patience is a virtue。	Patience is considered a virtue in many cultures.	在許多文化中，耐心都被視為一種美德。
virtuous	adjective	adjective	having or showing high moral standards	有德行的；善良的	常修飾 person、behavior，強調品行端正、合乎道德的性質，語氣正式。	He was known as a virtuous and honest leader.	他以德行高尚、誠實正直的領袖形象著稱。
virulent	adjective	adjective	extremely severe or harmful in its effects, or (of a disease) highly infectious	劇毒的；致命的；（言論）惡毒的	字面義指病原體高度致病或傳染；比喻用法可形容言語極具攻擊性，如 virulent criticism。	The virulent strain of flu spread rapidly through the city.	這種致命的流感病毒株迅速在城市中蔓延開來。
virus	noun	noun	a microorganism that causes disease, or a piece of malicious computer code	病毒（生物或電腦）	常見於醫學或資訊科技語境，如 a computer virus（電腦病毒），依語境判斷指涉對象。	The antivirus software detected and removed the virus.	這款防毒軟體偵測並移除了這個病毒。
visa	noun	noun	an official document or stamp permitting entry into a country	簽證	常見 apply for a visa、a tourist visa，指政府核發允許入境的官方文件。	She applied for a student visa to study abroad.	她申請了學生簽證以出國留學。
visceral	adjective	adjective	relating to deep inward feelings rather than reason; instinctive	發自內心的；本能的	常修飾 reaction、fear，強調不經理性思考、直接源於本能的強烈感受，語氣書面。	The film provoked a visceral reaction of fear in the audience.	這部電影引發了觀眾發自內心的恐懼反應。
visual	adjective	adjective	relating to seeing or sight	視覺的；視力的	常見 visual aid（視覺輔助教材）、visual effects（視覺效果），泛指與觀看相關的事物。	The presentation included several visual aids to explain the data.	這場簡報使用了數種視覺輔助教材來說明數據。
vital	adjective	adjective	absolutely necessary or essential; full of energy	極重要的；充滿活力的	常見 vital importance/role，強調不可或缺，也可形容人朝氣蓬勃，如 vital and energetic。	Clean water is vital to public health.	乾淨的水對公共衛生極為重要。
vivid	adjective	adjective	producing powerful feelings or clear images in the mind, or (of color) very bright	生動的；鮮明的	常修飾 memory、description、color，強調清晰、逼真或色彩鮮豔的性質。	She has a vivid memory of her first day at school.	她對開學第一天有著非常生動鮮明的記憶。
vocabulary	noun	noun	the body of words used in a particular language or by a particular person	詞彙；語彙	常見 expand one's vocabulary（擴充詞彙量），語言學習常用詞。	Reading widely helps expand your English vocabulary.	廣泛閱讀有助於擴充你的英文詞彙量。
vocal	adjective	adjective	relating to the human voice, or expressing opinions loudly and forcefully	聲音的；直言不諱的	常見 vocal cords（聲帶），也可形容人敢於公開表達意見，如 a vocal critic。	She has been a vocal critic of the new policy.	她一直是這項新政策的直言不諱的批評者。
vocational	adjective	adjective	relating to training for a particular job or career	職業的；技職的	常見 vocational training/school（職業訓練／技職學校），強調與特定職業技能相關。	He enrolled in a vocational school to learn welding.	他進入一所技職學校學習焊接技術。
volatile	adjective_unstable	adjective	likely to change unpredictably, especially becoming worse or more dangerous	不穩定的；動盪的	常修飾 market、situation、mood，強調容易劇烈變化且難以預測，語氣書面。	The stock market remained highly volatile throughout the week.	整週股市一直維持高度不穩定的狀態。
volatile	adjective_chemistry	adjective	(of a substance) evaporating readily at normal temperatures	易揮發的	化學用語，指物質在常溫下容易蒸發，常見 volatile organic compounds。	Volatile chemicals should be stored in a well-ventilated area.	易揮發的化學物質應存放在通風良好的地方。
volcanic	adjective	adjective	relating to or produced by a volcano	火山的	常見 volcanic eruption/ash，泛指與火山活動相關的事物或現象。	The island was formed entirely by volcanic activity.	這座島嶼完全是由火山活動所形成的。
volcano	noun	noun	a mountain or hill with an opening through which lava erupts	火山	常見 an active/dormant volcano（活火山／休眠火山），地理學基本詞彙。	The volcano erupted, sending ash miles into the sky.	這座火山爆發，將火山灰噴發到數英里高的天空中。
volley	noun	noun	a number of things thrown or fired at the same time, or a hit in tennis before the ball bounces	齊射；（網球）截擊	字面義指同時射出的多枚炮彈或箭矢；體育用語則指球未落地前擊出。	He returned the serve with a powerful volley at the net.	他在網前用一記有力的截擊回擊了這記發球。
volley	verb	verb	to hit a ball before it touches the ground, or to fire or throw many things at once	截擊（球）；齊射	網球等運動中常見動作，也可指同時發射多發武器。	She volleyed the ball back over the net with ease.	她輕鬆地將球截擊回網子的另一邊。
voltage	noun	noun	the force that drives an electric current, measured in volts	電壓	電學基本詞彙，常見 high/low voltage，用於描述電力系統或設備規格。	The device requires a stable voltage to operate safely.	這個裝置需要穩定的電壓才能安全運作。
voluminous	adjective	adjective	occupying or containing a large amount of space; large in volume	龐大的；大量的	常修飾 clothing（寬鬆蓬鬆的衣物）或 notes、correspondence（大量的文件、信件），語氣書面。	She wore a voluminous skirt that swirled as she danced.	她穿著一件寬大蓬鬆的裙子，跳舞時裙擺翩翩飛揚。
voluntary	adjective	adjective	done or given willingly, without being forced or paid	自願的；志願的	常見 voluntary work（志願服務），與 compulsory（強制的）相對。	She spends her weekends doing voluntary work at the shelter.	她週末都在收容所做志願服務工作。
volunteer	noun	noun	a person who freely offers to do something, especially unpaid work	志工；自願者	常見 work as a volunteer，指主動且通常無償提供協助的人。	Hundreds of volunteers helped clean up the beach after the storm.	暴風雨過後，數百名志工協助清理了這片海灘。
volunteer	verb	verb	to freely offer to do something, especially without payment	自願（做某事）	常接 volunteer to do something 或 volunteer for，強調主動、不求回報的行為。	He volunteered to stay late and finish the report.	他自願留下來加班完成這份報告。
vomit	verb	verb	to eject the contents of the stomach through the mouth	嘔吐	常見 vomit blood/food，日常醫學用語，描述生理反應。	The child vomited after eating too much candy.	這個孩子吃了太多糖果後嘔吐了。
vomit	noun	noun	matter ejected from the stomach through the mouth	嘔吐物	字面指嘔吐時排出的物質，常見於醫療或清潔描述情境。	The nurse cleaned up the vomit from the hospital floor.	護理師清理了醫院地板上的嘔吐物。
voracious	adjective	adjective	having a very eager approach to an activity, especially eating	貪吃的；如飢似渴的	常見 a voracious reader/appetite，強調對食物或活動有強烈且難以滿足的慾望。	She is a voracious reader who finishes a novel every week.	她是個如飢似渴的讀者，每週都能讀完一本小說。
voucher	noun	noun	a document that can be exchanged for goods or services, or that entitles the holder to a discount	禮券；優惠券	常見 a gift voucher（禮券）、a discount voucher（折價券），商業消費常用詞。	She received a gift voucher for her birthday.	她收到了一張生日禮券作為禮物。
vulnerable	adjective	adjective	exposed to the possibility of being attacked or harmed, physically or emotionally	易受傷害的；脆弱的	常見 vulnerable to attack/criticism，強調缺乏保護、容易受到傷害的狀態。	Elderly people are more vulnerable to complications from the flu.	老年人更容易因流感而出現併發症。
