lemma	sense	pos	definitionEn	definitionZh	usageExplanationZh	exampleEn	exampleZh	collocations
enslave	verb	verb	to make someone a slave, or to deprive someone of freedom and control over their own life	奴役；使成為奴隸	可用於歷史上的實際奴役，也可比喻性地指被某事物（如毒品、科技）控制而失去自主。	The regime enslaved thousands of prisoners of war.	該政權奴役了數千名戰俘。	[{"text":"enslave a population","meaningZh":"奴役一地的人民"}]
ensue	verb	verb	to happen after or as a result of something else	隨之發生；接著發生	不及物動詞，常見於描述事件先後順序，如 chaos/silence ensued；語氣正式，多用於書面。	A heated argument ensued after the announcement.	公告發布後，隨即爆發了一場激烈的爭論。	[{"text":"chaos ensued","meaningZh":"混亂隨之而來"}]
entail	verb	verb	to involve something as a necessary part or consequence	必然包含；需要	及物動詞，後接名詞或動名詞，如 entail risk、entail spending money；語氣正式，常見於描述工作或計畫的必要條件。	The job entails a lot of overtime work.	這份工作需要大量的加班。	[{"text":"entail considerable risk","meaningZh":"必然涉及相當大的風險"}]
entail	noun	noun	a legal restriction limiting the inheritance of property to a specified line of heirs	限定繼承（法律用語，限定財產只能傳給特定繼承人）	法律專有名詞，日常對話極少使用，多見於歷史小說或法律文本，如 an entail on the estate。	Under the old entail, the estate could only pass to a male heir.	依照舊時的限定繼承制度，這處地產只能傳給男性繼承人。	[{"text":"break the entail","meaningZh":"解除限定繼承"}]
entangle	verb	verb	to cause something to become twisted together with something else, or to involve someone in a complicated situation	使纏繞；使捲入（複雜情況）	常見被動 be entangled in/with，可指實體纏繞（如魚網），也可比喻捲入糾紛或關係。	The fishing net became entangled in the boat's propeller.	漁網纏繞在船的螺旋槳上。	[{"text":"be entangled in","meaningZh":"陷入或捲入……"}]
enterprise	noun	noun	a company or business, especially a new or risky one	企業；事業	常見 a private/commercial enterprise；也可指「進取精神」（free enterprise 自由企業制度）。	The government offers tax breaks to small enterprises.	政府對小型企業提供稅務優惠。	[{"text":"a small enterprise","meaningZh":"小型企業"}]
entertain	verb	verb	to provide people with enjoyment or amusement	娛樂；使開心	及物動詞，常接人作受詞，如 entertain the guests；語氣中性，用於表演、活動等場合。	The clown entertained the children with balloon animals.	小丑用氣球動物娛樂孩子們。	[{"text":"entertain guests","meaningZh":"招待賓客使其開心"}]
entertain	verb_consider	verb	to consider or give attention to an idea, possibility, or feeling	考慮；抱持（想法）	常接抽象名詞，如 entertain the idea/possibility/doubt，語氣正式，常見於否定句 won't entertain。	She refused to entertain any doubts about the plan.	她拒絕對這項計畫抱持任何懷疑。	[{"text":"entertain the possibility","meaningZh":"考慮某種可能性"}]
entertainment	noun	noun	movies, music, or other performances or activities that provide enjoyment	娛樂（活動）	不可數名詞，泛指娛樂內容或產業，如 the entertainment industry。	The cruise ship offers live entertainment every evening.	這艘郵輪每晚都提供現場娛樂表演。	[{"text":"live entertainment","meaningZh":"現場娛樂表演"}]
enthusiasm	noun	noun	intense and eager enjoyment, interest, or approval	熱忱；熱情	常搭配 with enthusiasm 或 enthusiasm for，強調對某事物的積極投入與興趣。	She approached the new project with great enthusiasm.	她以極大的熱忱投入這個新專案。	[{"text":"enthusiasm for learning","meaningZh":"學習的熱忱"}]
enthusiastic	adjective	adjective	feeling or showing intense enjoyment, interest, or approval	熱衷的；充滿熱忱的	常接 about，如 enthusiastic about learning；修飾人或態度，語氣正面積極。	He's always enthusiastic about trying new restaurants.	他總是對嘗試新餐廳充滿熱忱。	[{"text":"enthusiastic about","meaningZh":"對……充滿熱忱"}]
entice	verb	verb	to persuade someone to do something by offering them something pleasant	引誘；誘使	及物動詞，常見 entice someone into/to do something，帶有以利益吸引的意味，可正面（吸引顧客）也可略帶負面。	The store used discounts to entice more customers.	這家店用折扣吸引更多顧客上門。	[{"text":"entice someone into doing something","meaningZh":"誘使某人做某事"}]
entitle	verb	verb	to give someone the right to have or do something	使有權利（做某事）	常見被動 be entitled to，後接名詞或不定詞，如 entitled to a refund/vacation。	This ticket entitles you to one free drink.	這張票讓你有權免費兌換一杯飲料。	[{"text":"entitle someone to","meaningZh":"使某人有權享有……"}]
entity	noun	noun	something that exists separately from other things and has its own distinct identity	實體；獨立存在的個體	常見於法律、商業或哲學語境，如 a legal/corporate entity，指具有獨立身分的組織或個體。	The subsidiary operates as a separate legal entity.	這家子公司作為一個獨立的法律實體運作。	[{"text":"a legal entity","meaningZh":"法律實體"}]
entrench	verb	verb	to establish something so firmly that it is very difficult to change	使根深蒂固；鞏固	常見被動 be entrenched，修飾 belief、power、position 等，強調難以撼動的穩固狀態，語氣偏負面（如既得利益）。	Corruption had become deeply entrenched in the system.	貪腐已經深深根植於這個體制之中。	[{"text":"entrench existing inequalities","meaningZh":"使既有的不平等根深蒂固"}]
entrepreneur	noun	noun	a person who starts and runs a business, especially one involving financial risk	企業家；創業者	常見 a young/successful entrepreneur，強調自行創業、承擔風險的人，與一般 businessman 略有不同，更強調創新與冒險精神。	The young entrepreneur launched her own tech startup at 22.	這位年輕的企業家在22歲時創立了自己的科技新創公司。	[{"text":"a successful entrepreneur","meaningZh":"成功的企業家"}]
entrust	verb	verb	to give someone the responsibility to do something or deal with something	委託；託付	常見 entrust someone with something 或 entrust something to someone，強調基於信任而交付責任或物品。	The manager entrusted her with the company's finances.	經理將公司的財務委託給她管理。	[{"text":"entrust someone with a task","meaningZh":"把任務託付給某人"}]
enumerate	verb	verb	to name a list of things one by one	一一列舉；枚舉	及物動詞，語氣正式，常見於書面或正式演講中列出具體項目，如 enumerate the reasons/steps。	The report enumerates several reasons for the delay.	這份報告一一列舉了延誤的幾個原因。	[{"text":"enumerate the reasons","meaningZh":"逐一列出理由"}]
enunciate	verb	verb	to pronounce words clearly and distinctly	清楚地發音；咬字清晰	常用於描述說話或演講的發音方式，如 enunciate clearly；也可指清楚陳述一項原則或想法。	The teacher asked students to enunciate each syllable carefully.	老師要求學生仔細地把每個音節咬字清楚。	[{"text":"enunciate each word clearly","meaningZh":"清楚說出每個字"}]
envisage	verb	verb	to imagine or expect something as a future possibility	設想；預想	英式英語較常用（美式多用 envision），後接名詞或 that 子句，語氣正式，常見於計畫、政策討論。	The architect envisaged a building with an open, airy design.	這位建築師設想了一棟開放通風的建築。	[{"text":"envisage a future in which","meaningZh":"設想一個……的未來"}]
envision	verb	verb	to imagine something as a future possibility	想像；展望	與 envisage 意義相近，美式英語更常用，常見 envision a future/scenario，強調對未來的具體構想。	She envisions a world where clean energy is accessible to everyone.	她展望一個人人都能取得潔淨能源的世界。	[{"text":"envision a better future","meaningZh":"想像更美好的未來"}]
enzyme	noun	noun	a substance produced by a living organism that acts as a catalyst to bring about a specific biochemical reaction	酵素；酶	生物化學專有名詞，常見於消化、代謝相關描述，如 digestive enzymes。	Enzymes in saliva begin breaking down starch as soon as we chew.	唾液中的酵素在我們咀嚼時就開始分解澱粉。	[{"text":"digestive enzymes","meaningZh":"消化酵素"}]
ephemeral	adjective	adjective	lasting for only a short time	短暫的；朝生暮死的	語氣文學化，常修飾 beauty、moment、trend 等，強調事物美好但轉瞬即逝。	Fame in the entertainment industry can be ephemeral.	演藝圈的名氣可能十分短暫。	[{"text":"ephemeral fame","meaningZh":"曇花一現的名聲"}]
epic	adjective	adjective	very large or impressive in size or extent, especially referring to a heroic story or achievement	史詩般的；氣勢磅礴的	常修飾 journey、battle、failure 等，強調規模宏大或意義重大，口語中也可誇張形容「超讚」。	The film tells an epic story spanning three generations.	這部電影講述了一個橫跨三代人的史詩級故事。	[{"text":"an epic journey","meaningZh":"史詩般的旅程"}]
epidemic	noun	noun	a widespread occurrence of an infectious disease in a community at a particular time	流行病；疫情	常見 a flu/cholera epidemic，指疾病在特定地區、時間內大規模傳播，範圍通常小於 pandemic（大流行）。	Health officials declared a measles epidemic in the region.	衛生官員宣布該地區爆發麻疹疫情。	[{"text":"a flu epidemic","meaningZh":"流感疫情"}]
epidemic	adjective	adjective	widespread; affecting a disproportionately large number of people within a population	氾濫的；普遍流行的（形容問題大量出現）	常修飾抽象問題，如 epidemic levels of obesity/violence，比喻性地形容某問題像疾病一樣廣泛蔓延。	Obesity has reached epidemic proportions in many countries.	肥胖問題在許多國家已經達到氾濫的程度。	[{"text":"reach epidemic proportions","meaningZh":"達到氾濫的程度"}]
episode	noun	noun	one part of a television or radio series, or a single event forming part of a longer sequence	（影集、廣播的）一集；（一連串事件中的）一段插曲	常見 the latest episode（最新一集），也可指人生或歷史中的單一事件，如 a brief episode of illness。	Have you watched the latest episode of that show yet?	你看過那個節目的最新一集了嗎？	[{"text":"the final episode","meaningZh":"最後一集"}]
epitomize	verb	verb	to be a perfect example of something	是……的典型代表；體現	及物動詞，常接抽象特質或類別，如 epitomize elegance/the era，強調某人事物完美體現某種特質。	Her work ethic epitomizes what it means to be a true professional.	她的工作態度體現了真正專業人士的典範。	[{"text":"epitomize elegance","meaningZh":"充分體現優雅"}]
equal	adjective	adjective	the same in size, amount, value, or status	相等的；平等的	常接 to，如 equal to the task；也可用 be equal in size/importance 比較兩者。	All employees deserve equal pay for equal work.	所有員工都應該同工同酬。	[{"text":"equal opportunities","meaningZh":"平等機會"}]
equal	verb	verb	to be the same in number or amount as something else, especially in mathematics	等於	數學或計算語境常用，如 two plus two equals four；也可比喻性表示「等同於、比得上」。	Two plus two equals four.	二加二等於四。	[{"text":"two plus two equals four","meaningZh":"二加二等於四"}]
equality	noun	noun	the state of being equal, especially in status, rights, and opportunities	平等	不可數名詞，常見 gender/racial equality，強調權利與機會上的平等地位。	The movement fights for gender equality in the workplace.	這場運動致力於爭取職場上的性別平等。	[{"text":"gender equality","meaningZh":"性別平等"}]
equanimity	noun	noun	calmness and composure, especially in a difficult situation	沉著；鎮定	正式書面用語，常見 with equanimity，強調面對壓力或逆境仍保持心理平靜。	She accepted the criticism with remarkable equanimity.	她以驚人的沉著態度接受了這項批評。	[{"text":"accept with equanimity","meaningZh":"平靜地接受"}]
equation	noun	noun	a mathematical statement that two expressions are equal	方程式；等式	數學專有名詞，如 solve an equation；也可比喻性地指影響某結果的各項因素，如 add money into the equation。	Students learned how to solve a simple linear equation.	學生學習如何解一個簡單的線性方程式。	[{"text":"solve an equation","meaningZh":"解方程式"}]
equilibrium	noun	noun	a state of balance between opposing forces or influences	平衡；均衡狀態	常見於物理、經濟或心理層面，如 economic equilibrium，強調各方力量或因素達到穩定的平衡。	The economy eventually returned to a state of equilibrium.	經濟最終恢復到平衡狀態。	[{"text":"reach equilibrium","meaningZh":"達到平衡"}]
equip	verb	verb	to provide someone or something with the necessary items or skills for a particular purpose	裝備；使具備（能力或工具）	常見 equip someone with skills/knowledge，也可指實體裝備，如 equip a kitchen with new appliances。	The course equips students with practical coding skills.	這門課程使學生具備實用的程式設計技能。	[{"text":"equip someone with","meaningZh":"為某人配備……"}]
equity	noun	noun	the value of shares or ownership in a company or property, after subtracting any debts	（公司或房產的）股權；淨值	財經專有名詞，常見 home equity（房屋淨值）、equity in a company（公司股權）。	They took out a loan against the equity in their home.	他們以房屋淨值為擔保申請了一筆貸款。	[{"text":"home equity","meaningZh":"房屋淨值"}]
equity	noun_fairness	noun	the quality of being fair and impartial	公平；公正	常見於社會議題討論，如 social equity，強調資源分配或待遇上的公平性，與 equality（結果相同）略有不同，equity 更強調依需求給予公平對待。	The policy aims to promote equity in access to healthcare.	這項政策旨在促進醫療資源取得的公平性。	[{"text":"promote equity","meaningZh":"促進公平"}]
equivalent	noun	noun	something that has the same value, amount, or meaning as something else	相當之物；對等物	常接 of，如 the equivalent of a month's salary，指與某物在數量或意義上相等的東西。	Her salary is roughly the equivalent of $50,000 a year.	她的薪水大約相當於每年五萬美元。	[{"text":"the English equivalent","meaningZh":"對應的英文詞"}]
equivalent	adjective	adjective	equal in value, amount, function, or meaning	相等的；相當的	常接 to，如 equivalent to a bachelor's degree，用於比較兩者在某方面具有相同的價值或作用。	A diploma from this school is equivalent to a high school degree.	這所學校的文憑相當於高中學歷。	[{"text":"equivalent to","meaningZh":"相當於……"}]
eradicate	verb	verb	to completely destroy or get rid of something, especially something bad	根除；消滅	常見受詞為疾病或社會問題，如 eradicate poverty/disease，強調徹底消除，不留殘餘。	Scientists hope to eradicate malaria within the next decade.	科學家希望在未來十年內根除瘧疾。	[{"text":"eradicate a disease","meaningZh":"根除疾病"}]
erase	verb	verb	to remove or rub out something written, recorded, or existing	擦除；抹去；消除	可指實體擦除（erase a whiteboard），也可比喻性地指消除記憶或影響（erase a memory）。	She erased the mistake and rewrote the sentence.	她擦掉錯誤，重新寫了這個句子。	[{"text":"erase all traces of","meaningZh":"抹去……的所有痕跡"}]
erect	adjective	adjective	standing straight up; upright	直立的；豎立的	常修飾姿勢或物體，如 stand erect，語氣正式，日常對話較常用 upright 或 straight。	The soldier stood perfectly erect during the inspection.	這名士兵在檢閱時站得筆直。	[{"text":"stand erect","meaningZh":"站得筆直"}]
erosion	noun	noun	the gradual wearing away of soil or rock by wind, water, or other natural forces	侵蝕；沖蝕	常見 soil/coastal erosion；也可比喻性地指抽象事物逐漸被削弱，如 erosion of trust。	Coastal erosion has destroyed several beachfront properties.	海岸侵蝕已經摧毀了好幾處濱海房產。	[{"text":"soil erosion","meaningZh":"土壤侵蝕"}]
erratic	adjective	adjective	not consistent or regular in pattern or behavior; unpredictable	不穩定的；反覆無常的	常修飾 behavior、performance、weather，強調缺乏規律、令人難以預料，帶有輕微負面含意。	His erratic driving worried the other passengers.	他忽快忽慢的開車方式讓其他乘客感到擔心。	[{"text":"erratic behavior","meaningZh":"反覆無常的行為"}]
error	noun	noun	a mistake, especially one that is not intentional	錯誤；過失	常見 make an error、a typing/human error，泛指各種類型的錯誤，語氣比 mistake 稍正式。	The report contained several factual errors.	這份報告有幾處事實上的錯誤。	[{"text":"human error","meaningZh":"人為疏失"},{"text":"a margin of error","meaningZh":"誤差範圍"}]
erstwhile	adjective	adjective	former; previous	以前的；昔日的	正式書面用語，直接修飾名詞，如 erstwhile allies/rival，日常對話極少使用。	The two erstwhile rivals eventually became close friends.	這兩位昔日的對手後來成了摯友。	[{"text":"an erstwhile ally","meaningZh":"昔日的盟友"}]
erudite	adjective	adjective	having or showing great knowledge, especially gained from books	博學的；學識淵博的	正式用語，常修飾 scholar、essay、lecture，強調透過廣泛閱讀累積的深厚學識。	The professor gave an erudite lecture on ancient philosophy.	這位教授就古代哲學發表了一場學識淵博的演講。	[{"text":"an erudite scholar","meaningZh":"博學的學者"}]
erupt	verb	verb	(of a volcano) to explode and release lava, ash, and gas suddenly and violently	（火山）爆發	常見 the volcano erupted，也可比喻性地形容情緒、暴力或衝突突然爆發，如 violence erupted。	The volcano erupted without warning, forcing residents to evacuate.	火山毫無預警地爆發，迫使居民撤離。	[{"text":"a volcano erupts","meaningZh":"火山爆發"}]
escalation	noun	noun	a rapid increase or worsening of something, especially a conflict	升高；惡化；升級	常見 escalation of violence/tension，強調衝突或問題規模、程度快速加劇。	Diplomats are trying to prevent further escalation of the conflict.	外交官正努力防止衝突進一步升級。	[{"text":"an escalation of violence","meaningZh":"暴力升級"}]
escape	noun	noun	an act of breaking free from confinement or danger	逃脫；逃離	常見 a narrow/prison escape；也可比喻性地指逃避現實，如 an escape from reality。	The prisoners planned their escape for months.	囚犯們計畫這次逃獄已經好幾個月了。	[{"text":"a narrow escape","meaningZh":"僥倖脫險"}]
esoteric	adjective	adjective	intended for or understood by only a small number of people with specialized knowledge	深奧難懂的；只有少數專家能懂的	常修飾 subject、knowledge、interest，強調內容過於專門，一般人難以理解或接觸。	The lecture covered some fairly esoteric aspects of quantum theory.	這場講座涵蓋了量子理論中相當深奧的部分。	[{"text":"esoteric knowledge","meaningZh":"深奧的專門知識"}]
espouse	verb	verb	to support or adopt a belief, cause, or way of life	支持；擁護（信念或主張）	正式用語，常見 espouse a cause/philosophy，強調公開表態支持某種理念或立場。	The organization espouses a policy of nonviolent resistance.	這個組織支持非暴力抵抗的政策。	[{"text":"espouse a cause","meaningZh":"擁護一項理念"}]
essence	noun	noun	the most important quality or characteristic that makes something what it is	本質；精髓	常見 the essence of something，也可用片語 in essence（本質上、基本上）作副詞用法。	Simplicity is the essence of good design.	簡約是優良設計的精髓。	[{"text":"in essence","meaningZh":"本質上"},{"text":"the essence of","meaningZh":"……的精髓"}]
etch	verb	verb	to cut or engrave a design onto a hard surface using acid or a sharp tool	蝕刻；雕刻	常見於工藝或印刷技術，如 etch a pattern onto glass；也可比喻性地指深刻印在記憶中，如 etched in memory。	The artist etched intricate patterns onto the metal plate.	這位藝術家在金屬板上蝕刻出精細的圖案。	[{"text":"etch a design into glass","meaningZh":"在玻璃上蝕刻圖案"}]
eternal	adjective	adjective	lasting forever; without beginning or end	永恆的；永久的	常修飾 love、life、struggle，帶有詩意或誇飾語氣，也可用於宗教語境（eternal life）。	Poets have long written about the idea of eternal love.	詩人長久以來一直書寫著永恆之愛的概念。	[{"text":"eternal life","meaningZh":"永生"}]
ethereal	adjective	adjective	extremely delicate and light in a way that seems too perfect for this world	空靈的；縹緲的	常修飾 beauty、music、light，強調輕盈、脫俗，帶有夢幻或超凡的美感，語氣文學化。	The singer's ethereal voice captivated the entire audience.	這位歌手空靈的嗓音迷倒了全場觀眾。	[{"text":"ethereal beauty","meaningZh":"空靈之美"}]
ethics	noun	noun	moral principles that govern a person's or group's behavior	倫理；道德規範	常作不可數（單複數同形），如 medical/business ethics，指某領域的道德準則體系。	Doctors must follow strict codes of medical ethics.	醫師必須遵守嚴格的醫學倫理規範。	[{"text":"professional ethics","meaningZh":"職業倫理"}]
eulogy	noun	noun	a speech or piece of writing that praises someone, especially someone who has recently died	悼詞；頌詞	常見 deliver/give a eulogy，通常在葬禮上發表，讚揚逝者的生平與品德。	Her closest friend delivered a moving eulogy at the funeral.	她最親近的朋友在葬禮上發表了一段感人的悼詞。	[{"text":"deliver a eulogy","meaningZh":"致悼詞"}]
evade	verb	verb	to avoid dealing with or facing something, especially by cleverness or trickery	逃避；躲避；規避	常見 evade taxes/responsibility/the question，強調用巧計或手段避開，帶有負面意味。	The suspect managed to evade police for several weeks.	嫌犯設法躲避警方追捕長達數週。	[{"text":"evade responsibility","meaningZh":"逃避責任"},{"text":"evade taxes","meaningZh":"逃稅"}]
evaluate	verb	verb	to judge or assess the value, quality, or significance of something	評估；評鑑	常見於學術或工作場合，如 evaluate performance/results，語氣中性正式。	Teachers evaluate student progress at the end of each term.	老師在每學期末評估學生的學習進度。	[{"text":"evaluate the effectiveness of","meaningZh":"評估……的成效"}]
evaluation	noun	noun	the process of judging or assessing the value, quality, or significance of something	評估；評鑑	常見 a performance/risk evaluation，指評估的過程或結果，語氣正式。	The company conducts an annual evaluation of all employees.	這家公司每年對所有員工進行一次評鑑。	[{"text":"a performance evaluation","meaningZh":"績效評估"}]
evaporation	noun	noun	the process by which a liquid changes into a vapor	蒸發（作用）	科學專有名詞，常見於描述水循環，如 evaporation of water from the ocean。	Evaporation from the lake increases significantly in summer.	夏季時，湖水的蒸發量明顯增加。	[{"text":"the rate of evaporation","meaningZh":"蒸發速率"}]
evasive	adjective	adjective	deliberately vague or ambiguous in order to avoid answering directly	迴避的；閃爍其詞的	常修飾 answer、response，或用 be evasive about，強調刻意不正面回應以避開問題。	He gave an evasive answer when asked about the missing funds.	被問及失蹤資金時，他給出了一個閃爍其詞的答案。	[{"text":"an evasive answer","meaningZh":"閃爍其詞的回答"}]
evenly	adverb	adverb	in a smooth, regular, or equal manner across an area or among a group	均勻地；平均地	常見 spread evenly、divide evenly，強調分布或分配上沒有明顯差異。	Spread the butter evenly across the bread.	把奶油均勻地塗抹在麵包上。	[{"text":"distribute evenly","meaningZh":"均勻分配"}]
eventual	adjective	adjective	happening or existing at the end of a process or period of time	最終的；終究的	只作修飾詞置於名詞前，不用於表語，如 the eventual outcome/winner。	Despite early setbacks, the eventual outcome was positive.	儘管早期遭遇挫折，最終的結果仍是正面的。	[{"text":"the eventual winner","meaningZh":"最終的贏家"}]
evict	verb	verb	to legally force someone to leave a property they are renting or occupying	驅逐；逐出（房客）	法律用語，常見被動 be evicted from，通常指房東依法讓房客搬離。	The landlord threatened to evict the tenants for unpaid rent.	房東威脅要因積欠房租而驅逐房客。	[{"text":"evict a tenant","meaningZh":"驅逐房客"}]
eviction	noun	noun	the act of legally forcing someone to leave a property	驅逐；逐出（法律行動）	常見 an eviction notice/order，指依法要求房客遷出的正式程序或通知。	The family received an eviction notice from their landlord.	這戶人家收到了房東的驅逐通知。	[{"text":"an eviction notice","meaningZh":"驅逐通知"}]
evidence	noun	noun	facts, objects, or information that indicate whether something is true or valid	證據；證明	不可數名詞，常見 provide/lack evidence，也可用 evidence of 表示某事的跡象或證明。	There is strong evidence to support the new theory.	有強而有力的證據支持這項新理論。	[{"text":"compelling evidence","meaningZh":"有說服力的證據"}]
evident	adjective	adjective	clearly seen or understood; obvious	明顯的；顯而易見的	常用 it is evident that... 或 evident from，語氣比 obvious 略正式，常見於書面分析。	It was evident from her expression that she was upset.	從她的表情可以明顯看出她很不高興。	[{"text":"it is evident that","meaningZh":"顯然"}]
evocative	adjective	adjective	bringing strong images, memories, or feelings to mind	引人聯想的；喚起（回憶或情感）的	常接 of，如 evocative of childhood，用於描述能喚起特定情感或回憶的事物，如音樂、氣味或文字。	The old photographs were evocative of a simpler time.	那些老照片令人聯想起一個較單純的年代。	[{"text":"evocative of","meaningZh":"令人聯想到"}]
evoke	verb	verb	to bring a feeling, memory, or image into someone's mind	喚起；引起（情感、回憶或聯想）	及物動詞，常接 memories、emotions、images，強調某事物觸發特定的心理反應。	The scent of pine evokes memories of childhood winters.	松樹的氣味喚起了她對童年冬天的回憶。	[{"text":"evoke memories","meaningZh":"喚起回憶"}]
evolution	noun	noun	the gradual process by which species develop over generations, or the gradual development of something over time	演化；（緩慢的）發展過程	常見生物學語境（Darwin's theory of evolution），也可泛指任何事物隨時間逐漸發展，如 the evolution of technology。	The evolution of smartphones has changed how we communicate.	智慧型手機的演變改變了我們的溝通方式。	[{"text":"human evolution","meaningZh":"人類演化"}]
evolutionary	adjective	adjective	relating to evolution, or occurring gradually rather than suddenly	演化的；漸進式的	常見 evolutionary biology/theory，也可用於形容非生物領域的漸進式變化，與 revolutionary（革命性、突然的）相對。	The company took an evolutionary rather than revolutionary approach to change.	這家公司採取的是漸進式而非革命性的變革方式。	[{"text":"evolutionary biology","meaningZh":"演化生物學"},{"text":"evolutionary change","meaningZh":"漸進的改變"}]
evolve	verb	verb	to develop gradually, especially from a simpler to a more complex form	演化；逐漸發展	不及物動詞，常見 evolve over time/into，可指生物演化，也可泛指任何事物的漸進發展。	The company has evolved from a small startup into a global brand.	這家公司已經從一家小型新創企業發展成全球知名品牌。	[{"text":"evolve into","meaningZh":"逐漸發展成"}]
exact	adjective	adjective	precise and accurate in every detail	精確的；確切的	常修飾 amount、time、location，強調毫無誤差，也可用 to be exact 作插入語補充精確資訊。	I don't know the exact number of people who attended.	我不知道確切有多少人出席。	[{"text":"the exact same","meaningZh":"完全相同的"},{"text":"an exact match","meaningZh":"完全相符"}]
exaggerate	verb	verb	to represent something as being larger, better, worse, or more important than it really is	誇大；誇張	及物或不及物動詞，常見 exaggerate the problem/risk，強調言過其實，帶有輕微負面意味。	He tends to exaggerate his achievements when talking to clients.	他和客戶交談時往往會誇大自己的成就。	[{"text":"exaggerate the importance of","meaningZh":"誇大……的重要性"}]
exaggeration	noun	noun	a statement that represents something as larger, better, or worse than it really is	誇張；誇大之詞	常見 without exaggeration、it's no exaggeration to say...，用於強調敘述並非言過其實。	It's not an exaggeration to say this was the best meal I've ever had.	說這是我吃過最棒的一餐，一點也不誇張。	[{"text":"without exaggeration","meaningZh":"毫不誇張地"}]
