lemma	sense	pos	definitionEn	definitionZh	usageExplanationZh	exampleEn	exampleZh	collocations
perilous	adjective	adjective	dangerous or risky	危險的；充滿風險的	常修飾 journey、situation，語氣較 dangerous 更正式、文學化。	They embarked on a perilous journey across the mountains.	他們展開了一場橫越山脈的危險旅程。	[{"text":"a perilous journey","meaningZh":"危險的旅程"},{"text":"a perilous situation","meaningZh":"危險的處境"}]
perimeter	noun	noun	the outer boundary of an area or figure	周長；周界；外圍	常見 the perimeter of a field（田地的周界）、secure the perimeter（守衛外圍），兼有數學與軍事用法。	Guards patrolled the perimeter of the base all night.	衛兵整夜在基地外圍巡邏。	[{"text":"the perimeter of a square","meaningZh":"正方形的周長"},{"text":"a perimeter fence","meaningZh":"周界圍欄"}]
peripheral	adjective	adjective	of secondary or minor importance, or relating to the outer edge of something	次要的；邊緣的；周邊的	常見 peripheral vision（周邊視覺）、a peripheral issue（次要議題），依上下文判斷字面或比喻義。	The budget cuts affected only peripheral departments.	這次預算刪減只影響到次要部門。	[{"text":"peripheral vision","meaningZh":"周邊視覺"},{"text":"peripheral to the discussion","meaningZh":"與討論的核心關係不大的"}]
perish	verb	verb	to die, especially in a sudden or violent way, or (of material) to decay	死亡；（材料）腐爛、老化	常見 perish in a fire/accident，也可指橡膠等材質因老化而損壞（the rubber has perished）。	Many soldiers perished in the harsh winter conditions.	許多士兵在嚴酷的冬季環境中喪生。	[{"text":"perish in a fire","meaningZh":"葬身火海"},{"text":"perish from hunger","meaningZh":"餓死"}]
permanence	noun	noun	the state of lasting or remaining unchanged indefinitely	永久性；持久性	常接 a sense of permanence，強調事物長久不變的性質，抽象名詞，通常不可數。	The tattoo symbolized the permanence of their friendship.	那個刺青象徵著他們友誼的永恆。	[{"text":"a sense of permanence","meaningZh":"持久穩定的感覺"},{"text":"the permanence of change","meaningZh":"變化的永久性"}]
permanent	adjective	adjective	lasting or intended to last indefinitely; not temporary	永久的；長久的	常見 a permanent job、permanent damage，與 temporary 相對，強調不會改變或結束。	She finally got a permanent position at the company.	她終於在這家公司獲得了正職（永久性職位）。	[{"text":"permanent residence","meaningZh":"永久居留"},{"text":"permanent damage","meaningZh":"永久損害"}]
permeate	verb	verb	to spread throughout something or pass through its substance	瀰漫；滲透	常接 through、into，或直接接受詞，如 permeate the room（瀰漫整個房間），可指氣味、思想的擴散。	The smell of fresh coffee permeated the whole house.	新鮮咖啡的香氣瀰漫了整個屋子。	[{"text":"permeate the atmosphere","meaningZh":"瀰漫於氣氛中"},{"text":"permeate through the soil","meaningZh":"滲透土壤"}]
permission	noun	noun	the act of officially allowing someone to do something	許可；准許	常見 ask for permission、give permission，強調正式或明確同意的行為，不可數名詞。	He asked his teacher for permission to leave early.	他向老師請求准許提早離開。	[{"text":"ask for permission","meaningZh":"請求許可"},{"text":"permission to enter","meaningZh":"進入的許可"}]
permissive	adjective	adjective	allowing a great deal of freedom in behavior, especially in sexual or social matters	寬容的；放任的	常見 permissive parenting（放任式教養）、a permissive society（開放寬容的社會），常帶有評價性語氣。	The permissive attitude of the parents surprised the teacher.	那對父母放任的態度讓老師感到驚訝。	[{"text":"permissive parents","meaningZh":"管教寬鬆的父母"},{"text":"a permissive society","meaningZh":"風氣開放的社會"}]
pernicious	adjective	adjective	having a harmful effect, especially in a gradual or subtle way	有害的；潛移默化地造成傷害的	常修飾 influence、effect，強調傷害是逐漸累積、不易察覺的，語氣正式。	The pernicious effects of misinformation can spread quickly online.	不實資訊的潛在危害可能在網路上迅速擴散。	[{"text":"a pernicious influence","meaningZh":"有害的影響"},{"text":"pernicious effects","meaningZh":"潛在而深遠的害處"}]
perpetual	adjective	adjective	never ending or changing; continuing indefinitely	永久的；不斷的；持續不停的	常見 perpetual motion、a perpetual state of chaos，強調持續不斷、無止境的狀態。	The city seemed to be in a perpetual state of construction.	這座城市似乎永遠都在施工。	[{"text":"perpetual motion","meaningZh":"永恆運動"},{"text":"in perpetual fear","meaningZh":"一直處於恐懼中"}]
persecute	verb	verb	to treat someone cruelly or unfairly, especially because of their race, religion, or beliefs	迫害；虐待	常接受詞為人或群體，如 persecute a minority group，強調因身分或信仰而受到的迫害。	The regime persecuted anyone who spoke out against it.	該政權迫害任何公開反對的人。	[{"text":"persecute religious minorities","meaningZh":"迫害宗教少數群體"},{"text":"be persecuted for one's beliefs","meaningZh":"因信仰受到迫害"}]
persistent	adjective	adjective	continuing firmly despite difficulty or opposition, or continuing to exist over a long time	堅持不懈的；持續存在的	常見 a persistent cough（持續不斷的咳嗽）、persistent effort（不懈的努力），可修飾人的態度或事物的狀態。	Her persistent efforts finally paid off.	她堅持不懈的努力終於有了回報。	[{"text":"persistent pain","meaningZh":"持續的疼痛"},{"text":"persistent efforts","meaningZh":"堅持不懈的努力"}]
personality	noun	noun	the combination of characteristics that form an individual's distinctive character, or a famous or notable person	個性；人格；（知名）人物	常見 a strong personality（強烈的個性）、a TV personality（電視名人），需依上下文判斷語意。	She has a warm and outgoing personality.	她個性溫暖又外向。	[{"text":"a strong personality","meaningZh":"鮮明的個性"},{"text":"a television personality","meaningZh":"電視名人"}]
perspective	noun	noun	a particular attitude toward or way of viewing something, or the technique of representing depth in art	觀點；看法；（藝術）透視法	常見 from a different perspective（從不同的角度）、in perspective（依比例、合乎邏輯地），也可指繪畫中的透視技巧。	Traveling gave her a new perspective on life.	旅行讓她對人生有了新的看法。	[{"text":"from my perspective","meaningZh":"從我的角度來看"},{"text":"put something in perspective","meaningZh":"適當衡量某事的重要性"}]
perspicacious	adjective	adjective	having keen insight or good judgment; perceptive	敏銳的；有洞察力的	正式書面用語，形容人具有敏銳的觀察力與判斷力，常見於學術或文學文本。	The perspicacious detective quickly noticed the inconsistency in the suspect's story.	這位觀察敏銳的偵探很快就發現了嫌犯供詞中的矛盾之處。	[{"text":"a perspicacious observer","meaningZh":"敏銳的觀察者"},{"text":"a perspicacious analysis","meaningZh":"有洞察力的分析"}]
persuade	verb	verb	to cause someone to do or believe something through reasoning or argument	說服；勸說	常見 persuade someone to do something、persuade someone of something，強調透過理由或論證使人改變想法或行動。	She persuaded her friend to try the new restaurant.	她說服朋友去嘗試那家新餐廳。	[{"text":"persuade someone to do something","meaningZh":"說服某人做某事"},{"text":"persuade someone of something","meaningZh":"使某人相信某事"}]
pertain	verb	verb	to be relevant or applicable to something	與……有關；適用於	常接 to，如 pertain to the case（與此案件有關），正式用語，多見於法律或書面文件。	These regulations pertain only to commercial vehicles.	這些法規只適用於商用車輛。	[{"text":"pertain to","meaningZh":"與某事有關；適用於"},{"text":"rules pertaining to safety","meaningZh":"有關安全的規則"}]
pertinent	adjective	adjective	relevant or applicable to a particular matter	切題的；相關的	常接 to，如 pertinent to the discussion（與討論相關），常用於正式或學術情境，形容切合主題的內容。	She asked several pertinent questions during the interview.	她在面試中問了幾個切中要點的問題。	[{"text":"pertinent to","meaningZh":"與某事有關的"},{"text":"a pertinent question","meaningZh":"切題的問題"}]
peruse	verb	verb	to read something thoroughly or carefully, or (informally) to read casually	仔細閱讀；瀏覽	正式用語，可指仔細研讀（peruse a document）或口語中隨意瀏覽（peruse a menu），依語境判斷。	He perused the contract carefully before signing it.	他在簽約前仔細研讀了合約內容。	[{"text":"peruse a document","meaningZh":"仔細閱讀文件"},{"text":"peruse the menu","meaningZh":"瀏覽菜單"}]
perverse	adjective	adjective	deliberately behaving in a way that is unreasonable or contrary to what is expected	乖僻的；故意作對的	常見 perverse pleasure（從錯誤或不當的事中得到快感）、a perverse sense of humor，強調刻意違逆常理。	He took a perverse pleasure in disagreeing with everyone.	他從跟每個人唱反調中獲得一種乖僻的樂趣。	[{"text":"take perverse pleasure in","meaningZh":"從某事獲得反常的樂趣"},{"text":"a perverse decision","meaningZh":"悖理的決定"}]
pessimism	noun	noun	a tendency to expect the worst possible outcome	悲觀；悲觀主義	與 optimism 相對，常見 a sense of pessimism、economic pessimism，指對未來抱持負面預期的態度。	There is growing pessimism about the economy's recovery.	外界對經濟復甦的悲觀情緒日益升高。	[{"text":"pessimism about the future","meaningZh":"對未來的悲觀"},{"text":"widespread pessimism","meaningZh":"普遍的悲觀情緒"}]
pester	verb	verb	to annoy someone continually, especially with repeated requests	糾纏；不斷煩擾	常接 someone、with，如 pester someone with questions（不斷用問題煩擾某人），語氣帶輕微不滿。	The children kept pestering their mother for candy.	孩子們一直纏著媽媽要糖果。	[{"text":"pester someone for money","meaningZh":"纏著某人要錢"},{"text":"pester someone with questions","meaningZh":"不斷提問煩擾某人"}]
pesticide	noun	noun	a chemical substance used to kill insects or other pests	殺蟲劑；農藥	常見 pesticide residue（農藥殘留）、organic without pesticides，多用於農業與環境議題。	Farmers use pesticides to protect their crops from insects.	農夫使用殺蟲劑來保護作物免受昆蟲侵害。	[{"text":"pesticide residues","meaningZh":"農藥殘留"},{"text":"spray pesticides","meaningZh":"噴灑農藥"}]
petition	verb	verb	to make a formal request to an authority, especially by signing a document	請願；正式請求	常接 for，如 petition for change（請願要求改變），也可接 someone to do something，強調正式提出訴求。	Residents petitioned the city council to build a new park.	居民向市議會請願，要求興建一座新公園。	[{"text":"petition for a change","meaningZh":"請願要求改變"},{"text":"petition the court","meaningZh":"向法院提出正式請求"}]
petty	adjective	adjective	of little importance, or (of a person) small-minded and concerned with trivial matters	瑣碎的；小氣的；心胸狹隘的	常見 petty crime（輕微犯罪）、petty argument（無關緊要的爭吵），也可形容人斤斤計較、小家子氣。	It seems petty to argue over who pays for coffee.	為了誰付咖啡錢而爭吵似乎太小家子氣了。	[{"text":"petty crime","meaningZh":"輕微犯罪"},{"text":"petty jealousy","meaningZh":"小心眼的嫉妒"}]
phantom	adjective	adjective	seeming to exist but actually not real; illusory	虛幻的；幻覺的；名義上的	常見 phantom pain（幻肢痛）、a phantom limb，形容看似存在卻實際不存在的事物。	She still feels phantom pain in the limb that was amputated.	她截肢後仍感覺到那條肢體有幻肢痛。	[{"text":"phantom pain","meaningZh":"幻肢痛"},{"text":"a phantom pregnancy","meaningZh":"假性懷孕"}]
pharmaceutical	adjective	adjective	relating to the manufacture and sale of medicinal drugs	製藥的；醫藥的	常見 pharmaceutical company（製藥公司）、pharmaceutical industry，用於描述與藥品生產相關的領域。	She works for a large pharmaceutical company.	她在一家大型製藥公司工作。	[{"text":"the pharmaceutical industry","meaningZh":"製藥業"}]
phase	noun	noun	a distinct period or stage in a process of change or development	階段；時期	常見 in phases（分階段）、a new phase（新階段），強調過程中可劃分的時間段落。	The project will be completed in three phases.	這項計畫將分三個階段完成。	[{"text":"an initial phase","meaningZh":"初始階段"}]
phenomenal	adjective	adjective	remarkable or extraordinary, especially in terms of achievement	非凡的；驚人的	常修飾 success、growth，語氣強烈，強調程度上超乎尋常，接近口語誇飾用法。	The band's phenomenal success surprised even their manager.	這個樂團驚人的成功連經紀人都感到意外。	[{"text":"phenomenal success","meaningZh":"驚人的成功"}]
phenomenon	noun	noun	a fact or situation that is observed to exist or happen, especially one that is not fully understood	現象	常見 a natural phenomenon（自然現象）、a social phenomenon，指值得注意或尚待解釋的事物或事件。	Climate change is a global phenomenon affecting every country.	氣候變遷是影響每個國家的全球性現象。	[{"text":"a natural phenomenon","meaningZh":"自然現象"}]
philanthropic	adjective	adjective	relating to the generous donation of money or help to worthy causes	慈善的；博愛的	常見 philanthropic foundation（慈善基金會）、philanthropic work，強調出於善意的捐助或幫助行為。	The billionaire is known for his philanthropic activities.	這位億萬富翁以其慈善活動聞名。	[{"text":"philanthropic work","meaningZh":"慈善工作"}]
philosopher	noun	noun	a person who studies or writes about fundamental questions of existence, knowledge, and ethics	哲學家	常見於學術或歷史語境，指從事哲學思考與研究的人，如 Greek philosophers（古希臘哲學家）。	Socrates is considered one of the greatest philosophers in history.	蘇格拉底被認為是歷史上最偉大的哲學家之一。	[{"text":"a moral philosopher","meaningZh":"道德哲學家"}]
philosophy	noun	noun	the study of fundamental questions about existence, knowledge, and values, or a particular set of beliefs	哲學；人生哲學；信念	常見 study philosophy（研讀哲學）、a philosophy of life（人生哲學），可指學術領域或個人信念體系。	Her personal philosophy is to always be kind to others.	她的人生哲學是永遠對他人友善。	[{"text":"a philosophy of life","meaningZh":"人生哲學"}]
phlegmatic	adjective	adjective	having a calm, unemotional temperament	冷靜的；沉著的；不易動情的	正式或文學用語，形容性情平和、不易激動的人，常見於人物性格描寫。	Despite the chaos, he remained phlegmatic and unruffled.	儘管一片混亂，他仍保持冷靜、不為所動。	[{"text":"a phlegmatic temperament","meaningZh":"沉著的性格"}]
phonetic	adjective	adjective	relating to speech sounds or their representation in written symbols	語音的；表音的	常見 phonetic symbol（音標）、phonetic spelling，用於語言學或發音教學情境。	The dictionary provides a phonetic spelling for each word.	這本字典為每個單字提供音標拼寫。	[{"text":"phonetic transcription","meaningZh":"語音轉寫"}]
phony	adjective	adjective	not genuine or real; fake	假的；虛偽的	口語用法，常修飾 excuse、smile 等，帶有負面評價，強調表裡不一、不真誠。	He gave a phony excuse for missing the meeting.	他為缺席會議編造了一個虛假的藉口。	[{"text":"a phony excuse","meaningZh":"虛假的藉口"}]
photosynthesis	noun	noun	the process by which green plants use sunlight to synthesize food from carbon dioxide and water	光合作用	生物學專有名詞，常見於科學課文，描述植物利用陽光、水和二氧化碳製造養分的過程。	Plants produce oxygen as a byproduct of photosynthesis.	植物在進行光合作用時會產生氧氣作為副產物。	[{"text":"the process of photosynthesis","meaningZh":"光合作用的過程"}]
phrase	noun	noun	a small group of words that together convey meaning, without forming a complete sentence	片語；詞組	常見 a common phrase（常用片語）、idiomatic phrase，指語法上不構成完整句子的一組詞。	"Break a leg" is a phrase used to wish someone good luck.	"Break a leg" 是一個用來祝人好運的片語。	[{"text":"a common phrase","meaningZh":"常用片語"}]
phrase	verb	verb	to express something in a particular way using words	措辭；用言語表達	常接 副詞修飾，如 phrase it carefully（謹慎地措辭），強調選擇特定方式表達想法。	He phrased his criticism carefully to avoid offending anyone.	他措辭謹慎地表達批評，以免冒犯任何人。	[{"text":"phrase a question carefully","meaningZh":"仔細斟酌問題的措辭"}]
physician	noun	noun	a medical doctor, especially one specializing in internal medicine as opposed to surgery	內科醫生；醫師	正式用語，常見於美式英語，指持有醫學執照的醫生，尤指非外科醫師。	She consulted her physician about the persistent headaches.	她就持續性頭痛的問題諮詢了她的醫師。	[{"text":"a family physician","meaningZh":"家庭醫師"}]
physicist	noun	noun	a scientist who specializes in the study of physics	物理學家	指專門研究物理學的科學家，常見於學術或科學新聞情境。	The physicist won a Nobel Prize for her research on particles.	這位物理學家因粒子研究獲得諾貝爾獎。	[{"text":"a theoretical physicist","meaningZh":"理論物理學家"}]
physiological	adjective	adjective	relating to the normal functions of living organisms	生理的；生理學的	常見 physiological response（生理反應）、physiological need，用於描述身體機能運作相關的事物。	Stress can cause physiological changes such as increased heart rate.	壓力可能引起生理變化，例如心跳加快。	[{"text":"a physiological response","meaningZh":"生理反應"}]
pictorial	adjective	adjective	relating to or expressed in pictures	圖畫的；以圖像呈現的	常見 pictorial representation（圖像式表現）、a pictorial history，強調以圖片而非文字傳達資訊。	The book gives a pictorial history of the city's development.	這本書以圖片呈現這座城市的發展歷史。	[{"text":"a pictorial guide","meaningZh":"圖解指南"}]
pier	noun	noun	a structure built out into the sea or a lake, used as a landing place or promenade	碼頭；棧橋	常見 fish off the pier（在碼頭釣魚）、walk along the pier，指延伸入水中供人行走或停靠船隻的建築。	Tourists enjoy walking along the pier at sunset.	遊客喜歡在日落時分沿著碼頭散步。	[{"text":"a fishing pier","meaningZh":"釣魚棧橋"}]
