lemma	sense	pos	definitionEn	definitionZh	usageExplanationZh	exampleEn	exampleZh
abrupt	adjective_slope	adjective	very steep or changing level sharply	陡峭的；坡度驟變的	常修飾 slope、rise 或 descent；描述地勢時比 steep 更強調突然變陡。	An abrupt descent begins just beyond the ridge.	越過稜線後，地勢便急遽下降。
abscond	verb	verb	to leave secretly to escape capture or avoid a duty, sometimes taking something	潛逃；逃匿	不及物動詞；abscond from 指逃離某處，abscond with money 指攜款潛逃。	The treasurer absconded with the association's funds.	財務主管帶著協會的資金潛逃了。
absence	noun	noun	the state or period of being away from a place	缺席；不在場的期間	常用 absence from work 或 during someone's absence；leave of absence 指准假的離崗期間。	During her absence, a colleague handled urgent requests.	她不在的期間，由一位同事處理緊急請求。
absence	noun_lack	noun	the lack or nonexistence of something	缺乏；不存在	用 the absence of something；in the absence of evidence 表示在缺乏證據的情況下。	The absence of clear instructions caused confusion.	缺乏明確指示造成了混亂。
absence	noun_seizure	noun	a brief seizure involving a sudden loss of awareness	失神發作	醫學上通常用 absence seizure，指短暫失去對周遭的意識；不可與一般的心不在焉混為一談。	The neurologist explained that an absence seizure can last only a few seconds.	神經科醫師說明，失神發作可能只持續幾秒鐘。
absenteeism	noun	noun	the practice of frequently being absent from work or school	經常缺勤或缺課的現象	不可數名詞，常見 employee absenteeism 或 a high rate of absenteeism；具體原因可能包括健康或工作環境問題。	The company introduced flexible hours to reduce absenteeism.	公司引進彈性工時，以減少員工缺勤。
absolute	adjective	adjective	complete or total	完全的；十足的	常修飾 certainty、silence 或 disaster；此義通常不用 very 或比較級。	We cannot predict the outcome with absolute certainty.	我們無法完全確定地預測結果。
absolute	adjective_power	adjective	not restricted by laws or other authorities	權力不受限制的；專制的	常見 absolute power 或 absolute monarchy，指權力缺乏法律或其他機構的制衡。	The constitution prevents any leader from gaining absolute power.	憲法防止任何領導者取得不受限制的權力。
absolute	adjective_measure	adjective	measured independently rather than in relation to something else	絕對的；非相對的	常與 relative 對比；an absolute increase 指實際增加量，a relative increase 通常指相對比例。	Sales rose in absolute terms but fell as a share of the market.	銷售額的絕對數值增加了，但市場占有率卻下降了。
absolute	noun	noun	a principle or thing regarded as independent of conditions or circumstances	不受條件限制的原則或事物	可數名詞，常見 moral absolutes；哲學中的 the Absolute 則指絕對者或終極實在。	The philosopher questioned whether moral absolutes exist.	這位哲學家質疑是否存在絕對的道德原則。
absolve	verb	verb	to declare someone free from guilt, blame, or responsibility	免除罪責、責難或責任	常用 absolve someone of blame 或 absolve someone from responsibility；被動形式也很常見。	The investigation did not absolve the manager of responsibility.	這項調查並未免除經理的責任。
absorb	verb	verb	to take in liquid, gas, heat, light, or another substance or form of energy	吸收物質或能量	及物動詞，常接 water、heat 或 light；不需加介系詞。	The towel quickly absorbed the spilled water.	毛巾迅速吸收了灑出來的水。
absorb	verb_information	verb	to take in and understand information	吸收並理解資訊	常接 information、knowledge 或 details，強調理解所接收的內容。	Students need time to absorb new information.	學生需要時間吸收新資訊。
absorb	verb_attention	verb	to hold someone's attention completely	使全神貫注	常用 be absorbed in something 表示專注於某事；in 後可接名詞或動名詞。	She was so absorbed in the novel that she missed her stop.	她看小說看得太入迷，以致坐過了站。
absorb	verb_cost	verb	to bear a cost or loss without passing it on to others	自行承擔費用或損失	商務中常用 absorb costs 或 absorb losses，表示由自己消化支出，不轉嫁給他人。	The retailer decided to absorb the extra shipping costs.	零售商決定自行承擔額外運費。
absorb	verb_integrate	verb	to incorporate something into a larger group or system	吸納；併入	常用 absorb something into something；被動式 be absorbed into 指被納入更大的組織。	The smaller firm was absorbed into a multinational company.	這家小公司被併入一家跨國企業。
absorption	noun	noun	the process of taking in a substance or energy	物質或能量的吸收	不可數名詞；常用 the absorption of nutrients 或 light absorption，介系詞 of 引出被吸收的事物。	Vitamin D helps the absorption of calcium.	維生素 D 有助於鈣質的吸收。
absorption	noun_attention	noun	complete attention to an activity or subject	全神貫注；專心投入	常用 absorption in，後接活動或主題；與物理上的吸收義分開理解。	His absorption in the puzzle made him forget the time.	他全神貫注地解謎，忘了時間。
abstain	verb	verb	to choose not to vote for or against a proposal	在表決中棄權	可單獨使用 abstain，也可用 abstain from voting；棄權不同於投反對票。	Three committee members abstained from voting.	三名委員在表決中棄權。
abstain	verb_refrain	verb	to deliberately avoid consuming something or taking part in an activity	自願戒除；避免參與	用 abstain from，後接名詞或動名詞，常見 abstain from alcohol；語氣較正式。	He chose to abstain from alcohol during training.	他選擇在訓練期間不喝酒。
abstention	noun	noun	the act of choosing not to vote for or against a proposal	表決時的棄權	計算票數時可數，如 two abstentions；棄權者未對議案投贊成或反對票。	The motion passed with twelve votes in favor and two abstentions.	議案以十二票贊成、兩票棄權通過。
abstention	noun_refrain	noun	deliberate avoidance of a substance or activity	有意的戒除或避免	較正式，常接 from；談長期戒酒時 abstinence 也很常用。	The doctor recommended abstention from alcohol during treatment.	醫師建議治療期間戒酒。
abstruse	adjective	adjective	difficult to understand because of complexity or unfamiliar ideas	深奧難懂的	常修飾 theory、argument 或 text；不同於 abstract「抽象的」，抽象內容不一定難懂。	The lecturer used diagrams to explain the abstruse theory.	講師用圖解說明這套深奧的理論。
absurd	adjective	adjective	so unreasonable or illogical that it seems ridiculous	荒謬的；不合常理的	常用 it is absurd to do something 或 an absurd claim，表示強烈不認同其合理性。	It is absurd to expect one person to finish this in an hour.	期待一個人在一小時內完成這件事，實在荒謬。
absurd	noun	noun	the apparent irrationality or meaninglessness of human existence	人生看似不合理或無意義的荒誕狀態	此義通常用 the absurd，常見於哲學與文學；theatre of the absurd 指荒誕派戲劇。	The play explores the absurd through repetitive conversations.	這齣劇透過反覆的對話探討人生的荒誕。
abundance	noun	noun	a very large quantity or plentiful supply	豐富；大量	常用 an abundance of 加名詞，或 in abundance 表示數量充足；不要寫成 abundant of。	The region has an abundance of fresh water.	這個地區有豐富的淡水資源。
abundance	noun_science	noun	the proportion of a particular element or isotope in a sample or environment	元素或同位素的豐度	科學用語，常見 relative abundance；指所占比例，須依情境區分原子數比例或質量比例。	The table lists the relative abundance of each isotope.	表格列出每種同位素的相對豐度。
abundant	adjective	adjective	present or available in large quantities	豐富的；充足的	可放在名詞前，如 abundant evidence；也可用 be abundant in a region，表示在某地大量存在。	Solar energy is abundant in this desert region.	這片沙漠地區有充足的太陽能。
abuse	noun	noun	the improper or harmful use of something	濫用	常用 abuse of power 或 substance abuse；此義名詞末尾發 /s/，動詞末尾發 /z/。	The report exposed an abuse of public funds.	報告揭露了公款遭濫用的情事。
abuse	noun_harm	noun	cruel or violent treatment of a person or animal	虐待	常見 child abuse、physical abuse 或 emotional abuse；此義通常不可數。	The shelter provides support for victims of domestic abuse.	庇護中心為家庭虐待的受害者提供支援。
abuse	noun_words	noun	rude or offensive language directed at someone	辱罵；惡言相向	不可數名詞，常用 verbal abuse 或 a stream of abuse，指攻擊他人的言語。	Staff should not have to endure verbal abuse from customers.	員工不應被迫忍受顧客的辱罵。
abuse	verb	verb	to use something wrongly or harmfully	濫用	及物動詞，常接 power、trust 或 drugs；動詞末尾發 /z/，與名詞的 /s/ 不同。	Officials must not abuse their authority.	官員不得濫用職權。
abuse	verb_harm	verb	to treat a person or animal cruelly or violently	虐待	直接接受害者作受詞；可用 physically 或 emotionally 說明虐待的形式。	The investigation found that workers had abused the animals.	調查發現，工作人員曾虐待這些動物。
abuse	verb_words	verb	to address someone with insulting or offensive language	辱罵	常用 verbally abuse someone；此義強調用言語攻擊，不是單純提出批評。	A spectator verbally abused the referee after the match.	一名觀眾在比賽後辱罵裁判。
academy	noun	noun	a school providing general education or specialized training	學校；專業學院	可數名詞，常見 military academy 或 police academy；英美教育制度中的 academy 未必相同。	She completed her training at the police academy.	她在警察學院完成了訓練。
academy	noun_society	noun	an organization that promotes science, literature, or the arts	促進科學、文學或藝術的學會或學院	常出現在正式機構名稱中，如 an academy of sciences；不一定是提供學位的學校。	The academy elected three new members this year.	該學會今年選出了三名新會員。
accede	verb	verb	to take up a high office or become a ruler	就任高位；即位	用 accede to the throne 或 accede to office；to 是介系詞。	She acceded to the throne at the age of thirty.	她三十歲時即位。
accede	verb_agree	verb	to agree to a request or demand	同意請求或要求	正式用法，常見 accede to a request 或 accede to demands；不可直接省略 to。	The board refused to accede to the union's demands.	董事會拒絕同意工會的要求。
accede	verb_treaty	verb	to formally become a party to a treaty or agreement	正式加入條約或協定	法律與外交用語，常用 accede to a treaty；名詞形式是 accession。	The country agreed to accede to the international treaty.	該國同意正式加入這項國際條約。
accelerate	verb	verb	to move faster or cause something to move faster	加速移動；使加速	可及物或不及物；車輛加速可直接用 accelerate，減速則用 decelerate。	The train accelerated as it left the station.	火車離站時加快了速度。
accelerate	verb_process	verb	to happen more quickly or make a process happen more quickly	加快進程；促使更快發生	常見 accelerate growth、accelerate development，強調進行速度提高。	The new equipment will accelerate the testing process.	新設備將加快測試流程。
accentuate	verb	verb	to make a feature more noticeable or prominent	突顯；使更明顯	常修飾外觀、差異或問題，與 emphasize 相近，但常強調某項特徵變得更顯著。	The lighting accentuates the texture of the stone.	燈光突顯了石材的紋理。
accentuate	verb_stress	verb	to place vocal stress on a syllable or word	重讀音節或詞語	語音學用法，比日常的 stress 較少見；不要把「加重音」與「帶口音」混淆。	The speaker accentuated the final word for emphasis.	說話者重讀最後一個字以加強語氣。
accessible	adjective	adjective	possible to reach, enter, or use	可到達、進入或使用的	常用 accessible to 加使用者，或 accessible by 加交通方式；無障礙語境常見 wheelchair-accessible。	The museum is accessible to wheelchair users.	輪椅使用者可以無障礙地進入及使用這座博物館。
accessible	adjective_understand	adjective	easy to understand	容易理解的	常修飾 explanation、writing 或 introduction；accessible to beginners 指初學者也看得懂。	The author makes complex science accessible to young readers.	作者讓年輕讀者也能理解複雜的科學知識。
accessible	adjective_person	adjective	easy to contact or talk to	容易聯繫或親近的	形容人願意溝通、方便接觸，常用 be accessible to students；與 approachable 相近。	The professor is accessible to students outside class.	這位教授在課外也樂於與學生交流。
accessory	noun	noun	an item worn or carried to complement clothing	服飾配件	可數名詞，常用複數 accessories；包括皮帶、圍巾、手袋等搭配服裝的物品。	A simple scarf can be a useful accessory.	一條簡單的圍巾可以是實用的服飾配件。
accessory	noun_equipment	noun	an extra component that adds to the usefulness of a device	設備的附加配件	常用 accessories for a camera 或 phone accessories；通常指主機以外的附加物。	The shop sells cameras and accessories.	這家店販售相機及配件。
accessory	noun_crime	noun	a person who helps someone commit or conceal a crime	幫助犯罪或掩飾犯罪的人；從犯	法律用語，常用 an accessory to a crime；accessory after the fact 指犯罪後協助逃避追訴的人。	He was charged as an accessory to the robbery.	他被以這起搶案從犯的身分起訴。
accessory	adjective	adjective	additional or supplementary rather than primary	附加的；輔助的	技術語境常見 accessory equipment 或 accessory muscles，表示補充主要功能。	Accessory muscles help with breathing during strenuous exercise.	劇烈運動時，輔助肌會協助呼吸。
accommodate	verb	verb	to provide enough space or lodging for someone or something	容納；提供住宿	常以建築物作主詞，接人數；也可用 accommodate guests 表示安排住宿。	The hall can accommodate three hundred people.	這座大廳可容納三百人。
accommodate	verb_needs	verb	to adjust arrangements to meet someone's needs	配合或滿足需求	常用 accommodate someone's needs 或 accommodate a request，指調整安排以提供便利。	We changed the schedule to accommodate parents with young children.	我們調整了時程，以配合家有幼兒的家長。
accommodate	verb_adapt	verb	to adapt to a situation or make things compatible	使適應；使相容	正式用法中可用 accommodate oneself to something，to 後接名詞。	She gradually accommodated herself to the new routine.	她逐漸適應了新的日常作息。
accompany	verb	verb	to go somewhere with someone	陪同	直接接受詞，用 accompany someone；不要在此結構中加 with。	A nurse accompanied the patient to the examination room.	一位護理師陪同病人前往檢查室。
accompany	verb_occur	verb	to happen or be present together with something	伴隨發生或出現	常用 be accompanied by；描述兩件事一起出現，不必然表示因果關係。	The fever was accompanied by a severe headache.	發燒伴隨著劇烈頭痛。
accompany	verb_music	verb	to play music in support of a singer or another musician	為歌手或演奏者伴奏	用 accompany someone on 加樂器；不是單純同時演奏，而是提供伴奏。	Her brother accompanied her on the piano.	她的哥哥用鋼琴為她伴奏。
accomplish	verb	verb	to successfully complete a task or achieve a goal	完成任務；達成目標	常接 task、goal 或 mission，強調經過努力而完成；不要用 accomplish to do。	The team accomplished all its goals before the deadline.	團隊在期限前達成了所有目標。
accomplishment	noun	noun	something successfully achieved through effort	成就；完成的成果	此義可數，常見 a major accomplishment；履歷中的 accomplishments 指具體成果。	Completing the marathon was a major accomplishment for her.	跑完馬拉松對她而言是一大成就。
accomplishment	noun_completion	noun	the successful completion of a task or goal	任務或目標的完成	此義不可數，常用 the accomplishment of a goal，焦點是完成的過程或事實。	Careful planning is essential to the accomplishment of this task.	周詳規劃對完成這項任務至關重要。
accord	noun	noun	a formal agreement between groups or countries	正式協議；協定	可數名詞，常用 reach an accord 或 sign a peace accord。	The two countries signed a trade accord.	兩國簽署了一項貿易協定。
accord	noun_harmony	noun	agreement or harmony in opinions or actions	意見或行動的一致；協調	通常用 in accord with，表示與某事一致；of one's own accord 是固定片語，意為自願地。	Her account is in accord with the available evidence.	她的陳述與現有證據一致。
accord	verb	verb	to give someone a particular right, status, or treatment	給予權利、地位或待遇	正式用法，可用 accord someone something，或 accord something to someone。	The law accords every defendant the right to legal representation.	法律賦予每位被告獲得法律代理的權利。
accord	verb_agree	verb	to be consistent with something	與某事一致；相符	用 accord with，主詞常是說法、資料或行為；不可省略 with。	These results accord with our earlier findings.	這些結果與我們先前的發現相符。
accountability	noun	noun	the obligation to explain one's decisions and accept responsibility for their results	說明決策並承擔結果的責任；問責	不可數名詞；accountability to 指須向誰負責，accountability for 指須對何事負責，不譯成「可說明性」。	The policy aims to improve accountability for public spending.	這項政策旨在強化公共支出的問責機制。
accountant	noun	noun	a person whose job is to prepare, examine, or maintain financial records	會計人員；會計師	可數名詞；accountant 不一定具有會計師證照，certified public accountant 才明確表示註冊會計師資格。	The accountant checked the company's financial records.	會計人員核對了公司的財務紀錄。
accrue	verb	verb	to increase gradually over time, especially as interest or benefits	逐漸累積，尤指利息或利益	可不及物，如 interest accrues；也可及物，如 accrue interest。常描述隨時間產生的增加。	Interest accrues daily on the unpaid balance.	未清償的餘額每天都會產生利息。
accrue	verb_receive	verb	to become available to someone as a benefit or right	利益或權利歸於某人	正式用法，常用 benefits accrue to someone，to 引出獲益者。	Most of the benefits accrued to large investors.	大部分利益都歸於大型投資者。
accumulate	verb	verb	to collect or build up gradually over time	逐漸累積；積聚	可及物或不及物；accumulate experience 指累積經驗，dust accumulates 指灰塵漸漸堆積。	Dust accumulated on the unused shelves.	閒置的架子上逐漸積滿灰塵。
accumulation	noun	noun	the gradual collection or buildup of something, or the amount collected	累積；積聚的量或物	過程通常不可數；指一批積聚物時可用 an accumulation of，例如 an accumulation of dust。	The accumulation of snow forced the road to close.	積雪迫使道路封閉。
accumulation	noun_finance	noun	the retention of profits to increase a company's capital rather than distribute them	將利潤留存以增加公司資本	財務語境可用 accumulation of profits；一般財報更常見 retained earnings「保留盈餘」。	The accumulation of profits strengthened the company's capital base.	利潤的留存強化了公司的資本基礎。
accuracy	noun	noun	the degree to which information or a measurement agrees with the truth or correct value	正確性；準確度	不可數名詞，常見 check the accuracy of；測量中 accuracy 指接近真值，precision 則常指重複測量結果的一致程度。	We checked the accuracy of the figures before publication.	我們在發布前核對了數據的準確性。
accuracy	noun_digits	noun	the level of exactness specified for a numerical result	數值結果所要求的精確程度	常用 to an accuracy of，後接位數或誤差範圍；四捨五入的位數本身不保證測量接近真值。	Give the result to an accuracy of three decimal places.	請將結果表示到小數點後三位。
accurate	adjective	adjective	correct and consistent with facts or the true value	正確的；準確的	常修飾 information、description 或 measurement；副詞為 accurately，名詞為 accuracy。	The witness gave an accurate description of the vehicle.	目擊者準確描述了那輛車。
accusation	noun	noun	a statement that someone has done something wrong or illegal	指控；指責	可數名詞，常見 make an accusation 或 an accusation of theft；指控不等於已證實有罪。	She denied the accusation that she had altered the records.	她否認了竄改紀錄的指控。
accuse	verb	verb	to say that someone has done something wrong or illegal	指控；指責	用 accuse someone of something 或 of doing something；不能寫成 accuse someone for。	They accused the supplier of delivering defective parts.	他們指責供應商交付了有瑕疵的零件。
achievement	noun	noun	something successfully done through effort or skill	成就；成果	此義可數，常用 a remarkable achievement；可指一次成果或長期努力的成就。	Winning the scholarship was an important achievement.	獲得獎學金是一項重要的成就。
achievement	noun_attainment	noun	the successful attainment of a goal or standard	目標或標準的達成	此義不可數，常用 the achievement of a goal；academic achievement 指學業表現或成就。	Regular feedback supports the achievement of learning goals.	定期回饋有助於達成學習目標。
acid	noun	noun	a substance that donates protons in a chemical reaction or forms hydrogen ions in water	酸；能提供質子或在水中形成氫離子的物質	可數或不可數，常見 citric acid「檸檬酸」；酸的定義依化學理論而異，此處採常見的質子酸概念。	Lemon juice contains citric acid.	檸檬汁含有檸檬酸。
acid	noun_drug	noun	the hallucinogenic drug LSD	迷幻藥 LSD	非正式且不可數的名稱；閱讀時依上下文判斷，不可把化學語境的 acid 一律理解成毒品。	The documentary discusses the cultural history of acid.	這部紀錄片探討迷幻藥 LSD 的文化歷史。
acid	adjective	adjective	having acidic chemical properties or a sour taste	酸性的；味酸的	常見 acid soil 或 an acid taste；一般描述酸鹼性時 acidic 也很常用。	These plants grow well in acid soil.	這些植物在酸性土壤中生長良好。
acid	adjective_manner	adjective	sharp, bitter, or hurtful in tone	語氣尖酸的；刻薄的	常修飾 remark、comment 或 tone，表示話語尖刻，不是感官敏銳。	His acid remarks upset the other guests.	他尖酸的話讓其他賓客感到不快。
acoustic	adjective	adjective	relating to sound, hearing, or the properties of sound	聲音的；聽覺的；聲學的	常見 acoustic waves「聲波」或 acoustic insulation「隔音」；學科名稱是 acoustics。	The engineers measured the room's acoustic properties.	工程師測量了這個房間的聲學特性。
acoustic	adjective_music	adjective	producing sound naturally rather than through electronic sound generation	以自然共鳴發聲的；原聲的	常見 acoustic guitar 或 acoustic performance；原聲樂器仍可透過麥克風擴音，與電子產生聲音不同。	She played an acoustic guitar during the concert.	她在音樂會上彈奏原聲吉他。
acquaintance	noun	noun	a person one knows but is not close friends with	認識但交情不深的人；相識者	可數名詞，通常指交情比 friend 淺的人；an acquaintance of mine 表示我的一位熟人。	An acquaintance from university recommended the book.	一位大學時認識的人推薦了這本書。
acquaintance	noun_knowledge	noun	knowledge of a person or subject gained through experience	對人或事物的認識；了解	常用 acquaintance with；make someone's acquaintance 則表示初次結識某人。	The course assumes some acquaintance with basic statistics.	這門課預設學生對基礎統計已有一些了解。
acquiesce	verb	verb	to accept something without protest, often reluctantly	默許；勉強接受而不反對	正式用語，常用 acquiesce in a decision 或 acquiesce to a demand；強調沒有反抗，不一定真心贊同。	She reluctantly acquiesced in the committee's decision.	她勉強接受委員會的決定，沒有提出反對。
acquisition	noun	noun	the process of obtaining something or developing knowledge or skills	取得；知識或技能的習得	此義通常不可數，常見 language acquisition 或 acquisition of skills；習得語言不限於有意識地學習。	Regular conversation supports language acquisition.	經常對話有助於語言習得。
acquisition	noun_purchase	noun	something obtained or purchased, especially a company bought by another company	取得的事物；被收購的公司	此義可數；商務中 an acquisition 可指收購案或被收購的企業，須依上下文判斷。	The software company announced its latest acquisition.	這家軟體公司宣布了最新的收購案。
acre	noun	noun	a unit of area equal to 4,840 square yards, or about 4,047 square metres	英畝，約等於四千零四十七平方公尺	可數名詞，常用於土地面積；one acre 約為 0.405 公頃，不是長度單位。	The family owns ten acres of farmland.	這家人擁有十英畝農地。
acrimony	noun	noun	bitterness and hostility in speech or behavior	言行中的尖刻與敵意	不可數名詞，常見 amid acrimony 或 without acrimony；常描述爭執、談判或關係破裂。	The negotiations ended in acrimony.	談判在尖刻的爭執與敵意中結束。
activate	verb	verb	to make a device, system, or process start working	啟動；使開始運作	及物動詞，常接 account、alarm 或 a feature；activate an account 指啟用帳號。	You must activate your account before signing in.	你必須先啟用帳號才能登入。
activate	verb_chemical	verb	to treat a substance so that it becomes more reactive or more effective at adsorption	使物質活化，以提高反應性或吸附能力	化學用語，常見 activated carbon「活性碳」；adsorption 是表面吸附，與 absorption「吸收」不同。	Steam is used to activate the carbon and increase its adsorption capacity.	蒸氣用來活化碳，提高其吸附能力。
activate	verb_radioactive	verb	to make a substance radioactive by exposure to particles or radiation	使物質因照射而產生放射性	核物理用語，常見 neutron activation「中子活化」；此義不同於啟動一般設備。	Neutrons can activate some materials inside a reactor.	中子能使反應爐內的某些材料產生放射性。
actively	adverb	adverb	in a way that involves deliberate effort or participation	積極地；主動參與地	常修飾 seek、participate 或 support，表示實際投入行動；actively involved 指積極參與。	The team is actively seeking feedback from users.	團隊正積極徵求使用者的回饋。
acuity	noun	noun	the sharpness of a sense or of mental perception	感官或思考的敏銳度	不可數名詞，常見 visual acuity「視覺敏銳度」與 mental acuity「思考敏銳度」；不宜直譯為物體的尖銳。	The examination measures visual acuity at different distances.	這項檢查測量不同距離下的視覺敏銳度。
acute	adjective	adjective	very severe or intense	非常嚴重的；強烈的	常見 acute pain、an acute shortage，表示程度嚴重；與醫學上病程短的「急性」義須分開理解。	The region faces an acute shortage of clean water.	這個地區面臨嚴重的乾淨用水短缺。
acute	adjective_medical	adjective	beginning suddenly and lasting a relatively short time	急性的	醫學中與 chronic「慢性的」相對；acute 描述起病與病程，不表示所有急性病都比慢性病嚴重。	The patient was treated for acute appendicitis.	病人因急性闌尾炎接受治療。
acute	adjective_perception	adjective	able to notice or understand small differences quickly	敏銳的	常見 acute hearing 或 an acute awareness of，強調察覺細節或問題的能力。	She has an acute awareness of changes in public opinion.	她對民意的變化有敏銳的察覺力。
acute	adjective_angle	adjective	measuring less than ninety degrees	銳角的，即小於九十度的	幾何用語，an acute angle 指銳角；直角是 a right angle，鈍角是 an obtuse angle。	An equilateral triangle has three acute angles.	等邊三角形的三個角都是銳角。
