lemma	sense	pos	definitionEn	definitionZh	usageExplanationZh	exampleEn	exampleZh
charity	noun	noun	an organization that helps people in need, or the giving of such help	慈善機構；慈善	可指具體組織（a charity）或抽象行為（give to charity），常見 charity event（慈善活動）。	They donate a portion of their profits to charity every year.	他們每年都會捐出部分利潤給慈善機構。
charm	noun	noun	a quality that makes someone or something attractive or delightful	魅力；吸引力	不可數，常見 personal charm，形容討人喜歡的特質，語氣正面。	Her natural charm won over the entire audience.	她天生的魅力擄獲了全場觀眾。
charm	verb	verb	to please or attract someone greatly	迷住；使著迷	及物動詞，常見 charm someone into doing something，帶有巧妙說服的意味。	He charmed the investors with his confident presentation.	他自信的簡報迷住了投資人。
chart	noun	noun	a diagram or graph that displays information	圖表	常見 bar chart、flow chart，指以視覺方式呈現資料的圖形。	The report included a chart showing sales growth.	報告裡附了一張顯示銷售成長的圖表。
chart	verb	verb	to plan or track the course of something	規劃；記錄（進展、路線）	常見 chart a course（規劃路線）或 chart progress（追蹤進度），語氣正式。	The company charted a new course for expansion.	公司規劃了一條新的擴張路線。
charter	noun	noun	a formal document granting rights or defining an organization's principles	特許狀；憲章	常見 the UN Charter（聯合國憲章），指具法律或組織效力的正式文件。	The city's charter outlines the powers of its council.	該市的憲章明訂了市議會的權力。
charter	verb	verb	to hire a vehicle or vessel for exclusive use	包租（船、飛機等）	常見 charter a boat／plane，指整艘或整架包下供私人或團體使用。	They chartered a boat for the fishing trip.	他們包了一艘船去釣魚。
chase	verb	verb	to run after someone or something in order to catch them	追逐；追趕	及物動詞，可接人或物；也可比喻性地用於 chase a dream（追求夢想）。	The dog chased the ball across the yard.	那隻狗追著球跑過院子。
chase	noun	noun	an act of pursuing someone or something	追逐；追捕	常見 a car chase（飛車追逐），也用於 give chase（展開追逐）。	The car chase ended when the driver crashed into a wall.	這場飛車追逐在駕駛撞牆後結束。
chastise	verb	verb	to criticize or reprimand someone severely	嚴厲斥責；懲戒	語氣正式且帶有權威意味，常見於長輩對晚輩或上司對下屬的責備。	The coach chastised the team for their careless mistakes.	教練嚴厲斥責球隊犯下的粗心失誤。
chat	noun	noun	an informal conversation	閒聊；聊天	不可數或可數皆可，常見 have a chat with someone，語氣輕鬆隨意。	We had a nice chat over coffee.	我們一邊喝咖啡一邊愉快地聊天。
cheerful	adjective	adjective	feeling or showing happiness and positivity	快樂的；開朗的	常修飾人的個性或語氣，如 a cheerful smile，語氣正面且日常。	She greeted everyone with a cheerful smile.	她以開朗的笑容迎接每一位客人。
chef	noun	noun	a professional cook, especially the head cook in a restaurant	主廚；廚師	通常指專業廚師，尤指餐廳的主廚，語氣比 cook 更正式且帶有專業意涵。	The chef prepared a special tasting menu for the event.	主廚為這場活動準備了一份特別的品嚐菜單。
chemist	noun	noun	a scientist who studies chemistry, or (British) a pharmacist	化學家；（英式）藥劑師	英式英語中也指藥局或藥師，美式英語則多用 pharmacist 表達後者。	The chemist analyzed the sample for toxic substances.	那位化學家化驗樣本中是否含有毒物質。
chew	verb	verb	to crush food repeatedly with the teeth before swallowing	咀嚼	及物或不及物皆可，常見 chew food thoroughly，強調充分咀嚼以利消化。	Remember to chew your food slowly.	記得要慢慢咀嚼食物。
chic	adjective	adjective	stylish and fashionable	時髦的；優雅入時的	常修飾服裝、裝潢等，帶有法式優雅的語感，語氣正面且略帶高級感。	The boutique has a chic, minimalist interior.	那間精品店的內部裝潢時髦又簡約。
chicanery	noun	noun	the use of deception or trickery, especially in legal or political matters	詭計；欺瞞手段	語氣正式且帶負面色彩，常用於指責政治或商業上的狡詐行為。	The scandal revealed years of financial chicanery.	這起醜聞揭露了多年來的財務詭計。
chide	verb	verb	to scold someone gently for a minor fault	輕聲責備；規勸	語氣比 scold 溫和，常用於長輩對晚輩略帶關心的責備。	Her mother gently chided her for being late again.	她母親輕聲責備她又遲到了。
chill	noun	noun	an unpleasant feeling of coldness, or a feeling of fear	寒意；涼意；（恐懼引起的）寒顫	可指天氣的涼意，也可比喻性地形容因恐懼而生的寒意，如 a chill ran down her spine。	There was a chill in the autumn air.	秋天的空氣中帶著一絲寒意。
chill	verb	verb	to make something cold, or to relax	使冷卻；（口語）放鬆	及物動詞指冷藏食物飲料，如 chill the wine；口語用法則指放鬆休息。	Chill the wine for at least an hour before serving.	上桌前請將酒冰鎮至少一小時。
chin	noun	noun	the part of the face below the mouth	下巴	日常詞彙，常用於描述臉部特徵或動作，如 rest one's chin on one's hand。	He rested his chin on his hand while thinking.	他一邊思考一邊把下巴撐在手上。
chip	noun	noun	a small piece broken off something, or a small electronic circuit	碎片；（電子）晶片	可指物體碎片（wood chip）或電子元件（computer chip），依語境判斷詞義。	The computer's speed depends on its processing chip.	電腦的速度取決於其處理晶片。
chisel	noun	noun	a tool with a sharp edge used for cutting or shaping wood, stone, or metal	鑿子	工具類名詞，常見於木工或雕刻情境，如 hammer and chisel。	The sculptor used a chisel to carve the marble.	雕塑家用鑿子雕刻大理石。
choir	noun	noun	an organized group of singers, especially one that performs in church	合唱團	常見 church choir、school choir，指有組織地一起演唱的團體。	She sings in the church choir every Sunday.	她每個星期天都在教堂合唱團裡唱歌。
choke	verb	verb	to have difficulty breathing because the throat is blocked	噎住；窒息	可及物（choke someone）或不及物（choke on food），常見 choke on a bone。	He choked on a piece of bread and had to be helped.	他被一塊麵包噎住，必須有人幫忙。
chop	noun	noun	a cut of meat still attached to a bone, or a sharp cutting blow	（帶骨）肉排；劈砍	常見 pork chop（豬排），也可指用力劈砍的動作。	We grilled pork chops for dinner.	我們晚餐烤了豬排。
chord	noun	noun	a group of musical notes played together in harmony	和弦	音樂術語，常見 play a chord，指同時彈奏的多個音符組合。	She strummed a few chords on the guitar.	她在吉他上彈了幾個和弦。
chore	noun	noun	a routine task, especially a household one	家務；瑣事	常見 household chore、daily chore，指例行且略顯乏味的任務。	Washing the dishes is my least favorite chore.	洗碗是我最不喜歡的家務。
choreography	noun	noun	the arrangement of dance movements for a performance	舞蹈編排	常見 stage choreography，指為表演設計並安排的舞步動作。	The choreography for the musical was both energetic and precise.	這齣音樂劇的舞蹈編排既有活力又精準。
chorus	noun	noun	a part of a song repeated after each verse, or a group singing together	（歌曲的）副歌；合唱團	音樂用語，可指反覆演唱的段落，也可指一群人共同演唱的團體。	The audience sang along with the chorus.	觀眾跟著副歌一起唱。
chromosome	noun	noun	a structure in a cell that carries genetic information	染色體	生物學術語，常見 human chromosome，指細胞內攜帶遺傳訊息的結構。	Humans typically have 46 chromosomes in each cell.	人類每個細胞通常有46條染色體。
chronic	adjective	adjective	persisting for a long time or constantly recurring	長期的；慢性的	常修飾疾病或問題，如 chronic pain（慢性疼痛），與急性 acute 相對。	He suffers from chronic back pain.	他長期為背痛所苦。
chronology	noun	noun	the arrangement of events in the order they occurred	年代順序；大事紀	常見 in chronological order，指依時間先後排列事件的方式。	The book presents a detailed chronology of the war.	這本書詳細列出了這場戰爭的年代大事紀。
chuckle	verb	verb	to laugh quietly	輕聲笑；竊笑	語氣比 laugh 輕柔，通常表示對某事感到有趣但不張揚地笑出聲。	He chuckled at the joke but didn't laugh out loud.	他聽到這個笑話輕聲笑了，但沒有大笑出來。
chunk	noun	noun	a thick, solid piece of something	大塊；大部分	常見 a chunk of，可指實體的一大塊，也可比喻性地指時間或金錢的一大部分。	She cut the meat into large chunks.	她把肉切成大塊。
circuit	noun	noun	a closed path along which an electric current flows, or a circular route	電路；環路；巡迴賽程	可指電子迴路（electric circuit），也可指運動或表演的巡迴路線（tennis circuit）。	The engineer tested the circuit for faults.	工程師檢測這個電路是否有故障。
circular	adjective	adjective	shaped like a circle, or (of reasoning) illogically self-referential	圓形的；（論證）循環的	可描述形狀（circular table），也可指邏輯上互為前提的謬誤論證（circular reasoning）。	The tower has a circular staircase.	這座塔有一座螺旋（圓形）樓梯。
circulate	verb	verb	to move continuously through a system, or to distribute information	循環流通；傳閱、散播	可指物理性的流通（blood circulates），也可指資訊或文件的散布（circulate a memo）。	Blood circulates through the body via the heart.	血液透過心臟在體內循環流動。
circulation	noun	noun	the movement of blood through the body, or the distribution of publications	（血液）循環；（出版品的）發行量	醫學上指血液流動，出版業則指報刊雜誌的發行數量，如 the magazine's circulation。	Poor circulation can cause cold hands and feet.	血液循環不良可能導致手腳冰冷。
circumference	noun	noun	the distance around a circle or circular object	圓周；周長	幾何學術語，常見 the circumference of a circle，計算方式為直徑乘以圓周率。	The circumference of the wheel is about two meters.	這個輪子的周長大約是兩公尺。
circumspect	adjective	adjective	cautious and careful to consider possible consequences	謹慎的；小心翼翼的	語氣正式，常用於描述決策或發言時的謹慎態度，帶有深思熟慮的意味。	She was circumspect in her comments about the merger.	她對這次合併的評論相當謹慎。
circumstantial	adjective	adjective	based on inference rather than direct evidence	間接的；（證據）情況性的	常見於法律用語 circumstantial evidence（間接證據），指非直接目擊但可推論出結論的證據。	The conviction was based largely on circumstantial evidence.	這項定罪主要是根據間接證據作出的。
circus	noun	noun	a traveling company that performs acrobatics, animal acts, and other shows	馬戲團	常見 go to the circus，也可比喻性地形容混亂喧鬧的場面（a media circus）。	The children were excited to see the circus perform.	孩子們很興奮能看到馬戲團表演。
citation	noun	noun	a quoted reference to a source, or an official notice for a violation	引用；（違規）傳票、罰單	學術上指引用出處，也可指警方開立的違規通知，如 a parking citation。	The essay includes citations from several academic journals.	這篇論文引用了多篇學術期刊的內容。
cite	verb	verb	to quote a source as evidence, or to officially summon someone	引用（作為佐證）；傳喚、開罰	學術寫作中指引用文獻，法律或執法情境則指正式傳喚或開立罰單。	The report cites several studies to support its conclusion.	這份報告引用了多項研究來支持其結論。
citizenship	noun	noun	the legal status of being a citizen of a particular country	公民身分；國籍	不可數名詞，常見 apply for citizenship，指經法律程序取得的國家公民資格。	She applied for citizenship after living in the country for five years.	她在這個國家住了五年後申請公民身分。
civic	adjective	adjective	relating to a city or town, or to citizens and their responsibilities	市民的；公民的	常見 civic duty（公民義務）、civic pride（市民榮譽感），強調公共事務層面。	Voting is considered an important civic duty.	投票被視為重要的公民義務。
civilian	noun	noun	a person who is not a member of the armed forces or police	平民；老百姓	常與軍人或警察相對，強調非軍職身分，如 civilian casualties（平民傷亡）。	The war caused significant civilian casualties.	這場戰爭造成了大量平民傷亡。
civilian	adjective	adjective	relating to people who are not members of the armed forces	平民的；非軍職的	常修飾生活或身分，如 civilian life（平民生活），與軍事身分相對。	He returned to civilian life after ten years in the army.	他在軍中服役十年後回歸平民生活。
civility	noun	noun	polite, courteous behavior	禮貌；謙恭有禮	不可數名詞，常用於描述人際互動中應有的基本禮儀，尤其在公共討論中。	The debate was conducted with civility despite strong disagreements.	儘管意見分歧強烈，這場辯論仍以禮貌的態度進行。
civilization	noun	noun	an advanced and organized society, or human society as a whole	文明；文明社會	可指特定的古文明（ancient civilization），也可泛指人類整體社會發展。	The ancient Egyptian civilization built remarkable monuments.	古埃及文明建造了令人驚嘆的建築。
clamor	noun	noun	a loud, confused noise, especially of shouting	喧鬧聲；吵嚷	不可數名詞，常見 a clamor of voices，也可比喻性地指強烈的公眾訴求（a clamor for change）。	There was a clamor of protest outside the building.	建築物外傳來一陣抗議的喧鬧聲。
clamor	verb	verb	to shout or demand something loudly and insistently	大聲要求；強烈呼籲	常接 for，如 clamor for reform，表示大聲、堅持地要求某事發生。	Protesters clamored for the resignation of the minister.	抗議者高聲要求部長辭職。
clamp	noun	noun	a device used to hold objects firmly together	夾具；夾鉗	工具類名詞，常見於木工或機械情境，用來固定物體使其不移動。	He used a clamp to hold the wood in place while gluing it.	他用夾具固定木頭以便上膠。
clamp	verb	verb	to fasten or hold something firmly with a clamp	夾緊；固定	及物動詞，也常見片語 clamp down on（嚴加取締），表示加強管制或鎮壓。	The government clamped down on illegal street vendors.	政府嚴加取締非法街頭攤販。
clan	noun	noun	a group of families united by kinship or a common ancestor	氏族；家族	常見於蘇格蘭傳統或人類學語境，指以血緣或共同祖先連結的社群。	Each Scottish clan has its own tartan pattern.	每個蘇格蘭氏族都有自己專屬的格紋圖案。
clarify	verb	verb	to make something clearer or easier to understand	澄清；闡明	及物動詞，常見 clarify a point／statement，用於消除誤解或補充說明。	Could you clarify what you meant by that comment?	你能澄清一下那句話是什麼意思嗎？
clarity	noun	noun	the quality of being clear and easy to understand	清晰；明確	不可數名詞，常見 clarity of thought／expression，強調表達或思路的清楚明確。	The instructions were written with great clarity.	這些說明寫得非常清楚明確。
clash	noun	noun	a violent confrontation, or a serious disagreement	衝突；牴觸	可指實際的武力衝突（armed clash），也可指意見或風格上的不合（a clash of opinions）。	There was a violent clash between protesters and police.	抗議者與警方之間發生了激烈衝突。
clash	verb	verb	to fight or disagree strongly, or (of colors/styles) to look unpleasant together	發生衝突；牴觸；（顏色）不搭調	可用於人際或團體衝突，也可用於描述顏色或風格不協調，如 colors that clash。	The two political parties clashed over the new policy.	這兩個政黨在新政策上發生了衝突。
classification	noun	noun	the act of arranging things into categories	分類；歸類	常見 scientific classification，指依特定標準將事物系統性地歸入類別。	The classification of species is based on shared characteristics.	物種的分類是根據共同特徵進行的。
classify	verb	verb	to arrange things into categories according to shared characteristics	將…分類；歸類	及物動詞，常見 classify something as，表示依標準將事物歸入某一類別。	Scientists classify whales as mammals, not fish.	科學家將鯨魚歸類為哺乳類，而非魚類。
clause	noun	noun	a part of a sentence with its own subject and verb, or a section of a legal document	子句；（法律文件的）條款	語法上指含主詞與動詞的句子單位，法律上則指合約或法規中的個別條款。	The contract includes a clause about early termination.	這份合約包含一項有關提前終止的條款。
clay	noun	noun	a natural, sticky earth material used for making pottery and bricks	黏土	不可數名詞，常見 clay pottery，指用來製作陶器或磚塊的天然材料。	The children shaped small animals out of clay.	孩子們用黏土捏出了小動物的形狀。
clearance	noun	noun	official permission or approval, or the act of removing obstructions	（官方）許可；清除、清倉	可指正式核准（security clearance），也可指清除障礙物或存貨（a clearance sale）。	The pilot received clearance to take off.	飛行員獲得了起飛的許可。
clement	adjective	adjective	(of weather) mild and pleasant	（天氣）溫和的；宜人的	語氣正式且較少見，通常僅用於描述天氣，與 harsh 或 severe 相對。	They enjoyed a walk in the clement afternoon weather.	他們在宜人的午後天氣中散步。
clench	verb	verb	to close tightly, especially the fist or teeth	緊握；咬緊（牙關）	及物動詞，常見 clench one's fist／teeth，表示因憤怒或緊張而用力收緊。	He clenched his fists in anger.	他氣得緊握拳頭。
clerk	noun	noun	a person who works in an office doing administrative tasks, or a shop assistant	辦事員；（美式）店員	英式英語多指辦公室文書人員，美式英語則常指商店的銷售或收銀人員。	The clerk filed the documents in alphabetical order.	那位辦事員依字母順序歸檔文件。
click	noun	noun	a short, sharp sound, or the act of pressing a mouse button	喀嗒聲；（滑鼠）點擊	可指聲音本身，也可指電腦操作中按下滑鼠按鍵的動作。	I heard a click as the door locked shut.	我聽到門鎖上的喀嗒一聲。
click	verb	verb	to make a short, sharp sound, or to press a mouse button	發出喀嗒聲；點擊	及物或不及物皆可，常見 click on a link，指用滑鼠點選網路連結。	Click the button to submit the form.	點擊按鈕以送出表單。
cliff	noun	noun	a steep rock face, especially at the edge of the sea	懸崖；峭壁	常見 sea cliff，指陡峭的岩壁，尤指海岸邊緣的地形。	The house sits on the edge of a cliff overlooking the ocean.	這棟房子座落在俯瞰大海的懸崖邊上。
climate	noun	noun	the general weather conditions of an area over time, or a prevailing atmosphere	氣候；（比喻）氛圍、風氣	可指天氣型態（tropical climate），也可比喻性地形容社會或政治氛圍（political climate）。	The region has a hot, dry climate.	這個地區氣候炎熱乾燥。
clinch	verb	verb	to settle a deal or contest decisively	（決定性地）達成、贏得	及物動詞，常見 clinch a deal／victory，表示最終確定或贏得某項結果。	The team clinched the championship with a last-minute goal.	這支球隊靠著最後一分鐘的進球贏得了冠軍。
cling	verb	verb	to hold on tightly, or to remain attached to something	緊抓；依附、堅持	常接 to，如 cling to hope／a belief，可指實體抓握，也可比喻性地形容堅持不放。	The child clung to her mother's hand in the crowd.	那個孩子在人群中緊抓著媽媽的手。
clinic	noun	noun	a facility that provides medical treatment, often for outpatients	診所；門診	常見 dental clinic、health clinic，指提供醫療服務的場所，通常規模較醫院小。	She visited the clinic for a routine checkup.	她去診所做例行健康檢查。
clinical	adjective	adjective	relating to the direct observation and treatment of patients, or coldly objective	臨床的；冷靜客觀的（近乎冷漠）	醫學上指與病患診療直接相關（clinical trial），也可比喻性地形容態度冷靜甚至冷漠。	The drug is currently undergoing clinical trials.	這種藥物目前正在進行臨床試驗。
clip	noun	noun	a device for fastening things together, or a short extract from a film	夾子；（影片）片段	可指實體夾具（paper clip），也可指影片或音樂的一小段（a video clip）。	She used a clip to hold the papers together.	她用夾子把文件夾在一起。
clog	noun	noun	something that blocks a passage, or a type of wooden shoe	堵塞物；木屐	可指造成阻塞的物體（a clog in the pipe），也可指傳統的木製鞋子。	There's a clog in the kitchen sink drain.	廚房水槽的排水管堵住了。
clog	verb	verb	to block a passage so that movement is difficult	堵塞；阻塞	及物動詞，常見 clog the drain／traffic，表示使通道受阻而難以通行。	Fallen leaves clogged the gutters.	落葉堵塞了排水溝。
closet	noun	noun	a small room or cabinet used for storage, especially of clothes	衣櫥；儲藏室	美式英語常用詞，相當於英式英語的 wardrobe，指存放衣物或雜物的空間。	She hung her coat in the closet.	她把外套掛在衣櫥裡。
closure	noun	noun	the act of closing something permanently, or a sense of resolution	關閉；（心理上的）了結、結束感	可指實體或機構的關閉（factory closure），也可指情感上獲得的解脫感（emotional closure）。	The factory closure left hundreds of workers unemployed.	這家工廠的關閉使數百名工人失業。
clot	noun	noun	a thickened, semi-solid mass, especially of blood	凝塊；血栓	醫學上常見 blood clot，指血液凝結形成的塊狀物，可能引發健康風險。	Doctors found a blood clot in his leg.	醫生在他的腿部發現了血栓。
clout	noun	noun	influence or power, especially in politics or business	影響力；權勢	不可數名詞，常見 political clout，強調在特定領域中具有的實質影響力。	The senator has considerable clout in Washington.	這位參議員在華盛頓具有相當大的影響力。
clue	noun	noun	a piece of evidence or information that helps solve a problem	線索	常見 give someone a clue、find a clue，指有助於解決謎題或案件的資訊。	The detective found an important clue at the crime scene.	偵探在犯罪現場發現了一條重要線索。
clumsy	adjective	adjective	lacking physical grace or skill, causing awkward movements	笨拙的；不靈巧的	常修飾動作或人，也可比喻性地形容處理方式不當或欠缺技巧。	He knocked over the vase with a clumsy movement.	他一個笨拙的動作打翻了花瓶。
cluster	verb	verb	to gather or group together closely	聚集；群聚	常見 cluster around，表示人或物緊密地聚集在某處或某人周圍。	The children clustered around the teacher to listen to the story.	孩子們聚集在老師身邊聽故事。
clutch	noun	noun	a tight grip, or a device that connects and disconnects gears in a vehicle	緊握；（汽車）離合器	可指抓握的動作（in the clutches of），也可指汽車排檔系統中的機械裝置。	She pressed the clutch before shifting gears.	她在換檔前先踩下離合器。
coalesce	verb	verb	to come together to form one group or mass	結合；融合	不及物動詞，常用於描述原本分散的元素逐漸合併成一個整體，語氣較正式。	Several small groups coalesced into a single movement.	幾個小團體逐漸融合成一個統一的運動。
coalition	noun	noun	a temporary alliance formed by different groups for a common purpose	聯盟；聯合政府	常見 coalition government，指不同政黨或團體為共同目標而組成的聯盟。	The coalition government collapsed after only a year.	這個聯合政府成立僅一年就垮台了。
coastal	adjective	adjective	relating to or located near a coast	沿海的；海岸的	常修飾地區或城市，如 coastal city、coastal erosion，強調地理位置靠近海岸。	Coastal cities are especially vulnerable to rising sea levels.	沿海城市對海平面上升特別脆弱。
coax	verb	verb	to persuade someone gently and patiently	哄勸；耐心說服	及物動詞，常接 into doing something，語氣溫和，強調以耐心而非強迫的方式說服。	She coaxed the frightened cat out from under the bed.	她耐心地把受驚的貓從床底下哄出來。
cocaine	noun	noun	an addictive stimulant drug	古柯鹼	不可數名詞，屬管制藥物，常見於毒品相關報導或醫學文獻。	The suspect was arrested for possession of cocaine.	嫌疑人因持有古柯鹼被逮捕。
cocktail	noun	noun	a mixed alcoholic drink, or a mixture of different elements	雞尾酒；混合物	可指調製的酒精飲品，也可比喻性地指多種元素的混合（a cocktail of drugs）。	They ordered cocktails at the bar before dinner.	他們晚餐前在酒吧點了雞尾酒。
codify	verb	verb	to arrange laws or rules into a systematic code	把（法律、規則）系統化、法典化	及物動詞，語氣正式，常見於法律或制度層面的整理與統一規範。	The new constitution codified rights that had previously been unwritten.	新憲法將先前未成文的權利正式法典化。
coerce	verb	verb	to force someone to do something through pressure or threats	脅迫；強迫	及物動詞，常見 coerce someone into doing something，帶有負面意涵，強調非自願的強迫。	The witness claimed she was coerced into signing the statement.	這位證人聲稱她是被脅迫簽署這份聲明的。
cognitive	adjective	adjective	relating to mental processes such as thinking, knowing, and remembering	認知的	常見 cognitive ability／development，多用於心理學或教育學語境。	The therapy focuses on improving cognitive function in patients.	這種療法著重於改善病患的認知功能。
cohesion	noun	noun	the state of sticking together or forming a unified whole	凝聚力；結合力	不可數名詞，常見 social cohesion（社會凝聚力），強調群體之間的團結一致。	Strong leadership helped maintain team cohesion.	強而有力的領導有助於維持團隊凝聚力。
cohesive	adjective	adjective	forming a united whole; sticking together well	有凝聚力的；緊密結合的	常修飾團體或論述，如 cohesive team／argument，強調各部分之間的協調一致。	The essay lacks a cohesive structure.	這篇文章缺乏連貫一致的結構。
coincide	verb	verb	to happen at the same time as something else, or to be in agreement	同時發生；一致	常接 with，如 coincide with，可指時間上的巧合，也可指意見或利益的一致。	Her birthday happens to coincide with the national holiday.	她的生日恰好與國定假日同一天。
coincidence	noun	noun	a situation in which two events happen at the same time by chance	巧合	常見 by coincidence，強調事件同時發生並非刻意安排，而是偶然巧合。	It was a strange coincidence that we were on the same flight.	我們搭到同一班飛機真是個奇妙的巧合。
collaboration	noun	noun	the act of working together with others to achieve a shared goal	合作；協作	常見 in collaboration with，指多方共同努力完成某項工作或計畫。	The album was the result of a collaboration between two artists.	這張專輯是兩位藝術家合作的成果。
collapse	noun	noun	a sudden failure or downfall	倒塌；崩潰	可指實體結構的倒塌（building collapse），也可指制度或健康狀況的崩潰（economic collapse）。	The collapse of the bridge caused widespread panic.	這座橋的倒塌引發了廣泛恐慌。
collapse	verb	verb	to fall down or fail suddenly	倒塌；崩潰	不及物動詞，可指實體結構倒塌，也可比喻性地形容制度、健康或計畫的突然失敗。	The old building collapsed during the earthquake.	那棟舊建築在地震中倒塌了。
collar	noun	noun	the part of a shirt or coat that fits around the neck	衣領	日常詞彙，也可比喻性地用於片語 hot under the collar（生氣、惱怒）。	He straightened his collar before the interview.	他在面試前整理了一下衣領。
collate	verb	verb	to collect and combine information or documents in order	整理、彙整（資料或文件）	及物動詞，常見於辦公或研究情境，指將分散的資料依順序合併整理。	The assistant collated the survey results into one report.	助理將問卷調查結果彙整成一份報告。
collective	adjective	adjective	done or shared by a group as a whole	集體的；共同的	常見 collective decision／responsibility，強調由整個群體共同承擔或做出。	The team made a collective decision to postpone the launch.	團隊共同決定延後上市時間。
collision	noun	noun	an instance of two or more things crashing into each other	碰撞；相撞	常見 car collision，也可比喻性地指利益或想法上的衝突（collision of interests）。	The two cars were involved in a serious collision.	這兩輛車發生了嚴重的碰撞。
colonel	noun	noun	a senior military officer rank, above lieutenant colonel and below brigadier	上校	軍階名稱，常見於軍事語境，指介於中校與准將之間的軍官職級。	The colonel gave the order to advance.	那位上校下令前進。
colonial	adjective	adjective	relating to a colony or colonialism	殖民地的；殖民時期的	常修飾歷史時期或建築風格，如 colonial architecture，指與殖民統治相關的事物。	The building reflects a distinctly colonial architectural style.	這棟建築展現出明顯的殖民時期建築風格。
colonize	verb	verb	to establish control over a foreign territory and settle it with people	殖民；佔領並移居	及物動詞，常見於歷史語境，指一國對外國領土建立統治並移入人口。	European powers colonized much of Africa in the 19th century.	歐洲列強在十九世紀殖民了非洲大部分地區。
colony	noun	noun	a territory controlled by a foreign power, or a group of the same organisms living together	殖民地；（生物）群落	歷史上指被外國統治的領土，生物學上則指同種生物聚集生活的群體（an ant colony）。	India was once a British colony.	印度曾經是英國的殖民地。
