lemma	sense	pos	definitionEn	definitionZh	usageExplanationZh	exampleEn	exampleZh	collocations
therapist	noun	noun	a person trained to provide treatment for physical, mental, or emotional problems	治療師；心理治療師	常見搭配 physical/speech/family therapist；口語中若無上下文，常直接指心理治療師。	She has been seeing a therapist to deal with her anxiety.	她一直在看心理治療師來處理焦慮問題。	[{"text":"a physical therapist","meaningZh":"物理治療師"},{"text":"see a therapist","meaningZh":"接受治療師諮詢"}]
therapy	noun	noun	treatment intended to relieve or heal a disorder, especially psychological counseling	治療；療法	常見搭配 physical therapy、go to therapy；亦可作比喻，如 retail therapy（購物療法）。	He started therapy after struggling with depression for years.	他在與憂鬱症搏鬥多年後開始接受心理治療。	[{"text":"speech therapy","meaningZh":"語言治療"},{"text":"undergo therapy","meaningZh":"接受治療"}]
thereafter	adverb	adverb	after that; from then on	此後；其後	正式書面用語，常見於法律或正式文件，如合約條款；口語較少使用。	The contract is valid for one year and may be renewed thereafter.	此合約有效期為一年，此後可續約。	[{"text":"shortly thereafter","meaningZh":"此後不久"},{"text":"ever thereafter","meaningZh":"從此以後一直"}]
thereby	adverb	adverb	by that means; as a result of that	藉此；因此	正式書面用語，常用於連接前後兩個因果相關的子句，多見於學術或法律文本。	He finished the project early, thereby earning a bonus.	他提前完成了專案，因此獲得了獎金。	[{"text":"thereby reducing costs","meaningZh":"藉此降低成本"}]
thesis	noun	noun	a long piece of academic writing based on original research, usually for a degree; or a statement put forward to be argued	論文；學位論文；論點	常見搭配 write/defend a thesis；master's thesis 與 doctoral thesis 為常見學位論文類型。	She spent two years researching her doctoral thesis.	她花了兩年時間研究她的博士論文。	[{"text":"a doctoral thesis","meaningZh":"博士論文"},{"text":"defend a thesis","meaningZh":"進行論文口試或捍衛論點"}]
thief	noun	noun	a person who steals another person's property	小偷；竊賊	複數形為 thieves；常見搭配 catch a thief；與 robber（強盜，常涉及暴力或威脅）有語意差異。	The thief was caught trying to steal a car.	這名小偷被抓到正試圖偷車。	[{"text":"a car thief","meaningZh":"偷車賊"},{"text":"catch a thief","meaningZh":"抓到小偷"}]
thigh	noun	noun	the part of the leg between the hip and the knee	大腿	人體部位名詞，常見於運動、醫學或日常對話中，如 thigh muscle。	He pulled a muscle in his thigh during the race.	他在比賽中拉傷了大腿的肌肉。	[{"text":"thigh muscles","meaningZh":"大腿肌肉"},{"text":"the inner thigh","meaningZh":"大腿內側"}]
thorny	adjective	adjective	difficult or complicated to deal with, causing many problems	棘手的；令人為難的	常見搭配 a thorny issue/question/problem，字面義亦可指「多刺的」，但此語意在此詞條較常用於比喻。	Immigration policy remains a thorny issue in many countries.	移民政策在許多國家仍是個棘手的議題。	[{"text":"a thorny issue","meaningZh":"棘手的議題"},{"text":"a thorny problem","meaningZh":"難解的問題"}]
thorough	adjective	adjective	complete and careful, with attention paid to every detail	徹底的；仔細周全的	常見搭配 a thorough investigation/examination/review，強調不遺漏任何細節。	The police conducted a thorough investigation into the incident.	警方對這起事件進行了徹底的調查。	[{"text":"a thorough investigation","meaningZh":"徹底調查"},{"text":"a thorough understanding","meaningZh":"透徹的理解"}]
thoroughly	adverb	adverb	in a thorough and detailed manner; completely	徹底地；完全地	常修飾動詞，如 clean/check/enjoy thoroughly，強調程度或方式的完整性。	Please read the instructions thoroughly before starting.	開始之前請徹底閱讀說明。	[{"text":"thoroughly enjoy","meaningZh":"盡情享受"},{"text":"clean thoroughly","meaningZh":"徹底清潔"}]
thoughtful	adjective	adjective	showing careful consideration or attention to others' needs and feelings	體貼的；深思熟慮的	兼具兩種常見語意：對他人體貼周到，或思考深入謹慎；需依上下文判斷。	It was very thoughtful of you to bring flowers for her.	你帶花給她真是太體貼了。	[{"text":"a thoughtful gesture","meaningZh":"體貼的舉動"},{"text":"thoughtful consideration","meaningZh":"審慎考慮"}]
thrash	verb	verb	to hit someone repeatedly and violently, or to defeat someone decisively in a contest	痛打；擊敗（比賽中大勝對手）	常見搭配 thrash an opponent（在比賽中大勝）；口語色彩較強，比 beat 語氣更誇張。	Our team thrashed the visitors five goals to nil.	我們的隊伍以五比零痛宰了客隊。	[{"text":"thrash an opponent","meaningZh":"大勝對手"},{"text":"thrash someone with a stick","meaningZh":"用棍子痛打某人"}]
thrill	noun	noun	a sudden feeling of excitement and pleasure	刺激感；興奮激動	常見搭配 the thrill of victory、a thrill-seeker（追求刺激的人）；亦可作動詞。	Skydiving gave her the biggest thrill of her life.	高空跳傘給了她一生中最大的刺激感。	[{"text":"the thrill of victory","meaningZh":"勝利的興奮感"},{"text":"a thrill of excitement","meaningZh":"一陣興奮"}]
thrive	verb	verb	to grow, develop, or succeed vigorously; to flourish	茁壯成長；蓬勃發展	常見搭配 thrive in/on something，可指人、企業或生物在良好條件下發展良好。	The company continued to thrive despite the economic downturn.	儘管經濟不景氣，這家公司仍持續蓬勃發展。	[{"text":"thrive on challenges","meaningZh":"遇到挑戰更有幹勁"},{"text":"thrive in warm climates","meaningZh":"在溫暖氣候中茁壯成長"}]
throne	noun	noun	the ceremonial chair occupied by a king, queen, or other ruler; the position of being a monarch	王座；王位	常見搭配 ascend/take the throne（登基）；可指實體座椅，亦可比喻指君主之位。	The prince will inherit the throne when his father dies.	王子將在父親去世後繼承王位。	[{"text":"ascend the throne","meaningZh":"登基"},{"text":"heir to the throne","meaningZh":"王位繼承人"}]
thumb	noun	noun	the short, thick first digit of the human hand	大拇指	常見片語 give a thumbs up（比讚）、under someone's thumb（受某人控制）；亦可作動詞指用拇指翻閱。	He gave a thumbs up to show he was okay.	他豎起大拇指表示他沒事。	[{"text":"a rule of thumb","meaningZh":"經驗法則"},{"text":"give the thumbs up","meaningZh":"豎起拇指表示贊同"}]
thunder	noun	noun	the loud rumbling or crashing noise heard after a flash of lightning	雷聲；雷鳴	常見搭配 thunder and lightning；亦可作動詞，指發出雷鳴般的聲音或大聲吼叫。	A loud clap of thunder woke the baby.	一聲響亮的雷鳴驚醒了嬰兒。	[{"text":"a clap of thunder","meaningZh":"一聲雷響"},{"text":"rolling thunder","meaningZh":"隆隆雷聲"}]
thwart	verb	verb	to prevent someone from accomplishing something; to block a plan or effort	阻撓；挫敗（計畫、企圖）	常見搭配 thwart a plan/attempt/attack，語氣正式，強調成功阻止對方的意圖。	Security guards managed to thwart the robbery attempt.	保全人員成功阻止了這起搶劫企圖。	[{"text":"thwart an attempt","meaningZh":"挫敗企圖"},{"text":"thwart someone's plans","meaningZh":"阻撓某人的計畫"}]
tick	noun	noun	a mark (✓) used to show that something is correct or has been checked off	勾選符號；打勾記號	常見搭配 put a tick next to something；英式英語常用，美式英語多用 check mark。	Put a tick next to each item you have completed.	在每個已完成的項目旁打勾。	[{"text":"put a tick next to","meaningZh":"在……旁打勾"}]
tick	verb	verb	to make a small clicking sound repeatedly, as a clock does; or to mark with a tick	發出滴答聲；打勾標記	常見搭配 the clock ticks；片語 what makes someone tick 指了解某人的內在動機。	The clock ticked loudly in the silent room.	時鐘在安靜的房間裡發出響亮的滴答聲。	[{"text":"tick a box","meaningZh":"勾選方框"},{"text":"the clock ticks","meaningZh":"時鐘滴答作響"}]
tide	noun	noun	the regular rise and fall of the sea's surface caused by the gravitational pull of the moon and sun	潮汐；潮水	常見搭配 high/low tide；比喻用法 turn the tide 表示扭轉局勢。	We should go swimming before the tide comes in.	我們應該趁漲潮前去游泳。	[{"text":"high tide","meaningZh":"滿潮"},{"text":"low tide","meaningZh":"退潮"}]
tide	verb	verb	to help someone get through a difficult period, usually with the phrase "tide someone over"	（暫時）幫助某人度過難關	固定用法 tide someone over，常搭配金錢或資源的暫時援助。	Can you lend me some money to tide me over until payday?	你能借我一些錢讓我撐到發薪日嗎？	[{"text":"tide someone over","meaningZh":"暫時幫助某人度過難關"}]
tight	adjective	adjective	fitting closely, leaving little room; or firmly fixed and difficult to move	緊的；緊繃的；牢固的	常見搭配 tight clothes/schedule/budget；也可比喻指時間或預算緊迫。	These jeans are too tight for me now.	這條牛仔褲現在對我來說太緊了。	[{"text":"a tight grip","meaningZh":"緊握"},{"text":"a tight fit","meaningZh":"緊貼的尺寸"}]
tighten	verb	verb	to make something tighter or more secure	使變緊；拉緊；收緊	常見搭配 tighten a screw/belt；比喻用法 tighten one's belt 指節省開支。	He tightened the screws on the shelf to make it more stable.	他把架子上的螺絲拴緊，讓它更穩固。	[{"text":"tighten your belt","meaningZh":"勒緊褲帶；縮減開支"},{"text":"tighten a screw","meaningZh":"旋緊螺絲"}]
tile	noun	noun	a thin, flat piece of baked clay, stone, or other material used to cover roofs, floors, or walls	磁磚；瓦片	常見搭配 floor/roof/bathroom tile；亦可作動詞，指鋪設磁磚。	The kitchen floor is covered with white tiles.	廚房地板鋪滿了白色磁磚。	[{"text":"ceramic tiles","meaningZh":"陶瓷磁磚"},{"text":"roof tiles","meaningZh":"屋瓦"}]
tilt	noun	noun	a movement or position that is not level; a slant	傾斜；傾斜的角度	常見搭配 at a tilt、on the tilt；亦可作動詞，指使物體傾斜。	The painting hung at a slight tilt on the wall.	這幅畫在牆上掛得有點傾斜。	[{"text":"a slight tilt","meaningZh":"輕微傾斜"},{"text":"at a tilt","meaningZh":"傾斜著"}]
tilt	verb	verb	to move into a sloping position; to lean or slant	使傾斜；傾側	常見搭配 tilt your head/the camera；比喻用法 tilt the balance 表示改變優勢方向。	She tilted her head to get a better view of the painting.	她傾斜頭部以更清楚地看那幅畫。	[{"text":"tilt your head","meaningZh":"歪頭"},{"text":"tilt backwards","meaningZh":"向後傾斜"}]
timber	noun	noun	wood prepared for use in building and carpentry	木材；木料	英式英語常用 timber，美式英語多用 lumber；亦可指整體林木資源，如 timber industry。	The house was built almost entirely from local timber.	這棟房子幾乎完全用當地木材建造。	[{"text":"timber production","meaningZh":"木材生產"},{"text":"a timber frame","meaningZh":"木構架"}]
timetable	noun	noun	a plan showing the times at which particular events or tasks are scheduled to happen	時刻表；時間表	常見搭配 a bus/train/exam timetable；英式英語常用，美式英語多用 schedule。	Please check the timetable before you go to the station.	去車站前請先查看時刻表。	[{"text":"a train timetable","meaningZh":"火車時刻表"},{"text":"stick to a timetable","meaningZh":"遵守時間表"}]
timorous	adjective	adjective	showing a lack of courage or confidence; timid	膽怯的；怯懦的	書面正式用語，語氣比 shy 更強調缺乏勇氣，常見於文學描述人物性格。	The timorous new employee rarely spoke up in meetings.	這位膽怯的新員工在會議上很少發言。	[{"text":"a timorous voice","meaningZh":"怯生生的聲音"}]
tinge	verb	verb	to give something a slight trace of a color, quality, or feeling	使帶有一絲（顏色、感覺或特質）	常見搭配 tinged with sadness/regret，多用於被動語態，表達情感或色調的細微滲入。	Her joy was tinged with a hint of sadness.	她的喜悅中帶著一絲淡淡的悲傷。	[{"text":"tinge something with sadness","meaningZh":"使某事帶有一絲悲傷"}]
tinker	verb	verb	to attempt to repair or improve something in a casual or experimental way	修修補補；擺弄（機械或系統）以嘗試改善	常見搭配 tinker with something（如引擎、程式碼），語氣隨性、非正式，帶有嘗試性質。	He spent the weekend tinkering with his old motorcycle.	他花了整個週末擺弄他的老摩托車。	[{"text":"tinker with an engine","meaningZh":"擺弄修理引擎"}]
tinker	noun	noun	a person who travels around mending pots, pans, and other metal utensils, historically	補鍋匠；流動修理工	此詞為較舊式用法，現代英語中較少見，多見於歷史文本或成語 tinker's damn。	In the old days, a tinker would visit villages to mend broken pots.	在以前，補鍋匠會到各村莊修補破損的鍋子。	[{"text":"an itinerant tinker","meaningZh":"四處流動的補鍋匠"}]
tint	verb	verb	to color something slightly, especially by adding a small amount of dye or shade	使…帶有淡淡的顏色；為…染色	常見搭配 tint windows/glass/hair，強調輕微、淡淡地改變顏色，程度較 dye 淺。	She tinted her hair a light shade of brown.	她把頭髮染成了淺棕色。	[{"text":"tint the windows","meaningZh":"為窗玻璃染色"},{"text":"tint your hair","meaningZh":"染髮"}]
tire	noun	noun	a rubber covering fitted around a wheel, usually inflated with air	輪胎	美式拼法為 tire，英式拼法為 tyre；常見搭配 flat tire（爆胎）、spare tire（備胎）。	We had to change a flat tire on the highway.	我們必須在高速公路上換一個沒氣的輪胎。	[{"text":"a flat tire","meaningZh":"漏氣的輪胎"},{"text":"change a tire","meaningZh":"換輪胎"}]
tire	verb	verb	to become or make someone feel in need of rest; to lose energy or interest	使疲累；感到疲倦；厭倦	常見搭配 tire of something（對某事感到厭倦）、tire someone out（使某人筋疲力盡）。	Long meetings tend to tire everyone out by the afternoon.	冗長的會議往往讓大家到下午都筋疲力盡。	[{"text":"tire of waiting","meaningZh":"厭倦等待"},{"text":"tire easily","meaningZh":"容易疲累"}]
tissue	noun	noun	a mass of similar cells forming a part of a living organism; or a piece of soft absorbent paper	（生物）組織；面紙	常見搭配 muscle/scar tissue（生物組織）與 a box of tissues（面紙），意義依上下文而定。	The doctor took a small sample of tissue for testing.	醫生取了一小塊組織樣本進行檢驗。	[{"text":"muscle tissue","meaningZh":"肌肉組織"},{"text":"a box of tissues","meaningZh":"一盒面紙"}]
toast	noun	noun	sliced bread browned on both sides by heat	吐司；烤麵包	常見搭配 a slice of toast、butter one's toast；不可數名詞，指烤過的麵包這種食物本身。	She had toast and jam for breakfast.	她早餐吃了吐司配果醬。	[{"text":"a slice of toast","meaningZh":"一片吐司"},{"text":"buttered toast","meaningZh":"塗奶油的吐司"}]
toast	verb	verb	to raise glasses and drink in honor of someone or something	舉杯祝賀；敬酒	常見搭配 toast the bride and groom、propose a toast，常用於婚禮、慶祝場合。	The guests raised their glasses to toast the newlyweds.	賓客們舉杯向新人敬酒。	[{"text":"toast the newlyweds","meaningZh":"舉杯祝賀新人"},{"text":"toast someone's success","meaningZh":"為某人的成功敬酒"}]
tobacco	noun	noun	the dried leaves of a plant used for smoking, especially in cigarettes and cigars	菸草；煙草	常見搭配 tobacco industry/products；為不可數名詞，指菸草這種原料或作物本身。	The government raised taxes on tobacco products.	政府提高了菸草產品的稅金。	[{"text":"tobacco smoke","meaningZh":"菸草煙霧"},{"text":"the tobacco industry","meaningZh":"菸草業"}]
token	noun	noun	a piece of metal or plastic used instead of money, or something that represents a feeling, fact, or quality	代幣；象徵；表徵	常見搭配 a token of appreciation/love（表達心意的象徵物）、subway token（地鐵代幣）。	She gave him a small gift as a token of her gratitude.	她送給他一份小禮物，作為感謝的表徵。	[{"text":"a token of appreciation","meaningZh":"聊表謝意的禮物"},{"text":"a bus token","meaningZh":"公車代幣"}]
tolerance	noun	noun	the ability or willingness to accept or endure something, especially opinions or behavior one dislikes	容忍；寬容；耐受度	常見搭配 religious/racial tolerance（社會層面的包容）、tolerance for pain（生理耐受度）。	The country is known for its tolerance of different religions.	這個國家以對不同宗教的包容著稱。	[{"text":"religious tolerance","meaningZh":"宗教寬容"},{"text":"pain tolerance","meaningZh":"疼痛耐受度"}]
tolerate	verb	verb	to accept or endure something unpleasant or disliked without complaint	容忍；忍受	常見搭配 tolerate noise/behavior/pain；語氣較 accept 消極，隱含「勉強接受」之意。	The teacher will not tolerate any form of bullying in the classroom.	老師不會容忍教室裡有任何形式的霸凌行為。	[{"text":"tolerate criticism","meaningZh":"容忍批評"},{"text":"tolerate pain","meaningZh":"忍受疼痛"}]
toll	noun	noun	a fee paid for the use of a road or bridge; or the number of deaths/injuries caused by an event	通行費；(事件造成的)傷亡人數	常見搭配 pay a toll（付通行費）、the death toll（死亡人數），兩義項需依上下文判斷。	The accident's death toll rose to twelve by morning.	這起事故的死亡人數到早上已升至十二人。	[{"text":"take a toll on","meaningZh":"對……造成損害"},{"text":"the death toll","meaningZh":"死亡人數"}]
toll	verb	verb	to ring a bell slowly and repeatedly, especially to mark a death or important event	（鐘）緩慢而反覆地鳴響	常見搭配 the bell tolls，多用於莊嚴、哀悼的場合，語氣較正式、文學化。	The church bell tolled to mark the start of the funeral.	教堂的鐘聲鳴響，宣告葬禮的開始。	[{"text":"bells toll","meaningZh":"鐘聲緩慢鳴響"},{"text":"toll the hour","meaningZh":"敲鐘報時"}]
topic	noun	noun	a subject that is discussed, written about, or studied	主題；話題	常見搭配 discuss a topic、the topic of conversation；比 subject 語氣更中性、口語化。	Climate change is a popular topic for debate.	氣候變遷是熱門的辯論話題。	[{"text":"a topic of conversation","meaningZh":"談話主題"},{"text":"stay on topic","meaningZh":"不偏離主題"}]
torch	noun	noun	a portable light powered by battery, or a stick with burning material at one end used as a light source	手電筒；火把	英式英語中 torch 指手電筒，美式英語則多用 flashlight；亦可指古代照明用的火把。	He used a torch to find his way through the dark cave.	他用手電筒在黑暗的洞穴中找路。	[{"text":"an Olympic torch","meaningZh":"奧運火炬"},{"text":"carry a torch for someone","meaningZh":"對某人單戀或念念不忘"}]
torment	verb	verb	to cause someone severe mental or physical suffering, often repeatedly	折磨；使痛苦	常見搭配 torment someone with something；語氣強烈，常見於描述持續且刻意的痛苦施加。	Guilt tormented him for years after the accident.	那場意外後，罪惡感折磨了他多年。	[{"text":"torment someone with questions","meaningZh":"用問題折磨某人"},{"text":"be tormented by guilt","meaningZh":"飽受罪惡感折磨"}]
torpor	noun	noun	a state of physical or mental inactivity; lethargy	麻木；遲鈍；(身心的)不活躍狀態	書面正式用語，常見於描述極度疲憊或缺乏動力的狀態，也用於生物學描述動物的冬眠狀態。	After the huge meal, he sank into a state of torpor on the couch.	吃完那頓大餐後，他癱在沙發上陷入昏昏欲睡的狀態。	[{"text":"a state of torpor","meaningZh":"昏沉遲鈍的狀態"}]
torrential	adjective	adjective	(of rain) falling very heavily and in large amounts	（雨）傾盆的；豪雨的	幾乎只搭配 rain，如 torrential rain/downpour，強調降雨量極大且急促。	Torrential rain caused flooding across the city.	傾盆大雨導致全市多處淹水。	[{"text":"torrential rain","meaningZh":"傾盆大雨"}]
torture	noun	noun	the act of causing severe physical or mental pain, especially to punish or force information from someone	酷刑；折磨	常見搭配 subject someone to torture；亦可誇飾指令人極度不快的事，如 pure torture。	The prisoner was subjected to torture during his captivity.	這名囚犯在被囚禁期間遭受了酷刑。	[{"text":"be subjected to torture","meaningZh":"遭受酷刑"}]
torture	verb	verb	to inflict severe pain on someone, especially as punishment or coercion	對…施加酷刑；折磨	常見搭配 torture a prisoner/suspect；也可比喻指心理上的極度折磨。	The soldiers were tortured for information about their unit.	士兵們被施以酷刑逼問關於他們部隊的情報。	[{"text":"torture someone for information","meaningZh":"為逼取情報而對某人施刑"}]
toss	noun	noun	a light throw of something, or the act of flipping a coin to decide something	輕拋；擲（硬幣）	常見搭配 the toss of a coin、win the toss（贏得擲硬幣的權利，常見於運動賽事）。	The captain won the toss and chose to bat first.	隊長贏得了擲硬幣，選擇先攻。	[{"text":"a coin toss","meaningZh":"擲硬幣"}]
totalitarian	adjective	adjective	relating to a system of government that is centralized and dictatorial, requiring total subservience to the state	極權主義的	常見搭配 a totalitarian regime/state；帶有強烈負面政治意涵，指政府全面控制人民生活。	The novel depicts life under a totalitarian regime.	這本小說描繪了極權政體下的生活。	[{"text":"a totalitarian state","meaningZh":"極權國家"}]
totalitarian	noun	noun	a person who supports or practices totalitarianism	極權主義者	較少單獨使用，多以形容詞形式出現；此為名詞用法，指信奉或實踐極權統治的人。	The rebels fought against the totalitarians who had seized control.	反抗軍與奪取政權的極權主義者對抗。	[{"text":"a committed totalitarian","meaningZh":"堅定的極權主義者"}]
touchdown	noun	noun	the act of an aircraft or spacecraft landing; or (in American football) scoring by carrying or catching the ball in the end zone	（飛機或太空船的）著陸；（美式足球）達陣得分	兩義項依領域不同：航空指降落瞬間，美式足球則指得分動作，需依上下文判斷。	The pilot announced a smooth touchdown at the airport.	機長宣布飛機平穩地降落在機場。	[{"text":"score a touchdown","meaningZh":"達陣得分"},{"text":"a smooth touchdown","meaningZh":"平穩著陸"}]
tourism	noun	noun	the business of providing and arranging tours, accommodations, and activities for tourists	觀光業；旅遊業	常見搭配 the tourism industry、boost tourism；為不可數名詞，指整體產業而非個人旅遊行為。	Tourism is a major source of income for the island.	觀光業是這座島嶼的主要收入來源。	[{"text":"sustainable tourism","meaningZh":"永續觀光"}]
tournament	noun	noun	a series of contests between a number of competitors, competing for an overall prize	錦標賽；比賽	常見搭配 a chess/tennis/golf tournament；指有明確賽制、多輪淘汰或積分的正式競賽。	She won the regional tennis tournament last weekend.	她上週末贏得了地區網球錦標賽。	[{"text":"a tennis tournament","meaningZh":"網球錦標賽"}]
toxic	adjective	adjective	poisonous; harmful to living organisms	有毒的；有害的	常見搭配 toxic waste/chemicals；亦可比喻指有害的關係或環境，如 a toxic relationship。	The factory was fined for dumping toxic waste into the river.	這家工廠因將有毒廢棄物傾倒入河而被罰款。	[{"text":"toxic waste","meaningZh":"有毒廢棄物"}]
trace	noun	noun	a mark, sign, or other indication that something has existed or happened; a very small amount	痕跡；蹤跡；微量	常見搭配 without a trace（不留痕跡地消失）、trace of something（微量的某物）。	The detective found no trace of the missing documents.	偵探沒有找到失蹤文件的任何蹤跡。	[{"text":"without a trace","meaningZh":"不留痕跡"},{"text":"a trace of blood","meaningZh":"微量血跡"}]
tract	noun	noun	an area of land, or a system of organs/passages in the body, or a short pamphlet on a religious/political subject	大片土地；（人體）道；小冊子	三種常見義項需依上下文判斷：地理（a tract of land）、生理（the digestive tract）、印刷品（a religious tract）。	Farmers cleared a large tract of forest for agriculture.	農民清除了大片森林以進行農業耕作。	[{"text":"a tract of land","meaningZh":"大片土地"},{"text":"the digestive tract","meaningZh":"消化道"}]
tractable	adjective	adjective	easy to control, manage, or deal with	易駕馭的；易處理的；順從的	常與 unruly 相對，可形容人（性情溫順）或問題（容易解決），書面用語居多。	The new manager found the team surprisingly tractable and cooperative.	新任經理發現這個團隊出乎意料地容易管理、樂於合作。	[{"text":"a tractable problem","meaningZh":"容易處理的問題"}]
tractor	noun	noun	a powerful motor vehicle used mainly on farms for pulling heavy equipment	拖拉機；農用曳引機	常見搭配 drive a tractor、a tractor and trailer；主要用於農業機具語境。	The farmer used his tractor to plow the field.	農夫用他的拖拉機犁田。	[{"text":"a farm tractor","meaningZh":"農用曳引機"}]
traditionally	adverb	adverb	in a way that is consistent with tradition or long-established custom	傳統上；按照慣例	常見句首用法 Traditionally, ...，用來對比現今的變化，如 traditionally vs. nowadays。	Traditionally, the family gathers for a big meal on New Year's Eve.	傳統上，這個家庭會在除夕聚在一起吃大餐。	[{"text":"traditionally associated with","meaningZh":"傳統上與…相關"}]
tragedy	noun	noun	an event causing great suffering or destruction; or a serious play with an unhappy ending	悲劇；慘劇	兩義項常見：真實的不幸事件（a family tragedy）與戲劇文類（a Shakespearean tragedy）。	The earthquake was a tragedy that affected thousands of families.	這場地震是一場影響數千個家庭的悲劇。	[{"text":"a human tragedy","meaningZh":"人間悲劇"},{"text":"a Shakespearean tragedy","meaningZh":"莎士比亞悲劇"}]
trail	noun	noun	a path through rough country, or a mark or series of signs left by something that has passed	小徑；步道；（移動後留下的）痕跡	常見搭配 hiking trail（健行步道）、a trail of blood/clues（一連串的痕跡或線索）。	They hiked along a mountain trail for six hours.	他們沿著一條山間步道健行了六個小時。	[{"text":"a hiking trail","meaningZh":"健行步道"}]
trail	verb	verb	to drag or be dragged along behind someone or something; to follow behind, especially while losing	拖曳；尾隨；（比賽中）落後	常見搭配 trail behind（落後於）、trail someone（尾隨跟蹤某人）。	The team was trailing by ten points at halftime.	這支隊伍在中場休息時落後十分。	[{"text":"trail behind","meaningZh":"落在後面"}]
trait	noun	noun	a distinguishing quality or characteristic, typically of a person	特質；特徵	常見搭配 a personality trait（性格特質）、genetic trait（遺傳特徵）。	Honesty is one of his most admirable traits.	誠實是他最令人欽佩的特質之一。	[{"text":"personality traits","meaningZh":"人格特質"}]
tramp	noun	noun	a person who travels from place to place on foot, especially one who is homeless	流浪漢；遊民	帶有較舊式或文學色彩的用詞，現代英語常用 homeless person 較為中性、不帶貶義。	The old tramp slept on a park bench every night.	那位老流浪漢每晚都睡在公園長椅上。	[{"text":"a wandering tramp","meaningZh":"四處流浪的遊民"}]
tramp	verb	verb	to walk with heavy, firm steps, typically for a long distance	重步行走；跋涉	常見搭配 tramp through the woods/mud，強調步伐沉重、費力，常與長途或艱難地形有關。	They tramped through the muddy fields for hours.	他們在泥濘的田野中跋涉了好幾個小時。	[{"text":"tramp through the woods","meaningZh":"重步穿越樹林"}]
