lemma	sense	pos	definitionEn	definitionZh	usageExplanationZh	exampleEn	exampleZh
founder	noun	noun	a person who establishes an organization, institution, or business	創辦人；奠基者	常接機構名稱，如 the founder of the company；常與 co-founder（共同創辦人）並用。	She is the founder of a nonprofit organization for literacy.	她是一個提倡識字教育的非營利組織的創辦人。
founder	verb	verb	to fail or break down completely, especially of a plan or ship	（計畫）失敗；（船）沉沒	常見 the plan foundered（計畫破局）或 the ship foundered（船隻沉沒），與 found（建立）為完全不同的詞。	The negotiations foundered over disagreements about pricing.	談判因價格分歧而破裂。
fountain	noun	noun	a structure that sends up jets of water, often for decoration	噴泉	常見於公園或廣場等公共空間，如 a water fountain；也可指飲水機（美式英語 drinking fountain）。	Tourists often take photos in front of the famous fountain.	遊客常在這座著名的噴泉前拍照。
fraction	noun	noun	a small part or amount of something	一小部分；小部分	常見 only a fraction of，強調數量極少，如 a fraction of the cost（僅一小部分的費用）。	He finished the marathon in a fraction of the time he expected.	他完成馬拉松所花的時間只是他預期的一小部分。
fraction	noun_math	noun	a numerical quantity that is not a whole number, expressed as one number divided by another	分數	數學用語，如 one half is a fraction；與整數 whole number 相對。	Students learn to add and subtract fractions in third grade.	學生在三年級學習分數的加減運算。
fracture	noun	noun	a break, especially in a bone	骨折；斷裂	醫學脈絡常用，如 a hairline fracture（裂痕型骨折）；也可指材料或結構的裂縫。	He suffered a fracture in his left arm during the fall.	他跌倒時左臂骨折了。
fracture	verb	verb	to break or crack, or to cause something to break	（使）破裂；（使）骨折	及物或不及物皆可，fracture a bone 或 the relationship fractured（比喻關係破裂）。	The vase fractured when it fell off the shelf.	花瓶從架上掉落時裂開了。
fragile	adjective	adjective	easily broken, damaged, or destroyed	易碎的；脆弱的	常修飾物品，如 fragile glassware；也可比喻脆弱的狀態，如 a fragile peace（脆弱的和平）。	The package was labeled "fragile" because it contained glass items.	這個包裹因為裝有玻璃製品，被標示為「易碎品」。
fragment	noun	noun	a small piece or part broken off from something larger	碎片；片段	常見 fragments of glass（玻璃碎片）或抽象用法 a fragment of memory（一段記憶片段）。	Archaeologists found fragments of ancient pottery at the site.	考古學家在遺址發現了古代陶器的碎片。
fragrance	noun	noun	a pleasant, sweet smell	香味；芬芳	常見於花朵、香水描述，如 a floral fragrance；比 smell 更正面、更文雅。	The garden was filled with the fragrance of blooming roses.	花園裡瀰漫著盛開玫瑰的芬芳。
fragrant	adjective	adjective	having a pleasant or sweet smell	芳香的；芬芳的	常修飾花、茶、食物等，如 fragrant tea；語氣正面優雅。	The bakery was filled with the fragrant smell of fresh bread.	麵包店裡瀰漫著新鮮麵包的香氣。
frame	noun	noun	a rigid structure that surrounds or supports something, such as a picture or window	框架；框	常見 a picture frame（相框）、window frame（窗框）；也可指人的體格，如 a slender frame。	She hung the photo in a wooden frame.	她把照片掛在木製相框裡。
frank	adjective	adjective	honest and direct in what one says, even if it might not be welcome	坦率的；直言不諱的	常見 to be frank with you（老實跟你說），常置句首作插入語，語氣誠懇。	To be frank, I don't think the plan will work.	老實說，我不認為這個計畫行得通。
fraternal	adjective	adjective	relating to or characteristic of brothers, or brotherly in feeling	兄弟般的；友愛的	常見 fraternal twins（異卵雙胞胎，與 identical twins 相對），也可形容如兄弟般的情誼。	The two soldiers developed a fraternal bond during the war.	這兩名士兵在戰爭期間建立了兄弟般的情誼。
fraternity	noun	noun	a group of people sharing a common profession or interest, or a male student society	同業團體；（美國大學）兄弟會	美國大學脈絡常指男學生社團 college fraternity；也可泛指有共同職業或興趣的團體，如 the legal fraternity。	He joined a fraternity during his freshman year at college.	他大一時加入了一個兄弟會。
fraud	noun	noun	the crime of deceiving someone to gain money or another advantage illegally	詐欺；詐騙罪	常見 commit fraud、credit card fraud；也可指騙子本人（口語），如 he's a fraud。	She was convicted of tax fraud after years of falsifying records.	她因多年偽造紀錄而被判犯有逃稅詐欺罪。
freight	noun	noun	goods transported by truck, train, ship, or aircraft	貨物；貨運	常見 freight train（貨運列車）、freight charges（運費）；多用於商業或物流語境。	The freight was delayed at customs for two days.	這批貨物在海關延誤了兩天。
freight	verb	verb	to load or send goods as freight, or to burden with something	運送（貨物）；使承載（負擔）	常用被動語態 be freighted with，比喻承載了某種情緒或意義，如 freighted with meaning。	The negotiations were freighted with tension from the start.	這場談判從一開始就充滿了緊張氣氛。
frequency	noun	noun	the rate at which something occurs over a period of time	頻率；發生的次數	常見 the frequency of visits（拜訪的頻率）；物理學脈絡也指波動頻率，如 radio frequency。	The frequency of earthquakes in the region has increased in recent years.	該地區近年來地震發生的頻率增加了。
frequent	adjective	adjective	occurring often or at short intervals	頻繁的；常發生的	常修飾 visits、flights 等可重複發生之事，如 frequent flyer（常客）。	He is a frequent visitor to the museum.	他是這間博物館的常客。
frequent	verb	verb	to visit a place often	經常光顧（某地）	及物動詞，直接接地點作受詞，如 frequent a café，語氣比 visit often 更正式簡潔。	The writer used to frequent this small café to work on her novels.	這位作家過去常在這家小咖啡館寫小說。
freshly	adverb	adverb	very recently; in a new or fresh way	剛剛；新近地	常修飾過去分詞，如 freshly baked（剛烤好的）、freshly painted（剛油漆好的）。	The kitchen smelled of freshly baked cookies.	廚房裡瀰漫著剛烤好的餅乾香味。
fringe	noun	noun	the outer, less central, or marginal part of something	邊緣；外圍	常見 the fringe of society（社會邊緣）、on the fringe of the city（城市外圍）；也指流蘇裝飾。	Radical ideas often start on the fringe before entering the mainstream.	激進的想法通常先出現在邊緣地帶，再進入主流。
fringe	verb	verb	to form a border or edge around something	鑲邊於；圍繞（形成邊緣）	常用被動語態 be fringed with，描述景物周圍環繞著什麼，如 fringed with trees。	The lake was fringed with tall pine trees.	這座湖泊四周環繞著高聳的松樹。
frivolous	adjective	adjective	not having any serious purpose or value; silly	輕浮的；不認真的；無意義的	常修飾 spending、lawsuit 等，如 a frivolous lawsuit（無理取鬧的訴訟），帶負面評價。	The judge dismissed the case as frivolous.	法官認定這起訴訟無理取鬧，予以駁回。
frontier	noun	noun	a border between two countries, or the edge of settled or explored territory	邊境；邊界；（知識或科技的）前沿	常見比喻用法 the frontier of science（科學的前沿），指尚待開發或探索的領域。	Researchers are pushing the frontier of medical technology.	研究人員正在推動醫療科技的前沿發展。
frown	noun	noun	an expression of displeasure or concentration made by wrinkling the forehead	皺眉（的表情）	常見 with a frown（皺著眉頭），描述臉部表情，語氣中性偏負面。	She read the letter with a deep frown on her face.	她讀信時，臉上帶著深深的皺眉。
frown	verb	verb	to wrinkle one's forehead in displeasure, concentration, or disapproval	皺眉	不及物動詞，常接 at，frown at someone 表示對某人不悅；frown on/upon 表示不贊同某事。	Teachers frown upon students using their phones in class.	老師不贊同學生在課堂上使用手機。
frugal	adjective	adjective	careful about spending money or using resources; avoiding waste	節儉的；儉樸的	正面詞彙，強調有智慧地節省而非小氣，如 a frugal lifestyle。	They lived a frugal life in order to save for retirement.	他們過著節儉的生活，以便為退休存錢。
fruition	noun	noun	the point at which a plan or project is realized or fulfilled	實現；成果	常見 come to fruition（實現、開花結果），多用於計畫或努力的最終成果。	Years of research finally came to fruition with this discovery.	多年的研究終於在這項發現中開花結果。
frustrate	verb	verb	to prevent someone from achieving a goal, causing feelings of annoyance	使沮喪；阻撓；使受挫	可接人（感到挫折）或計畫（被阻撓），如 frustrate someone's efforts。	Constant delays frustrated the entire team.	不斷的延誤讓整個團隊感到沮喪。
frustration	noun	noun	the feeling of being upset or annoyed as a result of being unable to change or achieve something	挫折感；沮喪	常見 out of frustration（出於挫折感）、express frustration（表達不滿）。	He sighed in frustration when the computer crashed again.	電腦又當機時，他無奈地嘆了口氣。
fuel	noun	noun	a material burned to produce heat or power	燃料	常見 fossil fuel（化石燃料）；比喻用法 add fuel to the fire（火上加油）。	The car ran out of fuel on the highway.	這輛車在高速公路上耗盡了燃料。
fuel	verb	verb	to supply with fuel, or to increase the intensity of something	為……提供燃料；加劇；助長	比喻用法常見 fuel speculation、fuel tension，指使情況更加惡化或激烈。	Rising prices fueled public anger over the new policy.	物價上漲加劇了民眾對新政策的憤怒。
fulfil	verb	verb	to achieve or carry out something, such as a promise, duty, or ambition	實現；履行；完成	常接 promise、duty、potential 等，如 fulfil one's potential（發揮潛力）；英式拼法，美式為 fulfill。	She worked hard to fulfil her dream of becoming a doctor.	她努力實現成為醫師的夢想。
functional	adjective	adjective	practical and useful, or working properly and as intended	實用的；功能性的；正常運作的	常修飾設計或系統，如 functional design（實用的設計），強調重視實用性而非美觀。	The office furniture is simple but functional.	這辦公家具雖然簡單，卻很實用。
fundamental	adjective	adjective	forming a necessary base or core; of central importance	基本的；根本的；重要的	常見 a fundamental right（基本權利）、fundamental change（根本性的改變）。	Trust is fundamental to any healthy relationship.	信任對任何健康的關係都是根本重要的。
fundamental	noun	noun	a basic principle or rule that forms the foundation of a system or belief	基本原理；基礎	常用複數 fundamentals，如 the fundamentals of physics（物理學基礎原理）。	Before learning advanced techniques, students must master the fundamentals.	在學習進階技巧之前，學生必須先掌握基本原理。
furious	adjective	adjective	extremely angry	盛怒的；狂怒的	比 angry 語氣強烈得多，常見 furious at/with someone；也可修飾激烈的活動，如 a furious pace。	He was furious when he discovered his car had been scratched.	他發現自己的車被刮傷時，勃然大怒。
furnish	verb	verb	to provide a room or building with furniture	布置（傢俱）；裝設	常見 furnish an apartment（為公寓布置傢俱），also furnish someone with information（提供資訊，較正式）。	They furnished the new apartment with secondhand furniture.	他們用二手家具布置了新公寓。
furrow	noun	noun	a long narrow trench made in the ground by a plow, or a deep wrinkle	犁溝；（臉上的）深皺紋	農業脈絡指田裡的犁溝；也可比喻皺紋，如 furrows on the brow（額頭的皺紋）。	The farmer plowed straight furrows across the field.	農夫在田裡犁出筆直的溝壟。
furrow	verb	verb	to make deep wrinkles or lines in something, especially the brow	使起皺紋（尤指額頭）	常見 furrow one's brow，表示皺眉思考或擔憂，是常見的固定搭配。	She furrowed her brow in confusion as she read the instructions.	她讀著說明時，困惑地皺起了眉頭。
fury	noun	noun	violent or uncontrollable anger	盛怒；狂怒	比 anger 更強烈，常見 in a fury（勃然大怒地）；也可形容自然力量的猛烈，如 the fury of the storm。	He stormed out of the room in a fury.	他在盛怒之下衝出了房間。
fusion	noun	noun	the process of joining two or more things together to form a single new thing	融合；結合	常見 nuclear fusion（核融合）；也用於文化或風格的融合，如 a fusion of jazz and rock。	The restaurant is known for its fusion of Thai and French cuisine.	這家餐廳以融合泰式與法式料理聞名。
fuss	noun	noun	unnecessary or excessive worry, excitement, or activity about something	大驚小怪；小題大作	常見 make a fuss（大驚小怪，抱怨）、without much fuss（沒有太多麻煩地）。	There's no need to make such a fuss over a small mistake.	沒必要為了一個小錯誤這麼大驚小怪。
fuss	verb	verb	to show unnecessary or excessive concern about something	大驚小怪；瞎操心	常接 over/about，如 fuss over details（在細節上瞎操心）。	Stop fussing over what other people think of you.	別再為別人怎麼看你而瞎操心了。
fussy	adjective	adjective	overly concerned with details or difficult to please	愛挑剔的；難取悅的	常修飾人，如 a fussy eater（挑食的人）；也可形容過度講究裝飾的設計，如 a fussy pattern。	My grandmother is very fussy about how her tea is prepared.	我祖母對泡茶的方式非常挑剔。
futile	adjective	adjective	incapable of producing any useful result; pointless	徒勞的；無用的	常見 a futile attempt（徒勞的嘗試），強調努力注定失敗，語氣正式。	Their futile attempts to fix the old car finally ended in giving up.	他們修理那輛舊車的努力終究徒勞無功，最後只好放棄。
futility	noun	noun	the state of being useless or having no effective result	徒勞；無用	常見 the futility of war（戰爭的徒勞無益），語氣書面、帶哲理色彩。	He eventually recognized the futility of arguing with her.	他最終意識到跟她爭論是徒勞的。
galaxy	noun	noun	a large system of stars, dust, and gas held together by gravity	銀河系；星系	天文學用語，如 the Milky Way galaxy；也可比喻眾多名人聚集，如 a galaxy of stars（群星薈萃）。	Our solar system is just a small part of the Milky Way galaxy.	我們的太陽系只是銀河系中的一小部分。
gall	noun	noun	rude boldness or lack of respect; shameless audacity	厚顏無恥；膽大妄為	常見 have the gall to do something（居然有臉做某事），語氣強烈帶批評。	He had the gall to ask for a raise after missing three deadlines.	他錯過三次期限後，居然還敢厚著臉皮要求加薪。
gall	verb	verb	to irritate or annoy someone greatly	使惱怒；使苦惱	常用被動語態，如 be galled by something，語氣正式書面。	It galled him to see his rival receive all the credit.	看到對手獲得所有讚譽，讓他十分惱怒。
gallery	noun	noun	a room or building for the display or sale of works of art	畫廊；美術館	常見 an art gallery；也指劇院或議會中的旁聽席，如 the public gallery。	They spent the afternoon browsing an art gallery downtown.	他們花了一個下午在市中心的一間畫廊裡參觀。
gallon	noun	noun	a unit of liquid measure	加侖（液體容量單位）	常見於油量或油耗描述，如 miles per gallon；英制與美制加侖容量略有不同。	The car gets about thirty miles per gallon on the highway.	這輛車在高速公路上每加侖油可跑約三十英里。
gallop	noun	noun	the fastest pace of a horse, with all four feet off the ground at once	（馬的）疾馳；奔馳	常見 at a gallop（以疾馳的速度）；比喻快速前進的過程亦可使用。	The horse broke into a gallop as soon as the gate opened.	閘門一開，馬就立刻疾馳起來。
gallop	verb	verb	(of a horse) to run at a gallop, or to move or progress very quickly	（馬）疾馳；快速前進	常見 gallop across the field；比喻用法如 the story gallops along（故事節奏明快）。	The horses galloped across the open field.	馬群在開闊的田野上疾馳而過。
galvanize	verb	verb	to shock or excite someone into taking action	刺激；激勵（使採取行動）	常接 into action，如 galvanize people into action，強調突然的激勵效果，語氣正式。	The speech galvanized the crowd into action.	這場演講激勵了群眾採取行動。
gamble	noun	noun	an act involving risk that may result in loss, undertaken with hope of gain	賭博；冒險行為	常見 take a gamble（冒險一試），可指實際賭博或比喻性的冒險決定。	Investing all his savings in the startup was a huge gamble.	把所有積蓄投資在這家新創公司是一場大賭注。
gamble	verb	verb	to risk money or something valuable on an uncertain outcome, especially in games of chance	賭博；下賭注	常接 on，如 gamble on the stock market；也可比喻性使用，指冒險做決定。	He gambled away his entire paycheck at the casino.	他在賭場把整份薪水都輸光了。
gape	noun	noun	a wide opening or gap	裂口；缺口	較少見用法，多描述物體上突然出現的空隙或裂縫。	There was a gape in the fence where the wood had rotted.	圍籬上有一個因木頭腐爛而出現的缺口。
gape	verb	verb	to stare with one's mouth open in surprise or wonder	目瞪口呆地凝視	常見 gape at，表示因驚訝而張大嘴巴盯著看，語氣生動。	Tourists gaped at the towering waterfall in amazement.	遊客們驚嘆地目瞪口呆望著那座高聳的瀑布。
garbage	noun	noun	waste material that is discarded, or something considered worthless	垃圾；廢物	常見 take out the garbage（倒垃圾）；口語也可比喻毫無價值的東西或言論，如 that's garbage。	Please take the garbage out before you leave for work.	上班前請把垃圾拿出去丟。
garland	noun	noun	a decorative wreath of flowers or leaves worn or hung as a decoration	花環；花圈	常見於慶典裝飾，如 a garland of flowers；與喪禮用花圈 wreath 略有不同，語氣較喜慶。	Dancers wore garlands of fresh flowers around their necks.	舞者的脖子上戴著新鮮花朵編成的花環。
garland	verb	verb	to decorate something with a garland	用花環裝飾	較少見用法，常用於描述場地或人物以花環裝飾的畫面。	The stage was garlanded with flowers for the ceremony.	舞台上為了這場典禮裝飾了花環。
garment	noun	noun	an item of clothing	衣物；服裝（單件）	比 clothes 更正式，常用於時尚、產業或法律語境，如 a garment factory（成衣廠）。	Each garment in the collection was handmade.	這系列中的每件服裝都是手工製作的。
garrulous	adjective	adjective	excessively talkative, especially about trivial matters	話多的；喋喋不休的	帶輕微負面意味，形容人愛說瑣事、話多到令人厭煩，語氣正式書面。	The garrulous old man kept the entire bus entertained with his stories.	那位話多的老先生用他的故事逗樂了整輛巴士的乘客。
gasoline	noun	noun	a liquid fuel used mainly in vehicle engines, refined from petroleum	汽油	美式英語用詞，英式英語常用 petrol；常見 gasoline prices、gasoline engine。	Gasoline prices have risen sharply this month.	這個月汽油價格大幅上漲。
gasp	noun	noun	a sudden, sharp intake of breath, often from surprise or pain	喘息；倒抽一口氣	常見 with a gasp（倒抽一口氣地），描述驚訝或痛苦的瞬間反應。	She let out a gasp when she saw the surprise party.	她看到驚喜派對時，倒抽了一口氣。
gastric	adjective	adjective	relating to the stomach	胃部的；胃的	醫學用語，常見 gastric ulcer（胃潰瘍）、gastric surgery（胃部手術）。	He was diagnosed with a gastric ulcer after months of stomach pain.	經過數月的胃痛後，他被診斷出患有胃潰瘍。
gauge	noun	noun	an instrument for measuring the amount or level of something	量表；測量儀器	常見 fuel gauge（油量表）、pressure gauge（壓力計）；也可比喻衡量標準，如 a gauge of public opinion。	The fuel gauge showed the tank was almost empty.	油量表顯示油箱幾乎空了。
gaunt	adjective	adjective	extremely thin and bony, especially from illness, hunger, or suffering	消瘦憔悴的	常修飾人的外貌，強調因病痛或飢餓而顯得虛弱，語氣中性偏負面。	After weeks of illness, he looked gaunt and pale.	經過數週的病痛，他看起來憔悴又蒼白。
gaze	noun	noun	a long, steady look at someone or something	凝視；注視	常見 fix one's gaze on（將視線固定在……上），語氣比 look 更持久專注。	Her gaze fell upon the old photograph on the wall.	她的目光落在牆上那張舊照片上。
gaze	verb	verb	to look steadily and intently at someone or something	凝視；注視	常接 at，如 gaze at the stars；比 look 更強調持續且專注的凝視。	He gazed at the horizon, lost in thought.	他凝視著地平線，陷入沉思。
gear	noun	noun	equipment or clothing needed for a particular activity	裝備；用具	常見 camping gear（露營裝備）、safety gear（安全裝備）；也可指機械齒輪或汽車排檔。	Make sure you bring all your hiking gear before the trip.	出發前確定你帶齊了所有登山裝備。
gear	verb	verb	to adjust or design something to suit a particular purpose or group	使適合；針對（某目的或對象調整）	常見 be geared toward/to，如 courses geared toward beginners（針對初學者設計的課程）。	The marketing campaign is geared toward younger consumers.	這項行銷活動是針對年輕消費者所設計的。
gene	noun	noun	a unit of heredity that is transferred from parent to offspring	基因	生物學用語，常見 gene mutation（基因突變）；比喻用法如 it's in his genes（那是他天生的特質）。	Scientists identified the gene responsible for the disease.	科學家找出了導致這種疾病的基因。
generality	noun	noun	a statement that is general and not specific, lacking detail	籠統的說法；泛泛之詞	常用複數 generalities，帶輕微負面意味，指言論空泛缺乏具體內容。	The politician's speech was full of generalities and short on specifics.	這位政治人物的演講充滿籠統之詞，缺乏具體內容。
generate	verb	verb	to produce or create something, especially energy, income, or interest	產生；引起；創造	常接 income、interest、electricity 等，如 generate revenue（創造營收）。	Solar panels generate electricity from sunlight.	太陽能板利用陽光發電。
generator	noun	noun	a machine that produces electricity	發電機	常見 backup generator（備用發電機），用於停電或緊急情況供電。	They used a generator to power the house during the storm.	暴風雨期間，他們用發電機為房子供電。
generic	adjective	adjective	not specific to a particular brand; general or common to a whole group	通用的；非品牌專屬的；一般性的	常見 generic drug（學名藥，非品牌藥）、generic term（通用術語）。	She bought the generic version of the medicine to save money.	她買了學名藥版本的藥品來省錢。
generous	adjective	adjective	willing to give more of something, such as money or time, than is expected	慷慨的；大方的	常接 with，如 generous with one's time；也可修飾份量，如 a generous portion（豐盛的份量）。	He is always generous with his time when helping students.	他在幫助學生時總是很慷慨地付出時間。
genetic	adjective	adjective	relating to genes or heredity	基因的；遺傳的	常見 genetic disorder（遺傳疾病）、genetic engineering（基因工程）。	The disease is believed to have a genetic cause.	這種疾病被認為具有遺傳性的成因。
genial	adjective	adjective	friendly, warm, and cheerful in manner	親切和藹的；友善的	常修飾人的態度或性格，語氣正面，強調讓人感到舒服自在。	The genial host made everyone feel welcome at the party.	這位親切和藹的主人讓每個人在派對上都感到賓至如歸。
genius	noun	noun	exceptional intellectual or creative ability, or a person who has it	天才；卓越的才能	常見 a stroke of genius（神來一筆）；可指人（he is a genius）或才能本身。	Her ability to solve the problem so quickly was pure genius.	她能這麼快解決問題，簡直是天才之舉。
genre	noun	noun	a category of artistic work characterized by a particular style or content	（文學、藝術）類型；體裁	常見於文學、電影、音樂分類，如 the horror genre（恐怖片類型）。	Science fiction is her favorite literary genre.	科幻小說是她最喜歡的文學體裁。
genteel	adjective	adjective	polite, refined, or affectedly elegant in manner	（有時帶矯揉造作意味的）優雅得體的	常帶輕微負面意味，暗示刻意表現出的高雅，與自然的 elegant 略有不同。	She spoke in a genteel manner that seemed a bit forced.	她說話的方式優雅得體，卻顯得有些做作。
gentle	adjective	adjective	mild, kind, or not forceful or harsh	溫和的；溫柔的	常修飾人的態度或動作力道，如 a gentle touch（輕柔的觸碰），也可形容坡度平緩，如 a gentle slope。	She gave the puppy a gentle pat on the head.	她輕柔地拍了拍小狗的頭。
genuine	adjective	adjective	truly what it is said to be; authentic; sincere	真正的；真誠的；非仿冒的	常見 genuine leather（真皮）、genuine concern（真誠的關心）；與 fake 相對。	His apology sounded genuine and heartfelt.	他的道歉聽起來真誠又發自內心。
geographic	adjective	adjective	relating to geography or the physical features of an area	地理的；地理學的	常見 geographic location（地理位置）、geographic boundary（地理界線）。	The company expanded its geographic reach into new markets.	這家公司將其地理版圖擴展到新的市場。
ghastly	adjective	adjective	extremely unpleasant, frightening, or shocking	可怕的；駭人的	語氣強烈，常修飾事故、景象或情況，如 a ghastly accident；口語也可誇張形容令人不快之事。	The car crash left a ghastly scene on the highway.	這場車禍在高速公路上留下了可怕的景象。
giant	noun	noun	a legendary being of human form but superhuman size, or something huge or very important	巨人；（產業或領域中的）巨頭	常見比喻用法 an industry giant（產業巨頭），指規模或影響力極大的組織或人物。	The company has grown into a giant in the tech industry.	這家公司已成長為科技產業的巨頭。
giddy	adjective	adjective	having a sensation of whirling and a loss of balance, or feeling extremely excited	頭暈的；興奮到飄飄然的	可形容生理暈眩，如 feel giddy；也常形容因興奮而忘乎所以，如 giddy with excitement。	She felt giddy with excitement after receiving the acceptance letter.	收到錄取通知後，她興奮得飄飄然。
giggle	verb	verb	to laugh in a silly or nervous, high-pitched way	咯咯地笑；傻笑	常見於形容孩童或害羞的笑聲，語氣輕鬆帶點孩子氣。	The girls giggled uncontrollably during the movie.	女孩們在電影播放時忍不住咯咯地笑個不停。
giggle	noun	noun	a silly, high-pitched laugh	咯咯的笑聲	常見 have a fit of giggles（一陣咯咯笑），常形容難以克制的笑意。	A giggle escaped from the back of the classroom.	教室後方傳來一聲咯咯的笑聲。
gingerly	adverb	adverb	in a careful, cautious manner, especially to avoid harm or noise	小心翼翼地；謹慎地	常修飾動作動詞，如 step gingerly（小心翼翼地踏步），強調動作輕柔謹慎。	She gingerly picked up the broken glass.	她小心翼翼地撿起碎玻璃。
