lemma	sense	pos	definitionEn	definitionZh	usageExplanationZh	exampleEn	exampleZh	collocations
deviant	adjective	adjective	departing from usual or accepted standards, especially in social or sexual behavior	偏差的；異常的	常修飾 behavior，如 deviant behavior，帶有負面評價，指明顯偏離社會常規。	The study examined the causes of deviant behavior among teenagers.	這項研究探討了青少年偏差行為的成因。	[{"text":"deviant behavior","meaningZh":"偏差行為"}]
deviant	noun	noun	a person whose behavior departs markedly from accepted social standards	行為偏差者	通常帶負面意味，指明顯違反社會規範的人，較正式或臨床的用語。	The community was quick to label him as a deviant.	社區裡的人很快就給他貼上行為偏差者的標籤。	[{"text":"label someone a deviant","meaningZh":"把某人標籤為行為偏差者"}]
device	noun	noun	a piece of equipment made for a particular purpose, especially a mechanical or electronic one	裝置；設備	常見 electronic device、safety device；泛指各種功能性器具，範圍廣泛。	She charges her mobile device every night before bed.	她每晚睡前都會替她的行動裝置充電。	[{"text":"a handheld device","meaningZh":"手持裝置"}]
devise	verb	verb	to plan or invent something through careful thought	設計；想出（辦法）	常接 a plan/method/way，如 devise a strategy；強調經思考後創造出新方法或計畫。	The team devised a new strategy to increase sales.	團隊想出了一套提升銷售的新策略。	[{"text":"devise a plan","meaningZh":"想出計畫"}]
devoid	adjective	adjective	completely lacking or free from something	完全缺乏的；毫無…的	固定搭配 devoid of，如 devoid of emotion／meaning；語氣正式，強調徹底沒有某特質。	The speech was devoid of any real substance.	這場演講完全缺乏實質內容。	[{"text":"devoid of meaning","meaningZh":"毫無意義的"}]
devolve	verb	verb	to transfer power or authority to a lower level, or to gradually decline into a worse state	下放（權力）；逐漸退化	可指政治上的權力下放，如 devolve power to local governments；也可指狀況逐漸惡化，如 devolve into chaos。	The negotiations devolved into a shouting match.	談判逐漸演變成一場互相叫囂的爭吵。	[{"text":"devolve power to local authorities","meaningZh":"把權力下放給地方當局"}]
devote	verb	verb	to give a large amount of time, effort, or resources to a person, activity, or cause	奉獻；投入（時間精力）	固定用法 devote oneself/time/energy to，強調長期、專心地投入某事。	She devoted her entire career to helping underprivileged children.	她將整個職業生涯都奉獻給了弱勢兒童。	[{"text":"devote time to studying","meaningZh":"花時間讀書"}]
devour	verb	verb	to eat something hungrily or quickly, or to consume something eagerly	狼吞虎嚥地吃；如飢似渴地閱讀（吸收）	字面指快速吃光食物，也常比喻用於書籍、資訊，如 devour a book（廢寢忘食地讀完一本書）。	He devoured the entire pizza in less than ten minutes.	他不到十分鐘就把整個披薩吃光了。	[{"text":"devour a book","meaningZh":"如飢似渴地讀一本書"}]
diabetes	noun	noun	a chronic medical condition in which the body cannot properly regulate blood sugar levels	糖尿病	醫學用語，常搭配 type 1/type 2 diabetes；為不可數名詞，動詞用單數。	Her grandfather has been managing his diabetes with diet and medication.	她祖父一直靠飲食控制和藥物來管理他的糖尿病。	[{"text":"type 2 diabetes","meaningZh":"第二型糖尿病"}]
diagnose	verb	verb	to identify the nature of an illness or problem through examination	診斷（疾病或問題）	常見 be diagnosed with，如 diagnosed with cancer；也可用於機械故障等非醫療語境。	The doctor diagnosed him with a mild case of the flu.	醫生診斷他得了輕微流感。	[{"text":"diagnose someone with diabetes","meaningZh":"診斷某人患有糖尿病"}]
diagnosis	noun	noun	the identification of the nature of an illness or problem	診斷（結果）	常見 make a diagnosis、receive a diagnosis；為 diagnose 的名詞形式，指診斷的結果或過程。	The diagnosis came as a shock to the entire family.	這項診斷結果讓全家人都感到震驚。	[{"text":"make a diagnosis","meaningZh":"做出診斷"}]
diagram	noun	noun	a simplified drawing showing the appearance, structure, or workings of something	圖表；示意圖	常見 a diagram of，用於說明結構、流程或系統，比 chart 更強調線條與結構圖示。	The textbook includes a diagram of the human circulatory system.	這本教科書附有一張人體循環系統的示意圖。	[{"text":"a flow diagram","meaningZh":"流程圖"}]
dial	noun	noun	a circular control or display on a device, such as a clock or instrument	刻度盤；轉盤	常見 telephone dial（電話撥號盤，多為歷史用語）、pressure dial（壓力表）；泛指圓形的控制或顯示面板。	He turned the dial on the old radio to find a clearer station.	他轉動老舊收音機上的轉盤，想找到訊號更清楚的電台。	[{"text":"a clock dial","meaningZh":"鐘面"}]
dialect	noun	noun	a regional or social variety of a language, differing in pronunciation, vocabulary, or grammar	方言；地方話	常見 a regional dialect、speak in dialect；強調同一語言下因地域或社會群體產生的變體。	The novel is written partly in the local dialect of the region.	這本小說有部分是用當地方言寫成的。	[{"text":"speak a local dialect","meaningZh":"說當地方言"}]
diameter	noun	noun	a straight line passing through the center of a circle, connecting two points on its boundary	直徑	數學與工程用語，常見 the diameter of，也用於描述管線、圓形物體的寬度。	The diameter of the pipe determines how much water can flow through it.	這根管子的直徑決定了水流量的大小。	[{"text":"in diameter","meaningZh":"以直徑計"}]
dictate	verb	verb	to say words aloud for someone else to write down, or to state with authority what must be done	口述（讓人記錄）；規定；下令	常見 dictate a letter（口述信件內容）、dictate terms/policy（強行規定條件或政策），後者帶有權威、強制意味。	The manager dictated the terms of the contract without room for negotiation.	經理片面規定了合約條款，沒有協商餘地。	[{"text":"dictate a letter","meaningZh":"口述信件讓人筆錄"}]
dictate	noun	noun	an order or principle that must be obeyed	命令；規範；準則	常見 the dictates of conscience/fashion，指必須遵從的原則或規範，語氣較正式書面。	She refused to follow the dictates of fashion.	她拒絕遵循流行時尚的規範。	[{"text":"the dictates of conscience","meaningZh":"良心的指引"}]
didactic	adjective	adjective	intended to teach or instruct, often excessively moralistic	說教的；教誨意味濃厚的	常帶負面意味，指作品或言論過度說教、缺乏趣味，如 a didactic tone。	Critics found the film's message too didactic to be entertaining.	評論家認為這部電影的訊息過於說教，缺乏娛樂性。	[{"text":"a didactic tone","meaningZh":"說教的語氣"}]
diet	noun	noun	the food a person or animal usually eats, or a controlled eating plan for health reasons	飲食；節食	常見 a balanced diet（均衡飲食）、go on a diet（開始節食）；前者指日常飲食習慣，後者強調刻意控制飲食以減重或治療。	Doctors recommend a balanced diet rich in fruits and vegetables.	醫生建議攝取富含蔬果的均衡飲食。	[{"text":"a balanced diet","meaningZh":"均衡飲食"}]
differentiate	verb	verb	to recognize or express what makes something different from another thing, or to develop differences	區分；分辨；使產生差異	常接 between A and B 或 A from B，如 differentiate between right and wrong；也用於生物學指細胞分化。	It can be difficult to differentiate between the twins.	要區分這對雙胞胎有時很困難。	[{"text":"differentiate between fact and opinion","meaningZh":"區分事實與意見"}]
digestion	noun	noun	the process of breaking down food in the body so nutrients can be absorbed	消化（作用）	醫學與生理學用語，常見 aid digestion（幫助消化）、poor digestion（消化不良）。	Eating slowly can improve digestion and reduce bloating.	細嚼慢嚥有助於消化，也能減少脹氣。	[{"text":"aid digestion","meaningZh":"幫助消化"}]
dignity	noun	noun	the state of being worthy of honor or respect; a calm, serious manner	尊嚴；莊重	常見 with dignity、human dignity；強調自尊自重的態度，或應受到的基本尊重。	Despite the hardship, she faced every challenge with dignity.	儘管處境艱難，她仍以尊嚴面對每一項挑戰。	[{"text":"with dignity","meaningZh":"有尊嚴地"}]
dilatory	adjective	adjective	slow to act or intended to cause delay	拖延的；故意延遲的	正式用語，常見 dilatory tactics（拖延戰術），多用於描述刻意拖延以達目的的行為。	The company was accused of using dilatory tactics to avoid the lawsuit.	該公司被指控使用拖延戰術以規避訴訟。	[{"text":"dilatory tactics","meaningZh":"拖延戰術"}]
dilemma	noun	noun	a situation requiring a difficult choice between two or more unfavorable options	兩難困境；進退兩難	常見 face a dilemma、a moral dilemma；強調各選項都有缺點，難以抉擇。	She faced a dilemma: stay in her secure job or pursue her dream.	她面臨兩難：是留在穩定的工作，還是追求自己的夢想。	[{"text":"face a dilemma","meaningZh":"面臨兩難"}]
diligence	noun	noun	careful and persistent effort in one's work or duties	勤勉；勤奮認真	常見 due diligence（法律／商業上的盡職查核）；也泛指工作或學習上的努力不懈。	Her diligence in studying paid off with excellent exam results.	她勤奮讀書的努力終於在考試中得到優異的成果。	[{"text":"due diligence","meaningZh":"盡職調查"}]
dimension	noun	noun	a measurable extent of some kind, such as length, width, or depth, or an aspect of a situation	尺寸；面向；層面	常見 the dimensions of a room（房間的尺寸）、a new dimension to the problem（問題的新面向），後者為比喻用法。	The report added a new dimension to our understanding of the crisis.	這份報告為我們對這場危機的理解增添了新的面向。	[{"text":"add a new dimension","meaningZh":"增添新的面向"}]
dimension	verb	verb	to give something specific measurements, especially in engineering or design drawings	標註尺寸	工程與製圖用語，指在圖面上標示長度、寬度等具體數值，較少用於日常口語。	The engineer dimensioned the drawing before sending it to the workshop.	工程師在把圖面送到工廠前先標註了尺寸。	[{"text":"dimension a drawing","meaningZh":"在圖面上標註尺寸"}]
diminish	verb	verb	to make or become less in size, importance, or intensity	減少；削弱	及物與不及物皆常見，如 diminish in value、diminish someone's authority；強調程度或數量的降低。	Nothing could diminish her enthusiasm for the project.	沒有什麼能削弱她對這項計畫的熱忱。	[{"text":"diminish in importance","meaningZh":"重要性降低"}]
diminution	noun	noun	a reduction in the size, extent, or importance of something	減少；縮減	較 diminish 更正式書面，常見 a diminution of/in，用於學術或法律語境。	There has been a gradual diminution of public trust in the institution.	大眾對這個機構的信任已逐漸減弱。	[{"text":"a diminution in value","meaningZh":"價值的降低"}]
dingy	adjective	adjective	dirty and drab in appearance, especially due to lack of light or care	陰暗骯髒的；破舊灰暗的	常修飾 room、street 等場所，強調光線不足、缺乏整潔而顯得陰沉破舊。	They stayed in a dingy motel room near the highway.	他們住在高速公路附近一間陰暗破舊的汽車旅館房間。	[{"text":"a dingy room","meaningZh":"陰暗髒亂的房間"}]
dinosaur	noun	noun	a large extinct reptile that lived millions of years ago, or (informally) someone outdated	恐龍；（比喻）過時落伍的人或事物	字面指史前生物，比喻用法則指觀念或做法陳舊過時的人，如 a corporate dinosaur。	Children are often fascinated by dinosaur fossils at the museum.	孩子們常對博物館裡的恐龍化石深深著迷。	[{"text":"a dinosaur fossil","meaningZh":"恐龍化石"}]
diocesan	adjective	adjective	relating to a diocese, an area under a bishop's authority	教區的	天主教／聖公會用語，常見 diocesan school（教區學校），較少用於日常語境。	The diocesan school follows a curriculum set by the local bishop.	這所教區學校的課程是由當地主教制定的。	[{"text":"a diocesan bishop","meaningZh":"教區主教"}]
diocesan	noun	noun	a bishop or other official responsible for a diocese	教區主教（人員）	正式宗教用語，指負責管理教區事務的神職人員，日常較少使用。	The diocesan was invited to bless the newly built chapel.	這位教區主教受邀為新建的禮拜堂祝聖。	[{"text":"the diocesan's authority","meaningZh":"教區主教的權限"}]
dioxide	noun	noun	a compound containing two oxygen atoms combined with another element	二氧化物	化學用語，最常見於 carbon dioxide（二氧化碳），較少單獨使用。	Plants absorb carbon dioxide and release oxygen during photosynthesis.	植物在光合作用中吸收二氧化碳並釋放氧氣。	[{"text":"carbon dioxide","meaningZh":"二氧化碳"}]
diploma	noun	noun	a certificate awarded for completing a course of study	文憑；畢業證書	常見 a diploma in，如 a diploma in nursing；通常指專科或職業訓練課程的證書，不一定等同學位。	He earned a diploma in graphic design after two years of study.	他讀了兩年，取得了平面設計的文憑。	[{"text":"a high school diploma","meaningZh":"高中畢業證書"}]
diplomacy	noun	noun	the management of relations between countries, or tact and skill in dealing with people	外交；圓融的處事手腕	常見 international diplomacy（國際外交）；也可比喻用於人際互動，指說話圓融、講究技巧的能力。	The crisis was resolved through careful diplomacy rather than military action.	這場危機是透過謹慎的外交手腕解決的，而非軍事行動。	[{"text":"shuttle diplomacy","meaningZh":"穿梭外交"}]
diplomat	noun	noun	an official representing a country in dealings with other countries	外交官	常見 a career diplomat（職業外交官），指政府派駐國外處理外交事務的官員。	She served as a diplomat in three different countries during her career.	她的職業生涯中曾在三個不同國家擔任外交官。	[{"text":"a career diplomat","meaningZh":"職業外交官"}]
diplomatic	adjective	adjective	relating to diplomacy, or tactful in dealing with sensitive matters	外交的；圓滑得體的	常見 diplomatic relations（外交關係）、a diplomatic response（得體圓融的回應），後者強調措辭謹慎、不得罪人。	He gave a diplomatic answer that avoided taking sides.	他給了一個圓滑得體的回答，避免選邊站。	[{"text":"diplomatic relations","meaningZh":"外交關係"}]
directory	noun	noun	a listing of names, addresses, or files, or a folder used to organize computer files	名錄；（電腦）目錄	常見 a telephone directory（電話簿）、a computer directory（電腦資料夾）；兩義項皆指有系統整理的清單或存放結構。	She looked up the plumber's number in the online directory.	她在線上名錄裡查到了水電工的電話。	[{"text":"a telephone directory","meaningZh":"電話簿"}]
disadvantage	noun	noun	an unfavorable circumstance or condition that reduces the chances of success	劣勢；不利條件	常見 at a disadvantage（處於不利地位）、the advantages and disadvantages of（優缺點）；強調相對於他人或其他選項處於較差的位置。	Being new to the industry put her at a disadvantage during negotiations.	初入這個行業讓她在談判中處於不利地位。	[{"text":"at a disadvantage","meaningZh":"處於劣勢"}]
disagreeable	adjective	adjective	unpleasant or unfriendly in manner or nature	令人不快的；難相處的	可形容人的個性（如態度粗魯）或事物（如氣味、天氣），語氣比 unpleasant 稍書面。	He can be quite disagreeable when he doesn't get his way.	當事情不順他的意時，他可能會變得相當難相處。	[{"text":"a disagreeable smell","meaningZh":"難聞的氣味"}]
disagreement	noun	noun	a difference of opinion or a dispute between people	意見分歧；爭執	常見 a disagreement over/about，指雙方對某事看法不同，可能導致爭吵或僅是意見不合。	The two partners had a disagreement over how to spend the budget.	兩位合夥人對於預算該如何運用有意見分歧。	[{"text":"a disagreement over money","meaningZh":"因金錢引起的爭執"}]
disappointment	noun	noun	a feeling of sadness caused by the failure of something to meet one's expectations	失望；令人失望的人或事	常見 to someone's disappointment（令某人失望的是）、a big disappointment；可指情緒本身，也可指造成失望的人或事物。	The film was a huge disappointment compared to the book.	這部電影比起原著小說令人大失所望。	[{"text":"a bitter disappointment","meaningZh":"極大的失望"}]
disarm	verb	verb	to take weapons away from someone, or to reduce someone's hostility or suspicion	解除武裝；消除（敵意、戒心）	字面指軍事上繳械，比喻用法如 disarm someone with a smile（用微笑化解對方的戒心），強調使對方放下防備。	Her warm smile disarmed even the most skeptical critics.	她溫暖的笑容甚至化解了最挑剔的評論者的戒心。	[{"text":"disarm the soldiers","meaningZh":"解除士兵的武裝"}]
disaster	noun	noun	a sudden event causing great damage or suffering, or a complete failure	災難；徹底的失敗	常見 a natural disaster（天然災害）；也可誇張用於形容徹底搞砸的情況，如 the party was a disaster。	The flood was declared a national disaster by the government.	政府宣布這場洪水為全國性災難。	[{"text":"a natural disaster","meaningZh":"天災"}]
disastrous	adjective	adjective	causing great damage or having very unfortunate consequences	災難性的；後果嚴重的	常修飾 decision、result、effect 等，強調結果極為糟糕，語氣強烈。	Ignoring the warning signs proved to be a disastrous decision.	忽視警訊的結果證明是個災難性的決定。	[{"text":"disastrous consequences","meaningZh":"災難性的後果"},{"text":"a disastrous attempt","meaningZh":"慘敗的嘗試"}]
discard	verb	verb	to get rid of something no longer wanted or needed	丟棄；捨棄	常接具體物品，如 discard old clothes，也可比喻捨棄想法、計畫等；語氣中性，較 throw away 正式。	He discarded the draft and started writing the essay again from scratch.	他捨棄了草稿，從頭重新寫這篇文章。	[{"text":"discard old clothes","meaningZh":"丟掉舊衣服"}]
discard	noun	noun	something that has been thrown away or rejected	被丟棄的東西	名詞用法較少見，常見於紙牌遊戲（丟出的牌）或指被淘汰的物品。	The tailor sold the fabric discards to a recycling company.	這位裁縫把剩下不要的布料賣給了一家回收公司。	[{"text":"a pile of discards","meaningZh":"一堆棄置物"}]
disclose	verb	verb	to make secret or private information known	揭露；透露（機密資訊）	正式用語，常見 disclose information/details，強調公開原本隱藏或保密的事項。	The company was required to disclose its financial losses to investors.	該公司被要求向投資人揭露其財務虧損。	[{"text":"disclose information","meaningZh":"透露資訊"},{"text":"disclose one's identity","meaningZh":"透露身分"}]
disco	noun	noun	a club, party, or style of music featuring dancing to popular music, typically from the 1970s	迪斯可（舞廳、音樂或舞會）	口語用詞，常見 go to a disco、disco music，帶有 1970 年代流行文化的懷舊色彩。	They danced all night at the retro disco party.	他們在復古迪斯可派對上跳了一整晚的舞。	[{"text":"disco music","meaningZh":"迪斯可音樂"},{"text":"go to a disco","meaningZh":"去迪斯可舞廳"}]
discourage	verb	verb	to make someone less confident or enthusiastic, or to try to prevent an action	使氣餒；勸阻	常見 discourage someone from doing something（勸阻某人做某事），也可指使人失去信心或動力。	Her parents tried to discourage her from quitting her stable job.	她的父母試圖勸阻她辭去穩定的工作。	[{"text":"discourage someone from doing something","meaningZh":"勸阻某人做某事"},{"text":"feel discouraged","meaningZh":"感到氣餒"}]
discourse	noun	noun	written or spoken communication or debate, especially on a serious topic	論述；言談；話語	常見 public discourse（公共論述）、academic discourse（學術論述），指較正式、深入的討論或表達方式。	The book contributes meaningfully to the discourse on climate change.	這本書為氣候變遷的相關論述做出了有意義的貢獻。	[{"text":"political discourse","meaningZh":"政治論述"},{"text":"public discourse","meaningZh":"公共議題的討論"}]
discourse	verb	verb	to speak or write authoritatively about a topic	論述；講述	正式書面用語，常接 on/upon，如 discourse on a subject，較少用於日常口語。	The professor discoursed at length on the origins of the universe.	這位教授詳盡地論述了宇宙的起源。	[{"text":"discourse on a subject","meaningZh":"論述某個主題"}]
discredit	verb	verb	to harm someone's reputation, or to cause doubt about the truth of something	使名譽受損；使人不相信	常接人或言論作受詞，如 discredit a witness/theory，強調使他人失去可信度。	The scandal discredited the politician's entire campaign.	這起醜聞使這位政治人物的整個競選活動信譽掃地。	[{"text":"discredit a witness","meaningZh":"使證人失去可信度"},{"text":"discredit a theory","meaningZh":"使理論失去可信度"}]
discrete	adjective	adjective	individually separate and distinct	離散的；個別分開的	常修飾 units、categories、steps 等，強調彼此界線分明、不相連，易與 discreet（謹慎的）混淆，拼字不同。	The project was divided into several discrete phases.	這項計畫被分成好幾個各自獨立的階段。	[{"text":"discrete categories","meaningZh":"各自獨立的類別"},{"text":"discrete variables","meaningZh":"離散變數"}]
discretion	noun	noun	the freedom to make judgments and decisions on one's own, or the quality of being careful about what one says or does	自主判斷權；謹慎；審慎	常見 at one's discretion（由某人自行決定）、use discretion（謹慎行事），前者指決定權，後者指言行的分寸拿捏。	The manager has the discretion to approve minor expense claims.	經理有權自行決定核准小額費用申請。	[{"text":"at your discretion","meaningZh":"由你自行決定"},{"text":"exercise discretion","meaningZh":"審慎判斷"}]
discriminate	verb	verb	to treat a person or group unfairly based on prejudice, or to recognize a distinction between things	歧視；區分；辨別	常接 against（歧視）或 between（區分），如 discriminate against applicants、discriminate between right and wrong，兩義項需視上下文判斷。	It is illegal to discriminate against employees based on their age.	依年齡歧視員工是違法的。	[{"text":"discriminate against","meaningZh":"歧視"},{"text":"discriminate between","meaningZh":"區別兩者"}]
discrimination	noun	noun	unjust treatment based on prejudice against a category of people	歧視	常見 racial/gender discrimination；指基於偏見對特定群體的不公平對待，語氣帶負面評價。	The lawsuit accused the company of gender discrimination in hiring.	這起訴訟指控該公司在招聘上有性別歧視。	[{"text":"racial discrimination","meaningZh":"種族歧視"},{"text":"discrimination against women","meaningZh":"對女性的歧視"}]
discriminatory	adjective	adjective	showing unfair treatment based on prejudice against a particular group	歧視性的	常修飾 policy、practice、law 等，指帶有偏見、對特定群體不公平的制度或行為。	The court ruled that the housing policy was discriminatory.	法院裁定這項住房政策具有歧視性。	[{"text":"discriminatory practices","meaningZh":"歧視性做法"},{"text":"discriminatory laws","meaningZh":"歧視性的法律"}]
discursive	adjective	adjective	tending to wander from topic to topic rather than staying focused	離題的；漫談式的	常形容說話、寫作方式散漫、缺乏條理，如 a discursive style，語氣可中性也可帶輕微批評。	His discursive lecture style makes it hard to follow the main points.	他漫談式的授課風格讓人很難抓住重點。	[{"text":"a discursive essay","meaningZh":"漫談式文章"},{"text":"a discursive style","meaningZh":"漫談式風格"}]
disdain	noun	noun	a feeling of contempt for someone or something considered unworthy	輕蔑；鄙視	常見 with disdain、treat someone with disdain，強調高高在上、瞧不起對方的態度。	She looked at the cheap souvenirs with obvious disdain.	她用明顯輕蔑的眼神看著那些廉價紀念品。	[{"text":"with disdain","meaningZh":"帶著輕蔑"},{"text":"show disdain for","meaningZh":"對某事表示鄙視"}]
disdain	verb	verb	to regard someone or something with contempt	鄙視；不屑一顧	常接 to do something 或直接受詞，如 disdain to answer，強調態度上的輕視或不屑。	He disdained popular music, preferring only classical composers.	他鄙視流行音樂，只鍾情於古典作曲家。	[{"text":"disdain to reply","meaningZh":"不屑回覆"}]
disengage	verb	verb	to release or detach something, or to stop being involved in an activity	脫離；使分離；停止參與	可指機械上分離（如齒輪），也可指人退出某活動或關係，如 disengage from a conversation。	He disengaged the clutch before shifting gears.	他換檔前先鬆開了離合器。	[{"text":"disengage from a conflict","meaningZh":"退出衝突"},{"text":"disengage the clutch","meaningZh":"鬆開離合器"}]
disentangle	verb	verb	to free something from a tangled or complicated state	解開（纏結）；理清（複雜情況）	字面指解開纏繞的線或繩，比喻用法指理清複雜的問題或關係，如 disentangle facts from rumors。	It took hours to disentangle the knotted fishing lines.	花了好幾個小時才解開纏在一起的釣魚線。	[{"text":"disentangle the threads","meaningZh":"解開纏繞的線"},{"text":"disentangle fact from fiction","meaningZh":"分清事實與虛構"}]
disguise	noun	noun	a costume or appearance used to conceal one's identity	偽裝；喬裝	常見 in disguise（喬裝打扮）、a blessing in disguise（塞翁失馬）；強調隱藏真實身分或本質。	He walked through customs in disguise to avoid recognition.	他喬裝打扮通過海關以避免被認出來。	[{"text":"in disguise","meaningZh":"喬裝地"},{"text":"a blessing in disguise","meaningZh":"因禍得福的事"}]
disguise	verb	verb	to change the appearance of someone or something to conceal identity or nature	偽裝；掩飾	常接 as，如 disguise oneself as，也可指掩飾情緒或事實，如 disguise one's fear。	She disguised her nervousness with a confident smile.	她用自信的微笑掩飾了自己的緊張。	[{"text":"disguise oneself as","meaningZh":"把自己裝扮成"},{"text":"disguise one's feelings","meaningZh":"掩飾感情"}]
disillusion	noun	noun	a feeling of disappointment resulting from discovering that something is not as good as believed	幻滅；醒悟	常見 a sense of disillusion，指原本抱持的美好想像破滅後的失落感。	There was a growing disillusion among voters with the ruling party.	選民對執政黨的幻滅感日益加深。	[{"text":"a sense of disillusion","meaningZh":"幻滅感"}]
disillusion	verb	verb	to make someone realize that their belief in something was mistaken or too idealistic	使幻滅；使覺醒	常見被動語態 be disillusioned with/by，強調原本的美好想像被現實打破。	Many young idealists became disillusioned with politics after the scandal.	許多年輕的理想主義者在這起醜聞後對政治感到幻滅。	[{"text":"disillusion someone about something","meaningZh":"使某人對某事不再抱有幻想"}]
disinterested	adjective	adjective	not influenced by personal interest or bias; impartial	公正無私的；不偏不倚的	常用於法律或仲裁語境，強調沒有私利考量；易與 uninterested（不感興趣的）混淆，兩者意義不同。	A disinterested judge is essential for a fair trial.	公正無私的法官對於公平審判至關重要。	[{"text":"disinterested advice","meaningZh":"公正的建議"},{"text":"a disinterested observer","meaningZh":"無私的旁觀者"}]
dislodge	verb	verb	to force something out of a fixed or established position	使脫落；移除；使離開原位	常接具體物體，如 dislodge a stone，也可比喻用於使人離開職位或地位，如 dislodge a leader。	A strong gust of wind dislodged several tiles from the roof.	一陣強風把屋頂上好幾片瓦片吹落。	[{"text":"dislodge a stone","meaningZh":"使石頭脫落"},{"text":"dislodge someone from power","meaningZh":"使某人失去權力"}]
dismal	adjective	adjective	depressingly bad, dull, or gloomy	陰沉的；令人沮喪的；差勁的	常修飾天氣、表現或前景，如 dismal weather、a dismal failure，強調令人失望或情緒低落的程度。	The team's performance this season has been dismal.	這支球隊本季的表現一直很差勁。	[{"text":"dismal weather","meaningZh":"陰沉的天氣"},{"text":"a dismal failure","meaningZh":"慘敗"}]
disparage	verb	verb	to speak of someone or something in a critical or belittling way	貶低；輕蔑地批評	正式用語，常見 disparage someone's work/efforts，強調言語上貶損他人價值或能力。	He tends to disparage the achievements of his competitors.	他常常貶低競爭對手的成就。	[{"text":"disparage someone's efforts","meaningZh":"貶低某人的努力"},{"text":"disparage an achievement","meaningZh":"貶抑成就"}]
disparate	adjective	adjective	essentially different in kind; not able to be compared	截然不同的；性質迥異的	常修飾 groups、views、elements 等，強調彼此差異極大，難以歸為同類，語氣正式。	The committee brought together people with disparate backgrounds and opinions.	委員會集結了背景與觀點截然不同的人。	[{"text":"disparate groups","meaningZh":"性質迥異的群體"},{"text":"disparate elements","meaningZh":"不同性質的元素"}]
dispassionate	adjective	adjective	not influenced by strong emotion, and therefore able to be rational and impartial	冷靜客觀的；不帶感情的	常修飾 analysis、view，強調理性、不受情緒左右地看待事物，語氣正面，與 passionate 相對。	The report offers a dispassionate analysis of the economic crisis.	這份報告對這場經濟危機提供了冷靜客觀的分析。	[{"text":"a dispassionate analysis","meaningZh":"冷靜客觀的分析"},{"text":"a dispassionate observer","meaningZh":"不帶感情的觀察者"}]
