lemma	sense	pos	definitionEn	definitionZh	usageExplanationZh	exampleEn	exampleZh	collocations
magnitude	noun	noun	the great size, extent, or importance of something	巨大；重要性；規模	常見 the magnitude of a problem／disaster，強調事件規模或影響之大，語氣正式。	No one had anticipated the magnitude of the economic crisis.	沒有人預料到這場經濟危機的規模會如此巨大。	[{"text":"the magnitude of the task","meaningZh":"任務的艱鉅程度"}]
maid	noun	noun	a female servant employed to do housework	女僕；女傭	常見於 hotel maid、housemaid，指受雇從事家務或清潔工作的女性。	A maid comes twice a week to clean the house.	一名女傭每週來打掃房子兩次。	[{"text":"a hotel maid","meaningZh":"飯店房務員"}]
maintenance	sense_upkeep	noun	the process of keeping something in good working condition	維護；保養	常見 routine maintenance、maintenance costs，用於機械、建築或系統的例行保養與維修。	Regular maintenance can extend the lifespan of the equipment.	定期保養可以延長這項設備的使用壽命。	[{"text":"routine maintenance","meaningZh":"例行保養"}]
maintenance	sense_support	noun	financial support provided to a person, especially a former spouse or child	贍養費；生活費	法律用語，常見於離婚後對配偶或子女的定期經濟支持，如 child maintenance。	He is required to pay monthly maintenance to his ex-wife.	他必須每月支付贍養費給前妻。	[{"text":"maintenance payments","meaningZh":"贍養費付款"}]
majesty	sense_title	noun	a title used to address or refer to a king or queen	陛下（對君主的尊稱）	通常大寫為 Majesty，前面加 His／Her／Your，用於正式稱呼君主。	Her Majesty the Queen will address the nation tonight.	女王陛下今晚將對全國發表演說。	[{"text":"Your Majesty","meaningZh":"陛下"}]
majesty	sense_grandeur	noun	impressive beauty, dignity, or grandeur	雄偉；莊嚴	常見 the majesty of the mountains，形容景色或場面帶來的震撼與敬畏感。	Visitors are awed by the majesty of the ancient cathedral.	遊客們對這座古老大教堂的莊嚴壯麗讚嘆不已。	[{"text":"the majesty of the mountains","meaningZh":"群山的雄偉"}]
makeup	sense_cosmetics	noun	cosmetics applied to the face	化妝品；妝容	常見 wear makeup、put on makeup，指用於臉部的化妝用品或化妝後的樣貌。	She rarely wears makeup except for special occasions.	除了特殊場合，她很少化妝。	[{"text":"put on makeup","meaningZh":"化妝"},{"text":"remove makeup","meaningZh":"卸妝"}]
makeup	sense_composition	noun	the way in which something is composed or the combination of qualities that form a character	組成；構成；性格特質	常見 the makeup of a team／personality，指構成整體的成分或個人性格的組合。	The genetic makeup of the two species is remarkably similar.	這兩個物種的基因組成極為相似。	[{"text":"genetic makeup","meaningZh":"基因組成"}]
malevolent	adjective	adjective	having or showing a wish to do harm to others	懷有惡意的；心懷不軌的	常修飾 look、intent、force 等，語氣正式，強調蓄意的惡意，與單純 unkind 不同。	The novel's villain has a malevolent desire to see others suffer.	這部小說裡的反派懷有讓別人受苦的惡毒念頭。	[{"text":"malevolent intentions","meaningZh":"惡毒的意圖"}]
malfunction	sense_noun	noun	a failure to function normally	故障；失靈	常見 equipment malfunction、a mechanical malfunction，多用於機械、電子系統等技術性語境。	The crash was caused by a malfunction in the aircraft's software.	這起墜機事件是由飛機軟體故障所引起的。	[{"text":"a mechanical malfunction","meaningZh":"機械故障"}]
malfunction	sense_verb	verb	to fail to function correctly	發生故障；失靈	及物或不及物皆可，主詞通常是機器或系統，如 The engine malfunctioned。	The heating system malfunctioned during the coldest week of winter.	暖氣系統在冬天最冷的那一週發生了故障。	[{"text":"the equipment malfunctions","meaningZh":"設備發生故障"}]
mall	noun	noun	a large building or complex of shops, often with restaurants and parking	購物中心；商場	常見 shopping mall，泛指集合眾多商店的大型建築或園區。	Teenagers often hang out at the mall on weekends.	青少年週末經常聚在購物中心閒逛。	[{"text":"a shopping mall","meaningZh":"購物中心"}]
malleable	sense_physical	adjective	capable of being shaped, bent, or hammered into different forms without breaking	可塑的；有延展性的	常形容金屬，如 gold is highly malleable，強調材質可被加工塑形而不斷裂。	Gold is one of the most malleable metals known.	黃金是已知延展性最佳的金屬之一。	[{"text":"malleable metal","meaningZh":"可鍛塑的金屬"}]
malleable	sense_figurative	adjective	easily influenced or shaped, especially in character or opinion	易受影響的；可塑造的	常形容 young minds、public opinion 等，比喻性格或想法容易被他人塑造改變。	Young children are especially malleable and learn quickly from their surroundings.	幼童特別容易受影響，也很快就能從周遭環境中學習。	[{"text":"malleable young minds","meaningZh":"易受塑造的年輕心靈"}]
mammal	noun	noun	a warm-blooded animal that has hair or fur and typically feeds its young with milk	哺乳動物	生物學基本分類詞彙，常見於自然科學文章，如 humans are mammals。	Whales are mammals, even though they live entirely in water.	鯨魚是哺乳動物，儘管牠們完全生活在水中。	[{"text":"marine mammals","meaningZh":"海洋哺乳動物"}]
mandate	sense_instruction	noun	an official instruction or order from an authority	命令；指令	常見 a legal mandate、a government mandate，指具約束力的正式命令或規定。	The company issued a mandate requiring all staff to wear identification badges.	公司發布了一項規定，要求所有員工佩戴識別證。	[{"text":"a government mandate","meaningZh":"政府命令"}]
mandate	sense_electoral	noun	the authority given to an elected government or leader by voters	（選民賦予的）授權；付託	常見 win a mandate，指選舉勝利後獲得推行政策的正當性與民意支持。	The president claimed a mandate for sweeping economic reforms.	總統聲稱自己獲得了推動全面經濟改革的民意授權。	[{"text":"an electoral mandate","meaningZh":"選民的授權"}]
mandatory	adjective	adjective	required by law or a rule; compulsory	強制性的；必須遵守的	常見 mandatory attendance、mandatory retirement，強調規定上沒有選擇餘地，與 optional 相對。	Wearing a seatbelt is mandatory in most countries.	在大多數國家，繫安全帶是強制規定。	[{"text":"mandatory training","meaningZh":"強制培訓"}]
manifest	sense_verb	verb	to show a quality or feeling clearly through actions or appearance	顯露；表現出	常見 manifest itself as、symptoms manifest，強調原本隱藏的特質或狀態變得明顯可見。	Her anxiety manifested itself as constant restlessness.	她的焦慮表現為持續不安。	[{"text":"manifest itself in","meaningZh":"表現在…上"}]
manifest	sense_noun	noun	an official list of a ship or aircraft's cargo or passengers	載貨單；旅客名單	運輸與貿易用語，常見 a cargo manifest／passenger manifest，用於記錄運送內容或人員名單。	Customs officials checked the ship's manifest before allowing it to dock.	海關人員在允許這艘船靠岸前，先檢查了它的載貨單。	[{"text":"a passenger manifest","meaningZh":"旅客名單"}]
manifestation	noun	noun	a visible or perceptible sign that something exists or is happening	顯現；表現；徵兆	常見 a manifestation of，指某種情緒、狀態或問題以具體方式呈現出來。	The rash was a manifestation of an underlying allergy.	這個疹子是潛在過敏反應的一種表現。	[{"text":"a manifestation of anxiety","meaningZh":"焦慮的表現"}]
manipulate	sense_devious	verb	to control or influence someone unfairly or deviously for one's own advantage	操縱；操控（人）	常帶負面意涵，指以不正當手段影響他人想法或行為，如 manipulate public opinion。	The politician was accused of manipulating the media to boost his image.	這名政治人物被指控操縱媒體以提升自己的形象。	[{"text":"manipulate public opinion","meaningZh":"操縱輿論"}]
manipulate	sense_physical	verb	to handle or operate something skillfully, especially with the hands	（熟練地）操作；擺弄	中性用法，常見於機械、工具或數據，如 manipulate the controls、manipulate data。	The surgeon carefully manipulated the instrument during the procedure.	外科醫生在手術過程中小心地操作這件器械。	[{"text":"manipulate a tool","meaningZh":"熟練地操作工具"}]
manipulative	adjective	adjective	skilled at influencing or controlling people in an unfair or dishonest way	善於操縱人的；工於心計的	帶負面評價，形容人慣於利用手段操控他人以謀取私利。	He has a manipulative side that makes it hard to trust him.	他有工於心計的一面，讓人很難信任他。	[{"text":"manipulative behavior","meaningZh":"操控他人的行為"}]
mansion	noun	noun	a large, impressive house	大宅邸；豪宅	常見 a country mansion，強調房屋規模宏大、氣派十足，暗示屋主富裕。	The billionaire owns a mansion with over thirty rooms.	這位億萬富翁擁有一棟超過三十個房間的豪宅。	[{"text":"a luxurious mansion","meaningZh":"豪華宅邸"}]
manual	sense_noun	noun	a book of instructions, especially for a machine or process	手冊；指南	常見 an instruction manual、a user manual，指說明如何操作或使用某物的書面資料。	Please refer to the manual before assembling the furniture.	組裝家具前請先參閱說明手冊。	[{"text":"an instruction manual","meaningZh":"使用手冊"}]
manual	sense_adjective	adjective	done with the hands or by physical effort rather than by machine	手動的；需體力的	常見 manual labor、manual transmission，強調以人力或雙手進行，而非自動化或機械操作。	The factory replaced most manual tasks with automated machines.	這家工廠已將大部分的手工作業改由自動化機器取代。	[{"text":"manual labor","meaningZh":"體力勞動"},{"text":"manual control","meaningZh":"手動控制"}]
manufacture	verb	verb	to make goods in large quantities, usually with machinery	製造；生產	常見 manufacture products／goods，多指工業化大量生產，主詞通常是公司或工廠。	The company manufactures electronic components for smartphones.	這家公司為智慧型手機製造電子零件。	[{"text":"manufacture goods","meaningZh":"製造商品"}]
manure	noun	noun	animal or plant waste used to fertilize soil	肥料；糞肥	農業用語，常見 spread manure，指施用於土壤以增進養分的有機肥料。	The farmer spread manure over the field before planting.	農夫在播種前先在田裡施了肥料。	[{"text":"spread manure","meaningZh":"撒糞肥"}]
manuscript	noun	noun	a handwritten or typed document, especially one submitted for publication	手稿；原稿	常見 submit a manuscript to a publisher，指作者交付出版社審查前的原始文稿。	She spent five years writing the manuscript for her first novel.	她花了五年時間寫出第一部小說的原稿。	[{"text":"submit a manuscript","meaningZh":"提交原稿"}]
maple	noun	noun	a tree known for its distinctive leaves and, in some species, sap used to make syrup	楓樹；楓木	常見 maple syrup（楓糖漿）、maple leaf（楓葉），與加拿大文化意象密切相關。	Maple syrup is made by boiling down the sap of maple trees.	楓糖漿是將楓樹的樹液煮沸濃縮而成的。	[{"text":"a maple tree","meaningZh":"楓樹"},{"text":"maple syrup","meaningZh":"楓糖漿"}]
marble	sense_stone	noun	a hard rock, often veined, used for sculpture and building	大理石	常見 marble floor／statue，強調其光滑質感與高級建材形象。	The lobby floor was made of polished white marble.	大廳的地板是用打磨過的白色大理石鋪成的。	[{"text":"a marble statue","meaningZh":"大理石雕像"}]
marble	sense_toy	noun	a small ball, usually of glass, used in children's games	玻璃彈珠	常見 play marbles，指用彈珠進行的傳統童玩遊戲。	The children knelt on the ground playing marbles.	孩子們跪在地上玩彈珠。	[{"text":"play marbles","meaningZh":"玩彈珠"}]
margin	sense_page	noun	the blank space around the edge of a printed or written page	（頁面的）邊界；留白處	常見 write in the margin，指頁面文字周圍的空白部分。	She scribbled notes in the margin of the textbook.	她在課本的頁邊空白處寫下了筆記。	[{"text":"in the margin","meaningZh":"在頁邊空白處"}]
margin	sense_amount	noun	an amount by which something exceeds or falls short of a given level; a degree of difference	差距；餘裕；利潤	常見 win by a narrow margin、profit margin，強調數量或程度上的差距或空間。	The team won the game by a narrow margin.	這支隊伍以些微差距贏得了比賽。	[{"text":"a narrow margin","meaningZh":"微小差距"},{"text":"profit margin","meaningZh":"利潤率"}]
marine	sense_adjective	adjective	relating to the sea	海的；海洋的	常見 marine life、marine biology，泛指與海洋、海中生物相關的事物。	Marine biologists study the creatures that live in the ocean.	海洋生物學家研究生活在海洋中的生物。	[{"text":"marine life","meaningZh":"海洋生物"}]
marine	sense_noun	noun	a soldier trained to serve on land and at sea, especially in the Marine Corps	海軍陸戰隊隊員	常大寫 Marine，特指海軍陸戰隊的成員，強調兩棲作戰訓練。	He served as a Marine for eight years before retiring.	他在退伍前擔任了八年的海軍陸戰隊隊員。	[{"text":"a former marine","meaningZh":"前海軍陸戰隊員"}]
marital	adjective	adjective	relating to marriage	婚姻的；夫妻的	常見 marital status（婚姻狀態）、marital problems，正式用語，多見於法律或表格文件。	Please indicate your marital status on the form.	請在表格上註明你的婚姻狀態。	[{"text":"marital status","meaningZh":"婚姻狀況"}]
maroon	sense_verb	verb	to leave someone stranded in an isolated place with little hope of escape	使孤立無援；棄置（於孤島等處）	常見 be marooned on an island，強調被迫困於無法離開的環境。	The sailors were marooned on a deserted island after the shipwreck.	船難後，這些水手被困在一座荒島上，無法離開。	[{"text":"be marooned on an island","meaningZh":"受困於島上"}]
maroon	sense_color	noun	a dark brownish-red color	褐紫紅色	描述顏色，介於紅與棕之間的深色調，常用於服裝或裝潢描述，可作名詞指這個顏色本身。	The walls were painted a deep maroon.	牆壁被漆成了深褐紫紅色。	[{"text":"a deep shade of maroon","meaningZh":"深褐紅色調"}]
marsh	noun	noun	an area of low, wet land, often with grassy vegetation	沼澤；溼地	常見 salt marsh、marshland，指介於陸地與水域之間的濕地生態系統。	The birds nest in the marsh near the river.	這些鳥類在河邊的沼澤地築巢。	[{"text":"a salt marsh","meaningZh":"鹽沼"}]
marshal	sense_verb	verb	to organize or arrange people or things carefully, especially in preparation for something	整頓；調集；有條理地安排	常見 marshal one's arguments／resources，強調有系統地集結或整理，以備使用。	She carefully marshaled her arguments before the debate.	她在辯論前仔細整理了自己的論點。	[{"text":"marshal the evidence","meaningZh":"整理證據"}]
marshal	sense_noun	noun	an official responsible for enforcing court orders or organizing public events	執法官；典禮官	常見 U.S. Marshal、fire marshal，依語境不同指不同類型的公務或治安人員。	The fire marshal inspected the building for safety violations.	消防長官檢查了這棟建築物是否有安全違規之處。	[{"text":"a federal marshal","meaningZh":"聯邦執法官"}]
martyr	sense_noun	noun	a person who suffers or is killed for their beliefs or principles	烈士；殉道者	常見宗教或政治語境，如 die a martyr，強調為信仰或理念犧牲。	The soldier is remembered as a martyr who died defending his country.	這名士兵被人們紀念為捍衛國家而犧牲的烈士。	[{"text":"a martyr for the cause","meaningZh":"為理念犧牲的烈士"}]
martyr	sense_verb	verb	to kill someone because of their beliefs, or to make them suffer greatly for a cause	使殉道；使受苦	常見被動語態 be martyred，強調因信仰或理念而被迫害致死或受苦。	Thousands were martyred during the religious persecutions.	數以千計的人在這場宗教迫害中殉道而死。	[{"text":"be martyred for one's beliefs","meaningZh":"因信仰而殉道"}]
mask	sense_noun	noun	a covering worn over the face to disguise, protect, or conceal identity	面具；口罩	常見 wear a mask，依語境可指防護用口罩或化裝用面具。	Surgeons wear a mask to prevent contamination during operations.	外科醫生手術時戴口罩以防止感染。	[{"text":"wear a face mask","meaningZh":"戴口罩"}]
mask	sense_verb	verb	to hide or disguise a feeling, quality, or problem	掩飾；掩蓋	常見 mask one's feelings／mask a smell，指刻意隱藏真實情緒、氣味或問題。	He tried to mask his disappointment with a smile.	他試圖用微笑掩飾自己的失望。	[{"text":"mask the pain","meaningZh":"掩飾痛苦"}]
masquerade	sense_noun	noun	a false show or pretense of being something one is not	偽裝；假面舞會	常見 a masquerade of，比喻表面掩飾真實身分或意圖的行為。	Their friendly smiles were just a masquerade for their true intentions.	他們友善的笑容只是掩飾真實意圖的偽裝。	[{"text":"an elaborate masquerade","meaningZh":"精心安排的偽裝"}]
masquerade	sense_verb	verb	to pretend to be someone or something one is not	偽裝成；假扮	常見 masquerade as，強調刻意冒充另一種身分以達到欺騙目的。	The scammer masqueraded as a bank employee to steal information.	這名詐騙犯偽裝成銀行員工以竊取資訊。	[{"text":"masquerade as an expert","meaningZh":"假扮專家"}]
mass	sense_physics	noun	the quantity of matter in an object, related to its weight	質量	物理學用語，與 weight（重量）不同，指物體所含物質的量，不受重力影響。	The mass of the object remains constant regardless of location.	這個物體的質量無論在哪裡都保持不變。	[{"text":"body mass","meaningZh":"身體質量"}]
mass	sense_large_amount	noun	a large quantity or number of something	大量；大批	常見 a mass of people／data，泛指數量龐大的人或物，語氣中性。	A mass of protesters gathered outside the parliament building.	大批抗議民眾聚集在國會大樓外。	[{"text":"a mass of information","meaningZh":"大量資訊"}]
massacre	verb	verb	to kill a large number of people in a brutal and indiscriminate way	屠殺；殘殺	語氣強烈，強調大規模且不分對象的殺戮，常見於戰爭或種族衝突的敘述。	Soldiers massacred hundreds of unarmed civilians in the village.	士兵在這座村莊屠殺了數百名手無寸鐵的平民。	[{"text":"massacre civilians","meaningZh":"屠殺平民"}]
massive	adjective	adjective	extremely large in size, amount, or degree	巨大的；大規模的	常修飾 building、amount、attack 等，語氣比 big 更強烈，強調規模驚人。	The company suffered a massive loss after the market crash.	這家公司在市場崩盤後蒙受了巨大的損失。	[{"text":"a massive increase","meaningZh":"大幅增加"}]
mate	sense_partner	noun	a breeding partner of an animal, or an informal term for a friend	配偶；夥伴；朋友（英式口語）	常見 a mate for life（終身伴侶），也可指動物的交配對象；英式英語中常泛指朋友。	Wolves usually stay with the same mate for life.	狼通常終身與同一隻配偶相伴。	[{"text":"find a mate","meaningZh":"找到配偶"},{"text":"an old mate","meaningZh":"老朋友"}]
mate	sense_officer	noun	an officer on a commercial ship who ranks below the captain	大副；船副	航海用語，如 first mate，指商船上僅次於船長的職務。	The first mate took over navigation while the captain rested.	船長休息時，大副接手負責航行。	[{"text":"the first mate","meaningZh":"大副"}]
materialize	verb	verb	to become real, actual, or apparent; to happen as expected	實現；成為現實	常見 fail to materialize，指原本預期或計畫的事情最終並未發生或成真。	Despite months of planning, the merger never materialized.	儘管籌劃了好幾個月，這樁併購案最終並未成真。	[{"text":"fail to materialize","meaningZh":"未能實現"}]
matrix	noun	noun	an environment or material in which something develops, or a rectangular array of numbers	母體；孕育環境；矩陣	一般用法指孕育、產生某事物的環境或背景；數學用法則指由數字排列成的矩形陣列。	The city's diverse culture provided a rich matrix for artistic innovation.	這座城市多元的文化為藝術創新提供了豐富的孕育環境。	[{"text":"a social matrix","meaningZh":"社會環境母體"},{"text":"a matrix of numbers","meaningZh":"數字矩陣"}]
mattress	noun	noun	a large, thick pad used as or on a bed for sleeping	床墊	常見 a firm／soft mattress，描述床墊的軟硬度，日常生活常用詞彙。	They bought a new mattress to help with his back pain.	他們買了一張新床墊來緩解他的背痛。	[{"text":"a firm mattress","meaningZh":"硬床墊"}]
mature	sense_adjective	adjective	fully developed, either physically or emotionally	成熟的	可形容人的心智發展，也可形容植物、動物等生理上的成熟，與 immature 相對。	She has always been mature for her age.	她一直都比同齡人更成熟。	[{"text":"a mature adult","meaningZh":"成熟的大人"}]
mature	sense_verb	verb	to develop fully, or to become due for payment	成熟；發展成熟；（債券等）到期	常見 mature over time；金融語境中 the bond matures 指債券到達應償還的期限。	The bond will mature in ten years.	這張債券將在十年後到期。	[{"text":"mature into an adult","meaningZh":"發育成為成體"},{"text":"bonds mature","meaningZh":"債券到期"}]
maturity	noun	noun	the state of being fully developed, or the date a financial obligation becomes due	成熟；（債務等）到期	可指心智或生理的成熟狀態，也可指金融工具到期償付的時間點。	The certificate of deposit reaches maturity in two years.	這張定期存單將在兩年後到期。	[{"text":"emotional maturity","meaningZh":"情緒成熟度"},{"text":"reach maturity","meaningZh":"達到成熟期"}]
