lemma	sense	register	grammarPatterns
tendency	noun	neutral,academic	["a tendency to + verb","have a tendency toward + noun"]
tender	noun	business,formal	["submit a tender for + noun","put sth out to tender"]
tense	noun	technical,academic	["the past tense","use the + noun + tense"]
tension	noun	neutral,academic	["tension between A and B","ease the tension"]
tenure	noun	academic,formal	["be granted tenure","during sb's tenure as + noun"]
terminal	adjective	technical,formal	["a terminal + noun","in the terminal stages of + noun"]
terminate	verb	formal,business	["terminate + noun","terminate a contract with sb"]
termination	noun	formal,business	["the termination of + noun","termination of employment"]
terrace	noun	neutral	["on the terrace","a terrace overlooking + noun"]
terrain	noun	technical,neutral	["rough terrain","cross difficult terrain"]
terrestrial	adjective	academic,technical	["terrestrial + noun","terrestrial rather than aquatic"]
terribly	adverb	neutral,spoken	["terribly + adjective","be terribly sorry"]
terrific	adjective	informal,spoken	["a terrific + noun","do a terrific job"]
terrify	verb	neutral	["terrify sb","be terrified of + noun","it terrifies sb to + verb"]
territorial	adjective	formal,academic	["a territorial dispute","be territorial about + noun"]
territory	noun	formal,business	["occupy a territory","move into new territory"]
terror	noun	formal	["live in terror of + noun","a campaign of terror"]
testify	verb	formal,technical	["testify that + clause","testify against sb","testify in court"]
testimony	noun	formal,technical	["give testimony","sb's testimony about + noun"]
tether	verb	neutral,technical	["tether sth to + noun","tether an animal with + noun"]
textbook	noun	academic,neutral	["a + noun + textbook","in the textbook"]
textile	adjective	technical,business	["the textile industry","textile + noun"]
texture	noun	neutral,technical	["the texture of + noun","have a + adjective + texture"]
theater	noun	neutral	["go to the theater","at the theater"]
theft	noun	formal	["the theft of + noun","commit theft"]
thematic	adjective	academic,formal	["a thematic + noun","a thematic analysis of + noun"]
theme	noun	academic,neutral	["the theme of + noun","a recurring theme"]
theoretical	adjective	academic,formal	["a theoretical + noun","theoretical rather than practical"]
therapist	noun	technical,neutral	["see a therapist","a + noun + therapist"]
therapy	noun	technical,neutral	["undergo therapy","therapy for + noun","be in therapy"]
thereafter	adverb	formal,literary	["shortly thereafter","and thereafter + clause"]
thereby	adverb	formal,academic	["thereby + V-ing"]
thesis	noun	academic,formal	["write a thesis on + noun","defend a thesis","a doctoral thesis"]
thief	noun	neutral	["catch a thief","a + noun + thief"]
thigh	noun	neutral,technical	["a muscle in the thigh","sb's left thigh"]
thorny	adjective	formal	["a thorny + noun","a thorny issue for + noun"]
thorough	adjective	formal,academic	["a thorough + noun","be thorough in + V-ing"]
thoroughly	adverb	formal	["thoroughly + past participle","read sth thoroughly"]
thoughtful	adjective	neutral	["a thoughtful + noun","it is thoughtful of sb to + verb"]
thrash	verb	informal	["thrash sb","thrash the opposition"]
thrill	noun	informal	["the thrill of + V-ing","get a thrill from + V-ing"]
thrive	verb	neutral,business	["thrive on + noun","thrive in + noun","continue to thrive"]
throne	noun	formal,literary	["inherit the throne","ascend to the throne"]
thumb	noun	neutral	["sb's left thumb","between finger and thumb"]
thunder	noun	neutral	["a clap of thunder","thunder and lightning"]
thwart	verb	formal,literary	["thwart + noun","thwart sb's plans","be thwarted by + noun"]
tick	noun	informal	["put a tick next to + noun","a tick beside + noun"]
tick	verb	neutral	["tick loudly","tick + noun","tick a box"]
tide	noun	neutral,technical	["the tide comes in","at high tide"]
tide	verb	informal,spoken	["tide sb over","tide sb over until + noun"]
tight	adjective	neutral	["a tight + noun","be too tight for sb"]
tighten	verb	neutral,technical	["tighten + noun","tighten one's grip on + noun"]
tile	noun	neutral,technical	["a + noun + tile","cover sth with tiles"]
tilt	noun	neutral	["at a slight tilt","a tilt of + noun"]
tilt	verb	neutral	["tilt + noun","tilt one's head","tilt toward + noun"]
timber	noun	technical,business	["be built from timber","a timber + noun"]
timetable	noun	neutral,business	["check the timetable","a timetable for + noun"]
timorous	adjective	literary,formal	["a timorous + noun","too timorous to + verb"]
tinge	verb	literary,formal	["be tinged with + noun","tinge sth with + noun"]
tinker	verb	informal	["tinker with + noun"]
tinker	noun	literary,neutral	["a travelling tinker","the local tinker"]
tint	verb	neutral,technical	["tint sth + adjective","tint one's hair"]
tire	noun	neutral,technical	["a flat tire","change a tire"]
tire	verb	neutral	["tire sb out","tire of + V-ing"]
tissue	noun	technical,neutral	["a sample of tissue","noun + tissue"]
toast	noun	informal	["a slice of toast","toast and + noun"]
toast	verb	formal	["toast sb","raise a glass to toast + noun"]
tobacco	noun	neutral,business	["tobacco + noun","grow tobacco"]
token	noun	formal	["as a token of + noun","a token of appreciation"]
tolerance	noun	formal,academic	["tolerance of + noun","tolerance for + noun","zero tolerance for + noun"]
tolerate	verb	formal	["tolerate + noun","not tolerate + V-ing","refuse to tolerate + noun"]
toll	noun	neutral,business	["pay a toll","take a toll on + noun","the death toll rose to + noun"]
toll	verb	literary,formal	["the bell tolls","toll for sb"]
topic	noun	academic,neutral	["the topic of + noun","a topic for + noun"]
torch	noun	neutral	["shine a torch on + noun","carry a torch"]
torment	verb	literary,formal	["torment sb","be tormented by + noun"]
torpor	noun	literary,academic	["sink into torpor","a state of torpor"]
torrential	adjective	formal	["torrential rain","torrential + noun"]
torture	noun	formal	["be subjected to torture","the torture of + noun"]
torture	verb	formal	["torture sb","torture sb for + noun"]
toss	noun	informal	["win the toss","the toss of a coin"]
totalitarian	adjective	academic,formal	["a totalitarian + noun","under a totalitarian regime"]
totalitarian	noun	academic,formal	["be a totalitarian","the totalitarians in power"]
touchdown	noun	technical,neutral	["a smooth touchdown","score a touchdown"]
tourism	noun	business,academic	["the tourism industry","rely on tourism"]
tournament	noun	neutral	["win a tournament","a + noun + tournament"]
toxic	adjective	technical,academic	["toxic + noun","be toxic to + noun"]
trace	noun	neutral,academic	["a trace of + noun","no trace of + noun","disappear without a trace"]
tract	noun	technical,academic	["a tract of land","the digestive tract"]
tractable	adjective	formal,academic	["a tractable + noun","prove tractable"]
tractor	noun	neutral,technical	["drive a tractor","a tractor + noun"]
traditionally	adverb	neutral,academic	["traditionally, + clause","be traditionally + past participle"]
tragedy	noun	neutral,literary	["a tragedy for + noun","the tragedy of + noun"]
trail	noun	neutral	["a trail through + noun","follow a trail","hike along a trail"]
trail	verb	neutral	["trail behind sb","trail by + noun"]
trait	noun	academic,formal	["a personality trait","a trait of + noun"]
tramp	noun	informal,literary	["an old tramp","a tramp on the street"]
tramp	verb	literary,neutral	["tramp through + noun","tramp across + noun"]
trance	noun	literary,technical	["fall into a trance","be in a trance"]
tranquility	noun	literary,formal	["the tranquility of + noun","enjoy the tranquility"]
transaction	noun	business,technical	["a financial transaction","process a transaction"]
transcend	verb	formal,academic	["transcend + noun","transcend the limits of + noun"]
transcendent	adjective	formal,literary	["a transcendent + noun","transcendent in + noun"]
transcribe	verb	technical,academic	["transcribe + noun","transcribe sth from + noun"]
transcript	noun	academic,formal	["a transcript of + noun","request an official transcript"]
transfer	noun	business,formal	["a transfer to + noun","the transfer of + noun"]
transform	verb	formal,academic	["transform A into B","transform + noun","be transformed by + noun"]
transformation	noun	formal,academic	["a transformation of + noun","undergo a transformation","the transformation from A to B"]
transgression	noun	formal,academic	["a transgression against + noun","punish sb for a transgression"]
transit	verb	formal,technical	["transit through + noun","transit between A and B"]
transition	noun	formal,academic	["a transition to + noun","the transition from A to B","make a transition"]
translation	noun	academic,neutral	["a translation of + noun","in translation","the translation from A into B"]
transmission	noun	technical,academic	["the transmission of + noun","airborne transmission"]
transmit	verb	technical,formal	["transmit + noun","transmit sth to sb","be transmitted through + noun"]
transparent	adjective	formal,business	["a transparent + noun","be transparent about + noun"]
transplant	verb	technical,formal	["transplant + noun","transplant sth into sb"]
transplant	noun	technical,neutral	["a heart transplant","undergo a transplant"]
transplantation	noun	technical,academic	["organ transplantation","the transplantation of + noun"]
transpose	verb	technical,academic	["transpose A and B","transpose sth into + noun"]
trap	noun	neutral	["set a trap for + noun","fall into a trap"]
trash	noun	informal	["take out the trash","a pile of trash"]
trash	verb	informal,spoken	["trash + noun","trash sb's + noun"]
trauma	noun	technical,academic	["psychological trauma","the trauma of + V-ing"]
traverse	verb	formal,technical	["traverse + noun","traverse sth on foot"]
tray	noun	neutral	["a tray of + noun","carry a tray"]
tread	noun	technical,neutral	["the tread on a tire","worn tread"]
tread	verb	formal,literary	["tread carefully","tread on + noun"]
treasurer	noun	business,formal	["be elected treasurer","the treasurer of + noun"]
treaty	noun	formal,academic	["sign a treaty","a treaty between A and B","a treaty to + verb"]
trek	verb	neutral	["trek through + noun","trek for + noun"]
trek	noun	neutral	["a trek to + noun","a long trek through + noun"]
tremble	noun	literary,neutral	["a tremble in sb's voice","a slight tremble"]
tremble	verb	neutral,literary	["tremble with + noun","sb's hands tremble"]
tremendous	adjective	informal	["a tremendous + noun","tremendous amounts of + noun"]
trench	noun	technical,neutral	["dig a trench","in the trenches"]
trench	verb	technical	["trench + noun","trench an area for + noun"]
trend	noun	neutral,business	["a trend toward + noun","a growing trend","reverse a trend"]
trend	verb	informal,business	["trend toward + noun","start trending"]
trepidation	noun	formal,literary	["with trepidation","a sense of trepidation about + noun"]
trespass	noun	formal,technical	["an act of trespass","warn against trespass"]
trespass	verb	formal	["trespass on + noun","trespass onto + noun"]
triangle	noun	technical,academic	["the area of a triangle","a right-angled triangle"]
tribal	adjective	academic,neutral	["tribal + noun","of tribal origin"]
tribe	noun	academic,neutral	["a tribe of + noun","belong to a tribe"]
tribunal	noun	formal,technical	["appear before a tribunal","a tribunal on + noun"]
tribute	noun	formal	["a tribute to sb","pay tribute to sb"]
trick	noun	informal	["play a trick on sb","perform a trick"]
trickle	verb	neutral,literary	["trickle down + noun","trickle into + noun"]
trillion	noun	neutral,technical	["a trillion + plural noun","trillions of + plural noun"]
trim	noun	informal	["a quick trim","need a trim"]
trim	verb	neutral,business	["trim + noun","trim sth back","trim costs"]
triumph	noun	formal,literary	["a triumph for + noun","a triumph of A over B"]
trivial	adjective	formal,academic	["a trivial + noun","dismiss sth as trivial"]
trolley	noun	neutral	["push a trolley","a trolley of + noun"]
trophy	noun	neutral	["win a trophy","lift the trophy"]
tropical	adjective	academic,neutral	["a tropical + noun","in tropical regions"]
truculent	adjective	formal,literary	["a truculent + noun","become truculent"]
trumpet	verb	formal,business	["trumpet + noun","trumpet sth as + noun"]
trunk	noun	neutral	["the trunk of a tree","in the trunk of the car"]
trustworthy	adjective	formal	["a trustworthy + noun","prove trustworthy"]
tube	noun	neutral,technical	["a tube of + noun","through a tube"]
tube	verb	informal,spoken	["tube it to + noun","tube sth through + noun"]
tuck	noun	technical,neutral	["a tuck at the waist","put a tuck in + noun"]
tuck	verb	neutral	["tuck sth into + noun","tuck sth under + noun"]
tuition	noun	academic,business	["pay tuition","tuition fees","tuition in + noun"]
tumble	noun	informal	["take a tumble","a nasty tumble"]
tumble	verb	neutral	["tumble down + noun","tumble by + noun"]
tune	noun	neutral	["hum a tune","a catchy tune"]
tune	verb	neutral,technical	["tune + noun","tune sth to + noun"]
tunnel	noun	neutral,technical	["a tunnel under + noun","pass through a tunnel"]
tunnel	verb	technical,neutral	["tunnel through + noun","tunnel under + noun"]
turbulent	adjective	formal,academic	["a turbulent + noun","a turbulent period of + noun"]
turf	noun	informal	["lay new turf","on sb's own turf"]
turf	verb	informal,spoken	["turf sb out","turf an area with + noun"]
turmoil	noun	formal,literary	["be in turmoil","throw sth into turmoil","political turmoil"]
tutor	verb	academic,neutral	["tutor sb in + noun","tutor + noun"]
twig	verb	informal,spoken	["twig that + clause","twig what + clause"]
twist	noun	neutral,literary	["a twist in the + noun","an unexpected twist"]
twist	verb	neutral	["twist + noun","twist sb's words","twist one's ankle"]
typical	adjective	neutral,academic	["a typical + noun","be typical of + noun"]
tyre	noun	neutral,technical	["a flat tyre","change a tyre"]
ulcer	noun	technical,neutral	["a stomach ulcer","develop an ulcer"]
ultimate	noun	informal	["the ultimate in + noun"]
ultimate	adjective	formal	["the ultimate + noun","sb's ultimate goal"]
unaffected	adjective	formal	["be unaffected by + noun","remain unaffected"]
unanimous	adjective	formal,business	["a unanimous + noun","be unanimous in + V-ing"]
unassuming	adjective	formal,literary	["an unassuming + noun","quiet and unassuming"]
uncomfortable	adjective	neutral	["an uncomfortable + noun","feel uncomfortable about + noun","be uncomfortable with + noun"]
unconscious	adjective	technical,formal	["be knocked unconscious","an unconscious + noun"]
uncover	verb	formal,academic	["uncover + noun","uncover evidence of + noun"]
underestimate	verb	formal,academic	["underestimate + noun","never underestimate the power of + noun"]
underestimate	noun	formal,academic	["a gross underestimate","an underestimate of + noun"]
undergo	verb	formal,academic	["undergo + noun","undergo a change in + noun"]
undergraduate	noun	academic,formal	["as an undergraduate","an undergraduate at + noun"]
underlie	verb	academic,formal	["underlie + noun","the assumptions that underlie + noun"]
underline	verb	formal,academic	["underline + noun","underline the need for + noun"]
underneath	adverb	neutral	["hide underneath","lie underneath"]
underscore	verb	formal,academic	["underscore + noun","underscore the importance of + noun"]
underscore	noun	technical	["use an underscore","an underscore instead of + noun"]
understate	verb	formal,academic	["understate + noun","understate the extent of + noun"]
understatement	noun	formal	["be an understatement","that would be an understatement"]
undertake	verb	formal,business	["undertake + noun","undertake to + verb"]
underwrite	verb	business,formal	["underwrite + noun","underwrite the cost of + noun"]
undo	verb	neutral,technical	["undo + noun","undo the damage","undo a button"]
undoubtedly	adverb	formal	["undoubtedly + adjective","sb is undoubtedly + noun"]
uneasy	adjective	formal,literary	["feel uneasy about + noun","an uneasy + noun"]
unemployed	adjective	neutral,business	["become unemployed","the long-term unemployed"]
unfair	adjective	neutral	["be unfair to sb","it is unfair to + verb"]
unfold	verb	literary,neutral	["unfold + noun","the story unfolds","unfold over + noun"]
unfounded	adjective	formal,academic	["prove unfounded","unfounded + noun"]
uniform	noun	neutral	["wear a uniform","in uniform"]
uniform	adjective	formal,technical	["a uniform + noun","be uniform across + noun"]
unilateral	adjective	formal,academic	["unilateral + noun","take unilateral action"]
unique	adjective	formal	["a unique + noun","be unique to + noun"]
unity	noun	formal,academic	["a sense of unity","unity among + plural noun"]
universal	adjective	academic,formal	["a universal + noun","be universal among + plural noun"]
universal	noun	academic,formal	["a moral universal","the universals of + noun"]
universe	noun	academic,neutral	["the origins of the universe","elsewhere in the universe"]
unlikely	adjective	formal	["be unlikely to + verb","it is unlikely that + clause"]
unmoved	adjective	formal,literary	["remain unmoved by + noun","be unmoved"]
unproductive	adjective	formal,business	["an unproductive + noun","prove unproductive"]
unqualified	adjective	formal,business	["be unqualified for + noun","an unqualified + noun"]
unravel	verb	formal,literary	["unravel + noun","unravel the mystery of + noun"]
unregulated	adjective	formal,business	["an unregulated + noun","remain largely unregulated"]
unrest	noun	formal,academic	["civil unrest","unrest among + plural noun"]
unscrupulous	adjective	formal,business	["an unscrupulous + noun","be unscrupulous in + V-ing"]
unsettle	verb	formal,literary	["unsettle sb","be unsettled by + noun"]
untold	adjective_amount	literary,formal	["untold + noun","cause untold suffering"]
untold	adjective_unrevealed	literary,formal	["the untold story of + noun","remain untold"]
unveil	verb	formal,business	["unveil + noun","unveil sth at + noun"]
unwarranted	adjective	formal,academic	["unwarranted + noun","be completely unwarranted"]
update	noun	business,technical	["an update on + noun","send sb an update"]
update	verb	neutral,technical	["update + noun","update sb on + noun"]
upgrade	noun	technical,business	["an upgrade to + noun","receive a free upgrade"]
uphold	verb	formal,technical	["uphold + noun","uphold a decision","uphold the law"]
upright	adjective	formal	["in an upright position","an upright + noun"]
urban	adjective	academic,formal	["urban + noun","in urban areas"]
urge	verb	formal	["urge sb to + verb","urge that + clause"]
urge	noun	neutral	["an urge to + verb","resist the urge to + verb"]
urgency	noun	formal,business	["a sense of urgency","the urgency of + noun"]
urgent	adjective	neutral,business	["an urgent + noun","it is urgent that + clause"]
usage	noun	academic,technical	["word usage","the usage of + noun"]
useless	adjective	informal	["a useless + noun","be useless without + noun"]
usurp	verb	formal,literary	["usurp + noun","usurp the throne","usurp sb's authority"]
utilitarian	adjective	formal,academic	["a utilitarian + noun","utilitarian in design"]
utilitarian	noun	academic,formal	["be a utilitarian","as a utilitarian"]
utility	noun	formal,business	["the utility of + noun","public utilities"]
utilize	verb	formal,academic	["utilize + noun","utilize sth to + verb"]
utter	verb	formal,literary	["utter + noun","not utter a word"]
utterance	noun	academic,formal	["an utterance of + noun","sb's every utterance"]
utterly	adverb	formal	["utterly + adjective","be utterly + past participle"]
vacancy	noun	business,neutral	["a vacancy for + noun","fill a vacancy","have no vacancies"]
vaccinate	verb	technical,neutral	["vaccinate sb against + noun","be vaccinated against + noun"]
vaccine	noun	technical,academic	["a vaccine against + noun","develop a vaccine"]
vacillate	verb	formal,literary	["vacillate between A and B","vacillate over + noun"]
vacuum	noun	technical,neutral	["create a vacuum","in a vacuum","a power vacuum"]
vacuum	verb	informal	["vacuum + noun","vacuum the floor"]
vague	adjective	formal	["a vague + noun","be vague about + noun"]
vain	adjective	formal,literary	["in vain","try in vain to + verb"]
valiant	adjective	literary,formal	["a valiant + noun","a valiant effort to + verb"]
valid	adjective	formal,technical	["a valid + noun","remain valid for + noun"]
validity	noun	academic,formal	["the validity of + noun","question the validity of + noun"]
valuation	noun	business,formal	["a valuation of + noun","sb's valuation rose to + noun"]
valve	noun	technical	["open a valve","a faulty valve"]
vandalism	noun	formal	["an act of vandalism","damage caused by vandalism"]
vanilla	noun	neutral	["vanilla + noun","a hint of vanilla"]
vanish	verb	neutral,literary	["vanish into + noun","vanish without a trace"]
vanity	noun	formal,literary	["out of vanity","sheer vanity"]
variable	noun	academic,technical	["a key variable","a variable that affects + noun"]
variable	adjective	academic,technical	["a variable + noun","variable rather than fixed"]
variance	noun	formal,academic	["be at variance with + noun","the variance between A and B"]
variant	adjective	academic,technical	["a variant + noun","a variant form of + noun"]
variation	noun	academic,formal	["variation in + noun","a variation of + noun"]
varnish	noun	technical,neutral	["a coat of varnish","apply varnish to + noun"]
varnish	verb	technical,neutral	["varnish + noun","varnish sth with + noun"]
vary	verb	academic,neutral	["vary from A to B","vary depending on + noun","vary in + noun"]
vascular	adjective	technical,academic	["vascular + noun","the vascular system"]
vast	adjective	formal	["a vast + noun","the vast majority of + noun"]
veer	verb	neutral,literary	["veer off + noun","veer toward + noun"]
vegetation	noun	academic,technical	["dense vegetation","vegetation cover"]
vein	noun	technical,literary	["a vein in + noun","in a similar vein"]
velocity	noun	technical,academic	["at high velocity","the velocity of + noun"]
velvet	noun	neutral,literary	["be made of velvet","a velvet + noun"]
vendor	noun	business,neutral	["a street vendor","a vendor of + noun"]
veneer	noun_material	technical,neutral	["an oak veneer","a veneer of + noun"]
veneer	noun_figurative	literary,formal	["a veneer of + noun","beneath sb's veneer of + noun"]
venerable	adjective	formal,literary	["a venerable + noun","the venerable + noun"]
venerate	verb	formal,literary	["venerate sb","be venerated as + noun"]
vengeance	noun	literary,formal	["swear vengeance against sb","take vengeance on sb"]
ventral	adjective	technical,academic	["the ventral surface","ventral + noun"]
venture	noun	business,formal	["a business venture","a joint venture with + noun"]
venture	verb	formal,literary	["venture into + noun","venture to + verb"]
venue	noun	business,neutral	["a venue for + noun","book a venue"]
verbal	adjective	formal,academic	["a verbal + noun","verbal rather than written"]
verdict	noun	formal,technical	["reach a verdict","a guilty verdict","the verdict on + noun"]
verge	noun	formal	["on the verge of + noun","on the verge of + V-ing"]
verge	verb	formal,literary	["verge on + noun"]
verify	verb	formal,technical	["verify + noun","verify that + clause"]
veritable	adjective	literary,formal	["a veritable + noun"]
versatile	adjective	formal	["a versatile + noun","be versatile enough to + verb"]
verse	noun	literary,academic	["write in verse","a verse of + noun"]
verse	verb	formal,academic	["be well versed in + noun"]
vertical	adjective	technical,neutral	["a vertical + noun","almost vertical"]
vessel	noun	formal,technical	["a cargo vessel","a vessel of + noun"]
veteran	noun	formal	["a veteran of + noun","a war veteran"]
viability	noun	business,academic	["the viability of + noun","long-term viability"]
vibrate	verb	technical,neutral	["vibrate + adverb","cause sth to vibrate"]
vicar	noun	formal	["the local vicar","the vicar of + noun"]
vicious	adjective	neutral,literary	["a vicious + noun","a vicious attack on + noun"]
victimize	verb	formal,academic	["victimize sb","feel victimized by + noun"]
victor	noun	formal,literary	["emerge as the victor","the victor of + noun"]
vigorous	adjective	formal,academic	["a vigorous + noun","be vigorous in + V-ing"]
vile	adjective	informal,literary	["a vile + noun","taste vile"]
vindicate	verb	formal,technical	["vindicate sb","be vindicated by + noun"]
vine	noun	neutral	["grow on vines","a climbing vine"]
vinegar	noun	neutral	["a splash of vinegar","oil and vinegar"]
violate	verb	formal,technical	["violate + noun","violate a law","violate sb's rights"]
violation	noun	formal,technical	["a violation of + noun","be in violation of + noun"]
violent	adjective	formal	["a violent + noun","become violent"]
virtual	adjective	technical,formal	["a virtual + noun","in virtual reality"]
virtually	adverb	formal	["virtually + adjective","be virtually impossible to + verb"]
virtue	noun	formal,academic	["a virtue of + noun","by virtue of + noun"]
virtuous	adjective	formal,literary	["a virtuous + noun","lead a virtuous life"]
virulent	adjective	technical,formal	["a virulent + noun","a virulent strain of + noun"]
virus	noun	technical,neutral	["catch a virus","a computer virus"]
visa	noun	formal	["apply for a visa","a student visa"]
visceral	adjective	literary,formal	["a visceral + noun","a visceral reaction to + noun"]
visual	adjective	academic,technical	["visual + noun","in visual terms"]
vital	adjective	formal,academic	["be vital to + noun","a vital + noun","it is vital that + clause"]
vivid	adjective	literary,neutral	["a vivid + noun","a vivid memory of + noun"]
vocabulary	noun	academic,neutral	["expand one's vocabulary","a wide vocabulary"]
vocal	adjective	formal	["a vocal + noun","be vocal about + noun"]
vocational	adjective	academic,formal	["vocational + noun","vocational training in + noun"]
volatile	adjective_unstable	business,academic	["a volatile + noun","remain highly volatile"]
volatile	adjective_chemistry	technical,academic	["volatile + noun","highly volatile substances"]
volcanic	adjective	technical,academic	["volcanic + noun","of volcanic origin"]
volcano	noun	technical,neutral	["an active volcano","the volcano erupted"]
volley	noun	technical,neutral	["a volley of + noun","hit a volley"]
volley	verb	technical,neutral	["volley + noun","volley the ball back"]
voltage	noun	technical	["high voltage","the voltage across + noun"]
voluminous	adjective	formal,literary	["a voluminous + noun","voluminous + plural noun"]
voluntary	adjective	formal	["voluntary + noun","on a voluntary basis"]
volunteer	noun	neutral	["a volunteer at + noun","work as a volunteer"]
volunteer	verb	neutral	["volunteer to + verb","volunteer for + noun"]
vomit	verb	technical,neutral	["vomit + noun","start to vomit"]
vomit	noun	technical,informal	["clean up the vomit","be covered in vomit"]
voracious	adjective	formal,literary	["a voracious + noun","a voracious appetite for + noun"]
voucher	noun	business,neutral	["a gift voucher","a voucher for + noun"]
vulnerable	adjective	formal,academic	["be vulnerable to + noun","a vulnerable + noun"]
waft	verb	literary	["waft through + noun","waft from + noun"]
wagon	noun	neutral	["a covered wagon","travel by wagon"]
wail	verb	literary,neutral	["wail loudly","wail in + noun"]
waist	noun	neutral	["around sb's waist","at the waist"]
waiter	noun	neutral	["ask the waiter for + noun","work as a waiter"]
waitress	noun	neutral	["ask the waitress for + noun","work as a waitress"]
wallow	verb	literary,informal	["wallow in + noun"]
wander	verb	neutral,literary	["wander through + noun","wander around + noun"]
ward	noun	technical,neutral	["a hospital ward","in a private ward"]
warden	noun	formal	["a prison warden","the warden of + noun"]
wardrobe	noun	neutral	["hang sth in the wardrobe","sb's entire wardrobe"]
warehouse	noun	business,neutral	["store sth in a warehouse","a warehouse full of + noun"]
warehouse	verb	business,technical	["warehouse + noun","warehouse sth near + noun"]
warfare	noun	formal,technical	["guerrilla warfare","engage in warfare"]
warrant	noun	formal,technical	["obtain a warrant","a warrant for sb's arrest"]
warranty	noun	business,formal	["be under warranty","a two-year warranty"]
warrior	noun	literary,neutral	["an ancient warrior","a warrior of + noun"]
wary	adjective	formal	["be wary of + noun","remain wary about + noun"]
waver	verb	formal,literary	["waver between A and B","begin to waver"]
waver	noun	literary,neutral	["a waver in sb's voice","a slight waver"]
wean	verb	technical,neutral	["wean sb off + noun","wean a baby onto + noun"]
weary	adjective	literary,formal	["a weary + noun","be weary of + noun"]
weary	verb	literary,formal	["weary of + noun","grow weary of + V-ing"]
weave	verb	neutral,technical	["weave + noun","weave through + noun"]
weave	noun	technical,neutral	["a tight weave","the weave of + noun"]
wedge	noun	technical,neutral	["a wedge of + noun","drive a wedge between A and B"]
wedge	verb	neutral	["wedge sth under + noun","wedge sth between A and B"]
weep	verb	literary,formal	["weep for sb","weep quietly","weep over + noun"]
weird	adjective	informal,spoken	["a weird + noun","it is weird that + clause"]
welfare	noun	formal,academic	["the welfare of + noun","be on welfare"]
wetland	noun	academic,technical	["a coastal wetland","protect wetlands"]
whereby	adverb	formal,academic	["an agreement whereby + clause","a system whereby + clause"]
whiff	noun	informal	["a whiff of + noun","catch a whiff of + noun"]
whiff	verb	informal,literary	["whiff of + noun"]
whimsical	adjective	literary,formal	["a whimsical + noun","whimsical in style"]
whip	noun	neutral	["crack a whip","a leather whip"]
whisper	noun	neutral,literary	["speak in a whisper","a whisper of + noun"]
whisper	verb	neutral,spoken	["whisper sth to sb","whisper in sb's ear"]
whistle	noun	neutral	["blow a whistle","the whistle of + noun"]
whittle	verb	neutral,literary	["whittle sth out of + noun","whittle sth down to + noun"]
wholesome	adjective	formal	["a wholesome + noun","wholesome and nutritious"]
wicked	adjective	literary,informal	["a wicked + noun","it is wicked to + verb"]
widespread	adjective	formal,academic	["widespread + noun","become widespread"]
