lemma	sense	register	grammarPatterns
colonel	noun	technical,formal	["a colonel in + noun","be promoted to colonel"]
colonial	adjective	academic,formal	["colonial + noun","colonial rule","the colonial era"]
colonize	verb	academic,formal	["colonize + noun","be colonized by + noun"]
colony	noun	academic,neutral	["a colony of + noun","a former colony","establish a colony"]
colossal	adjective	neutral,literary	["a colossal + noun","on a colossal scale","colossal in size"]
combat	noun	formal,technical	["in combat","combat + noun","be killed in combat"]
combination	noun	neutral,academic	["a combination of A and B","in combination with + noun","a winning combination"]
comedy	noun	neutral	["a comedy about + noun","a romantic comedy","perform comedy"]
comet	noun	technical,academic	["observe a comet","the tail of a comet","a comet passes + noun"]
comic	adjective	neutral,literary	["comic + noun","comic effect","comic timing"]
commander	noun	formal,technical	["the commander of + noun","a commander in + noun","serve under a commander"]
commence	verb	formal,business	["commence + noun","commence at + noun","commence V-ing"]
commencement	noun	formal,academic	["the commencement of + noun","at commencement","a commencement speech"]
commensurate	adjective	formal,academic	["commensurate with + noun","be commensurate with + noun"]
commentary	noun	academic,formal	["commentary on + noun","provide commentary","a running commentary"]
commentator	noun	formal	["a commentator on + noun","a political commentator"]
commerce	noun	business,formal	["engage in commerce","international commerce","commerce between A and B"]
commissioner	noun	formal,business	["the commissioner of + noun","appoint sb as commissioner","a police commissioner"]
commodity	noun	business,technical	["a valuable commodity","commodity prices","trade in commodities"]
commonplace	adjective	formal,academic	["become commonplace","a commonplace + noun","it is commonplace for sb to + V"]
commonwealth	noun	formal,academic	["the Commonwealth of + noun","a member of the commonwealth"]
commotion	noun	informal	["cause a commotion","a commotion in + noun","hear a commotion"]
commune	noun	neutral,academic	["live in a commune","a commune of + noun","join a commune"]
commune	verb	literary,formal	["commune with + noun","commune with nature"]
compact	adjective	neutral,technical	["a compact + noun","compact in size","small and compact"]
compact	verb	technical	["compact + noun","be compacted into + noun","compact the soil"]
companion	noun	neutral,literary	["a companion to sb","a traveling companion","a constant companion"]
comparable	adjective	academic,formal	["comparable to + noun","comparable with + noun","a comparable + noun"]
comparative	adjective	academic,formal	["comparative + noun","a comparative study of + noun","comparative advantage"]
comparative	noun	academic,technical	["the comparative of + noun","form the comparative"]
comparatively	adverb	academic,formal	["comparatively + adjective","comparatively few + noun","comparatively speaking"]
comparison	noun	academic,neutral	["a comparison between A and B","in comparison with + noun","by comparison"]
compartment	noun	neutral,technical	["a separate compartment","a compartment for + noun","the luggage compartment"]
compassion	noun	formal,literary	["compassion for + noun","show compassion","out of compassion"]
compatible	adjective	technical,academic	["compatible with + noun","be compatible with + noun","fully compatible"]
compel	verb	formal,academic	["compel sb to + V","feel compelled to + V","be compelled by + noun"]
compensate	verb	formal,business	["compensate sb for + noun","compensate for + noun","be compensated in + noun"]
compensation	noun	formal,business	["compensation for + noun","claim compensation","pay compensation to sb"]
compensatory	adjective	formal,technical	["compensatory + noun","compensatory damages","a compensatory payment"]
compete	verb	neutral,business	["compete with + noun","compete for + noun","compete against sb"]
competence	noun	formal,business	["competence in + noun","a level of competence","demonstrate competence"]
competent	adjective	formal	["competent at + V-ing","competent to + V","a competent + noun"]
compile	verb	academic,technical	["compile + noun","compile sth from + noun","compile a list of + noun"]
complacent	adjective	formal,academic	["become complacent","be complacent about + noun","dangerously complacent"]
complain	verb	neutral,spoken	["complain about + noun","complain to sb","complain that + clause"]
complaint	noun	formal	["a complaint about + noun","file a complaint against sb","make a complaint"]
complement	noun	formal,academic	["a complement to + noun","the perfect complement to + noun","a full complement of + noun"]
complexity	noun	academic,formal	["the complexity of + noun","add complexity to + noun","a level of complexity"]
compliance	noun	business,formal	["compliance with + noun","in compliance with + noun","ensure compliance"]
compliant	adjective	business,technical	["compliant with + noun","be fully compliant","a compliant + noun"]
complicate	verb	neutral,academic	["complicate + noun","complicate matters","be complicated by + noun"]
complication	noun	neutral,technical	["a further complication","complications from + noun","without complication"]
complicity	noun	formal,academic	["complicity in + noun","sb's complicity with + noun","alleged complicity"]
component	noun	technical,academic	["a component of + noun","key components","a component part"]
compose	verb	formal,literary	["compose + noun","be composed of + noun","compose a piece of + noun"]
composer	noun	neutral,academic	["a composer of + noun","a classical composer"]
composite	adjective	technical,academic	["a composite + noun","composite materials","composite in structure"]
composite	noun	technical,academic	["a composite of + noun","made from a composite"]
compost	noun	neutral,technical	["add compost to + noun","a compost heap","turn sth into compost"]
compost	verb	neutral,technical	["compost + noun","compost food waste"]
comprehensible	adjective	academic,formal	["comprehensible to sb","barely comprehensible","make sth comprehensible"]
compromise	noun	formal,business	["reach a compromise","a compromise between A and B","a compromise on + noun"]
compromise	verb	formal,business	["compromise on + noun","compromise with sb","compromise + noun"]
compulsion	noun	formal,academic	["a compulsion to + V","act under compulsion","resist the compulsion"]
compulsory	adjective	formal,academic	["compulsory + noun","be compulsory for sb","make sth compulsory"]
conceal	verb	formal,literary	["conceal + noun","conceal sth from sb","conceal the fact that + clause"]
concede	verb	formal,academic	["concede that + clause","concede + noun","concede sth to sb"]
conceive	verb	formal,academic	["conceive of + noun","conceive + noun","be conceived as + noun"]
conception	noun	academic,formal	["a conception of + noun","at the moment of conception","sb's conception of + noun"]
conceptual	adjective	academic,technical	["a conceptual + noun","a conceptual framework","conceptual in nature"]
concession	noun	formal,business	["make a concession to sb","a concession on + noun","grant sb a concession"]
conciliatory	adjective	formal	["a conciliatory + noun","strike a conciliatory tone","be conciliatory toward sb"]
conclude	verb	formal,academic	["conclude that + clause","conclude + noun","conclude by + V-ing"]
conclusive	adjective	academic,formal	["conclusive evidence","conclusive proof of + noun","be conclusive"]
concoct	verb	informal	["concoct + noun","concoct a story about + noun","concoct sth from + noun"]
concomitant	adjective	formal,academic	["concomitant with + noun","a concomitant + noun"]
concomitant	noun	formal,academic	["a concomitant of + noun"]
concrete	noun	technical,neutral	["be made of concrete","pour concrete","reinforced concrete"]
concrete	adjective	academic,formal	["concrete + noun","concrete evidence","in concrete terms"]
concur	verb	formal,academic	["concur with sb","concur that + clause","concur in + noun"]
concussion	noun	technical,neutral	["suffer a concussion","sustain a concussion","a mild concussion"]
condemn	verb	formal,academic	["condemn + noun","condemn sb for + V-ing","condemn sb to + noun"]
condensation	noun	technical,academic	["condensation on + noun","condensation forms on + noun"]
condense	verb	academic,technical	["condense + noun","condense sth into + noun","condense down to + noun"]
conducive	adjective	formal,academic	["conducive to + noun","be conducive to + V-ing"]
conductor	noun	technical,neutral	["a good conductor of + noun","an orchestra conductor","serve as a conductor"]
cone	noun	technical,neutral	["in the shape of a cone","a traffic cone","a pine cone"]
confer	verb	formal,academic	["confer with sb","confer sth on sb","confer about + noun"]
confess	verb	formal	["confess to + V-ing","confess that + clause","confess + noun"]
confession	noun	formal	["make a confession","a confession of + noun","a full confession"]
confident	adjective	neutral,business	["confident about + noun","confident that + clause","confident in + noun"]
confidential	adjective	business,formal	["strictly confidential","confidential + noun","keep sth confidential"]
configuration	noun	technical	["the configuration of + noun","a default configuration","in a + adjective + configuration"]
confine	verb	formal,academic	["confine sth to + noun","be confined to + noun","confine sb in + noun"]
confirmation	noun	formal,business	["confirmation of + noun","receive confirmation that + clause","await confirmation"]
conform	verb	formal,academic	["conform to + noun","conform with + noun","conform to expectations"]
conformity	noun	academic,formal	["conformity to + noun","in conformity with + noun","social conformity"]
confront	verb	formal	["confront sb about + noun","confront + noun","be confronted with + noun"]
confuse	verb	neutral	["confuse sb","confuse A with B","be confused about + noun"]
confusion	noun	neutral,academic	["confusion about + noun","cause confusion","in confusion"]
congenial	adjective	formal,literary	["a congenial + noun","congenial to sb","congenial company"]
congenital	adjective	technical,academic	["a congenital + noun","a congenital defect","be congenital"]
conglomerate	noun	business,formal	["a media conglomerate","a conglomerate of + noun","break up a conglomerate"]
conglomerate	adjective	business,formal	["a conglomerate + noun","conglomerate ownership"]
congregate	verb	formal,academic	["congregate in + noun","congregate around + noun","congregate together"]
congressional	adjective	formal,academic	["congressional + noun","a congressional hearing","congressional approval"]
congressman	noun	formal	["a congressman from + noun","write to one's congressman"]
connotation	noun	academic,literary	["have connotations of + noun","a negative connotation","the connotations of + noun"]
conquer	verb	formal,literary	["conquer + noun","conquer one's fear","be conquered by + noun"]
conquest	noun	formal,academic	["the conquest of + noun","military conquest","a war of conquest"]
conscience	noun	formal,literary	["a guilty conscience","on one's conscience","a matter of conscience"]
conscious	adjective	neutral,academic	["be conscious of + noun","a conscious + noun","conscious that + clause"]
consciousness	noun	academic,formal	["lose consciousness","regain consciousness","a state of consciousness"]
consensus	noun	academic,business	["reach a consensus","a consensus on + noun","consensus among + noun"]
consent	noun	formal,technical	["give consent to + noun","without sb's consent","informed consent"]
consequent	adjective	formal,academic	["consequent + noun","consequent upon + noun","the consequent loss of + noun"]
consequential	adjective	formal,academic	["a consequential + noun","be consequential for + noun","highly consequential"]
consequently	adverb	academic,formal	["consequently, + clause"]
conservation	noun	academic,technical	["the conservation of + noun","conservation efforts","wildlife conservation"]
considerably	adverb	academic,formal	["considerably + comparative adjective","vary considerably","considerably more + noun"]
consistency	noun	academic,technical	["the consistency of + noun","a lack of consistency","consistency between A and B"]
consistent	adjective	academic,formal	["consistent with + noun","be consistent in + V-ing","a consistent + noun"]
consistently	adverb	academic,formal	["consistently + adjective","perform consistently","consistently high + noun"]
consolidation	noun	business,formal	["the consolidation of + noun","industry consolidation","consolidation into + noun"]
consonant	noun	technical,academic	["a voiced consonant","begin with a consonant","a consonant cluster"]
consonant	adjective	formal,academic	["consonant with + noun","be consonant with + noun"]
consortium	noun	business,formal	["a consortium of + noun","form a consortium","lead a consortium"]
conspicuous	adjective	formal,academic	["a conspicuous + noun","conspicuous by one's absence","make oneself conspicuous"]
conspiracy	noun	formal	["a conspiracy to + V","a conspiracy against sb","a conspiracy theory"]
conspire	verb	formal	["conspire to + V","conspire with sb","conspire against sb"]
constant	noun	technical,academic	["a constant in + noun","remain a constant","the value of the constant"]
constant	adjective	neutral,academic	["a constant + noun","constant pressure","remain constant"]
constantly	adverb	neutral,spoken	["constantly + V-ing","be constantly changing","constantly remind sb of + noun"]
consternation	noun	formal,literary	["to sb's consternation","cause consternation among + noun","much to the consternation of + noun"]
constituent	noun	formal,academic	["a constituent of + noun","meet with constituents","a key constituent"]
constituent	adjective	academic,technical	["constituent + noun","the constituent parts of + noun"]
constitute	verb	formal,academic	["A constitutes B","constitute + noun","be constituted by + noun"]
constitution	noun	formal,academic	["under the constitution","amend the constitution","a strong constitution"]
constitutional	adjective	formal,academic	["constitutional + noun","constitutional rights","be constitutional"]
consult	verb	formal,business	["consult sb about + noun","consult with sb","consult + noun"]
consultant	noun	business,formal	["a consultant on + noun","work as a consultant","hire a consultant"]
consume	verb	academic,formal	["consume + noun","consume energy","be consumed by + noun"]
consummate	verb	formal,technical	["consummate + noun","consummate a marriage","consummate a deal"]
consummate	adjective	formal,literary	["a consummate + noun","consummate skill","a consummate professional"]
consumption	noun	academic,business	["the consumption of + noun","energy consumption","fit for human consumption"]
container	noun	neutral,technical	["an airtight container","a container of + noun","store sth in a container"]
containment	noun	formal,technical	["the containment of + noun","a containment policy","containment measures"]
contemplate	verb	formal,literary	["contemplate + V-ing","contemplate + noun","contemplate whether + clause"]
contemporary	noun	academic,formal	["a contemporary of sb","sb's contemporaries","among his contemporaries"]
contemporary	adjective	academic,formal	["contemporary + noun","contemporary art","contemporary with + noun"]
contempt	noun	formal,literary	["contempt for + noun","hold sb in contempt","with contempt"]
contemptuous	adjective	formal,literary	["contemptuous of + noun","a contemptuous + noun","sound contemptuous"]
contend	verb	academic,formal	["contend that + clause","contend with + noun","contend for + noun"]
contention	noun	academic,formal	["sb's contention that + clause","a point of contention","a source of contention"]
contentious	adjective	academic,formal	["a contentious + noun","a contentious issue","highly contentious"]
contiguous	adjective	technical,academic	["contiguous with + noun","contiguous + noun","be contiguous to + noun"]
continent	noun	academic,neutral	["the continent of + noun","across the continent","on every continent"]
continent	adjective	technical,formal	["remain continent","be fully continent"]
continental	adjective	academic,neutral	["continental + noun","continental Europe","the continental shelf"]
continually	adverb	formal	["continually + V-ing","be continually changing","continually revise + noun"]
continuation	noun	formal,academic	["a continuation of + noun","the continuation of + noun","as a continuation of + noun"]
continuity	noun	academic,formal	["continuity between A and B","a sense of continuity","ensure continuity"]
continuous	adjective	academic,technical	["continuous + noun","a continuous process","be continuous with + noun"]
contractor	noun	business,technical	["hire a contractor","an independent contractor","a defense contractor"]
contradiction	noun	academic,formal	["a contradiction between A and B","a contradiction in terms","be in contradiction with + noun"]
contrary	adjective	formal,academic	["contrary to + noun","a contrary + noun","in the contrary direction"]
contrary	noun	formal,academic	["on the contrary","evidence to the contrary","quite the contrary"]
contravene	verb	formal,technical	["contravene + noun","contravene the law","contravene a regulation"]
contrite	adjective	formal,literary	["a contrite + noun","sound contrite","be contrite about + noun"]
contrive	verb	formal,literary	["contrive to + V","contrive + noun","contrive a way of + V-ing"]
controversial	adjective	academic,neutral	["a controversial + noun","highly controversial","be controversial among + noun"]
controversy	noun	academic,formal	["controversy over + noun","spark controversy","be surrounded by controversy"]
conundrum	noun	formal,academic	["a conundrum for sb","pose a conundrum","face a conundrum"]
convenience	noun	neutral,business	["for convenience","at sb's convenience","the convenience of + noun"]
convenient	adjective	neutral,spoken	["convenient for sb","convenient to + V","a convenient + noun"]
convention	noun	academic,formal	["social conventions","a convention of + noun","attend a convention"]
converge	verb	academic,technical	["converge on + noun","converge with + noun","A and B converge"]
conversely	adverb	academic,formal	["conversely, + clause"]
conversion	noun	technical,formal	["the conversion of A into B","conversion to + noun","a conversion rate"]
convert	verb	neutral,technical	["convert A into B","convert A to B","convert to + noun"]
convert	noun	formal	["a convert to + noun","a recent convert","win converts"]
convertible	adjective	business,technical	["convertible into + noun","convertible currency","be convertible"]
convertible	noun	neutral	["drive a convertible","a red convertible"]
convey	verb	formal,academic	["convey + noun","convey sth to sb","convey a sense of + noun"]
conviction	noun	formal,academic	["a conviction that + clause","speak with conviction","a conviction for + noun"]
convince	verb	formal	["convince sb to + V","convince sb that + clause","convince sb of + noun"]
cooperate	verb	formal,business	["cooperate with sb","cooperate on + noun","cooperate in + V-ing"]
cooperation	noun	formal,business	["cooperation between A and B","in cooperation with + noun","close cooperation"]
cooperative	adjective	neutral,business	["be cooperative","a cooperative + noun","cooperative with sb"]
coordination	noun	academic,business	["coordination between A and B","hand-eye coordination","in close coordination with + noun"]
cope	verb	neutral,spoken	["cope with + noun","cope on one's own","struggle to cope"]
copious	adjective	formal,academic	["copious + noun","copious amounts of + noun","take copious notes"]
copper	noun	technical,neutral	["be made of copper","copper wire","a copper + noun"]
coral	noun	technical,neutral	["a coral reef","coral bleaching","grow coral"]
cord	noun	neutral,technical	["a power cord","a length of cord","unplug the cord"]
cordial	adjective	formal	["a cordial + noun","cordial relations","be cordial to sb"]
corn	noun	neutral	["a field of corn","grow corn","corn on the cob"]
corny	adjective	informal,spoken	["a corny + noun","a corny joke","sound corny"]
corporate	adjective	business,formal	["corporate + noun","corporate culture","the corporate world"]
corps	noun	formal,technical	["join the corps","the press corps","a corps of + noun"]
corpse	noun	neutral,literary	["discover a corpse","the corpse of + noun","identify a corpse"]
corral	verb	informal	["corral + noun","corral sb into + noun","corral the cattle"]
correlate	verb	academic,technical	["correlate with + noun","correlate A with B","be positively correlated with + noun"]
correlate	noun	academic,technical	["a correlate of + noun","the neural correlates of + noun"]
correspond	verb	formal,academic	["correspond to + noun","correspond with + noun","correspond with sb"]
correspondence	noun	formal,business	["correspondence with sb","a correspondence between A and B","exchange correspondence"]
correspondent	noun	formal	["a correspondent for + noun","a foreign correspondent","our correspondent in + noun"]
corridor	noun	neutral	["along the corridor","a narrow corridor","at the end of the corridor"]
corrupt	adjective	formal	["a corrupt + noun","deeply corrupt","corrupt officials"]
corrupt	verb	formal,technical	["corrupt sb","corrupt + noun","be corrupted by + noun"]
corruption	noun	formal,academic	["corruption in + noun","fight corruption","allegations of corruption"]
cosmic	adjective	academic,literary	["cosmic + noun","cosmic radiation","on a cosmic scale"]
cosmopolitan	adjective	formal,literary	["a cosmopolitan + noun","a cosmopolitan city","distinctly cosmopolitan"]
cosmopolitan	noun	formal,literary	["a true cosmopolitan"]
costly	adjective	formal,business	["a costly + noun","prove costly","costly to + V"]
costume	noun	neutral	["wear a costume","in costume","a + noun + costume"]
counsel	noun	formal,technical	["seek counsel from sb","legal counsel","counsel for the defense"]
counsel	verb	formal,technical	["counsel sb on + noun","counsel sb to + V","counsel sb about + noun"]
counseling	noun	formal,technical	["receive counseling","counseling for + noun","offer counseling to sb"]
counselor	noun	formal	["see a counselor","a school counselor","a counselor at + noun"]
countenance	noun	literary,formal	["a + adjective + countenance","sb's countenance changed","a stern countenance"]
counteract	verb	formal,academic	["counteract + noun","counteract the effects of + noun"]
counterproductive	adjective	formal,business	["be counterproductive","prove counterproductive","a counterproductive + noun"]
countless	adjective	neutral,literary	["countless + noun","countless hours of + noun"]
coup	noun	formal	["stage a coup","a military coup","a coup against sb"]
coupon	noun	neutral,business	["a coupon for + noun","clip coupons","redeem a coupon"]
courtesy	noun	formal	["out of courtesy","common courtesy","have the courtesy to + V"]
courthouse	noun	formal	["outside the courthouse","the county courthouse","at the courthouse"]
covenant	noun	formal,technical	["a covenant with sb","enter into a covenant","a covenant between A and B"]
covenant	verb	formal,technical	["covenant to + V","covenant with sb"]
coverage	noun	neutral,business	["coverage of + noun","media coverage","insurance coverage"]
covert	adjective	formal,technical	["covert + noun","a covert operation","remain covert"]
covert	noun	technical,literary	["hide in the covert","a thick covert"]
covet	verb	formal,literary	["covet + noun","covet sth belonging to sb","be coveted by + noun"]
cowboy	noun	neutral	["work as a cowboy","a cowboy on + noun","cowboy boots"]
cower	verb	literary,neutral	["cower in + noun","cower before sb","cower in fear"]
crab	noun	neutral	["catch crabs","a crab's claws","a giant crab"]
crack	noun	neutral	["a crack in + noun","cracks appear in + noun","a hairline crack"]
craft	noun	formal	["the craft of + V-ing","traditional crafts","master a craft"]
crafty	adjective	informal	["a crafty + noun","crafty enough to + V","a crafty move"]
cramp	noun	neutral,technical	["get a cramp","muscle cramps","suffer from cramps"]
cramp	verb	informal	["cramp sb's style","be cramped by + noun","cramp + noun"]
cranky	adjective	informal,spoken	["get cranky","a cranky + noun","cranky from + noun"]
crash	noun	neutral	["a car crash","a crash in + noun","the crash of + noun"]
craven	adjective	literary,formal	["a craven + noun","craven behavior","utterly craven"]
crawl	noun	neutral	["at a crawl","slow to a crawl","swim the front crawl"]
crawl	verb	neutral	["crawl along + noun","crawl on one's hands and knees","traffic crawls"]
crease	noun	neutral	["a crease in + noun","iron out the creases","a sharp crease"]
crease	verb	neutral	["crease + noun","crease easily","be badly creased"]
credence	noun	formal,academic	["give credence to + noun","lend credence to + noun","gain credence"]
credential	noun	formal,business	["academic credentials","check sb's credentials","the credentials to + V"]
creditor	noun	business,technical	["repay one's creditors","a creditor of + noun","negotiate with creditors"]
credulous	adjective	formal,literary	["a credulous + noun","credulous enough to + V","the credulous public"]
creek	noun	neutral	["along the creek","a small creek","cross the creek"]
creep	noun	informal,spoken	["a real creep","the slow creep of + noun"]
creep	verb	neutral,literary	["creep into + noun","creep up on sb","creep along + noun"]
crew	noun	neutral,technical	["a crew of + noun","the crew of + noun","join the crew"]
cringe	verb	informal,spoken	["cringe at + noun","cringe when + clause","make sb cringe"]
cripple	noun	neutral,literary	["be left a cripple","treat sb as a cripple"]
cripple	verb	formal	["cripple + noun","be crippled by + noun","cripple the economy"]
crisp	adjective	neutral	["a crisp + noun","a crisp morning","stay crisp"]
critique	noun	academic,formal	["a critique of + noun","offer a critique","write a critique"]
crook	noun	informal,spoken	["a small-time crook","a bunch of crooks"]
crook	verb	neutral,literary	["crook one's finger","crook one's arm"]
crouch	noun	neutral,technical	["in a crouch","drop into a crouch","a low crouch"]
crouch	verb	neutral	["crouch down","crouch behind + noun","crouch beside sb"]
crown	noun	neutral,literary	["wear a crown","the crown of + noun","the crown jewels"]
crucial	adjective	academic,formal	["crucial to + noun","crucial for + noun","a crucial + noun"]
crude	adjective	technical,neutral	["crude oil","a crude + noun","crude but effective"]
cruise	noun	neutral	["go on a cruise","a cruise around + noun","a cruise ship"]
cruise	verb	neutral	["cruise at + noun","cruise along + noun","cruise around + noun"]
crush	noun	informal,spoken	["have a crush on sb","sb's first crush","a crush of + noun"]
crush	verb	neutral	["crush + noun","crush sth into + noun","be crushed by + noun"]
crust	noun	neutral,technical	["the crust of + noun","a crisp crust","the earth's crust"]
crust	verb	neutral,technical	["crust over","be crusted with + noun"]
cryptic	adjective	formal,literary	["a cryptic + noun","a cryptic remark","be cryptic about + noun"]
crystal	noun	technical,neutral	["a crystal of + noun","crystal formation","lead crystal"]
cube	noun	technical,neutral	["a cube of + noun","an ice cube","in the shape of a cube"]
cuddle	noun	informal,spoken	["give sb a cuddle","have a cuddle"]
cuddle	verb	informal,spoken	["cuddle up to sb","cuddle sb","cuddle together"]
culminate	verb	formal,academic	["culminate in + noun","culminate with + noun"]
cult	noun	neutral,academic	["a cult of + noun","join a cult","a cult leader"]
cultivate	verb	formal,academic	["cultivate + noun","cultivate a relationship with sb","cultivate land"]
cultivation	noun	academic,formal	["the cultivation of + noun","under cultivation","rice cultivation"]
cunning	adjective	literary,neutral	["a cunning + noun","a cunning plan","cunning enough to + V"]
cupboard	noun	neutral	["in the cupboard","a kitchen cupboard","open the cupboard"]
curator	noun	formal,academic	["the curator of + noun","a museum curator","serve as curator"]
curb	noun	formal	["a curb on + noun","put a curb on + noun","park at the curb"]
curb	verb	formal,business	["curb + noun","curb spending","curb the spread of + noun"]
cure	verb	neutral,technical	["cure + noun","cure sb of + noun","be cured completely"]
curiosity	noun	neutral,academic	["curiosity about + noun","out of curiosity","arouse sb's curiosity"]
curious	adjective	neutral	["curious about + noun","curious to + V","a curious + noun"]
curl	verb	neutral	["curl up","curl around + noun","curl one's hair"]
currency	noun	business,technical	["a foreign currency","gain currency","the currency of + noun"]
curriculum	noun	academic,formal	["the school curriculum","on the curriculum","a curriculum in + noun"]
curse	noun	literary,neutral	["a curse on sb","put a curse on sb","be a curse for sb"]
curse	verb	neutral,spoken	["curse at sb","curse sb","curse one's luck"]
curtail	verb	formal,business	["curtail + noun","curtail spending","be curtailed by + noun"]
curtain	noun	neutral	["draw the curtains","behind the curtain","a curtain of + noun"]
curtain	verb	formal,literary	["curtain + noun","curtain sth off"]
curve	noun	neutral,technical	["a curve in + noun","a sharp curve","plot a curve"]
cushion	noun	neutral	["sit on a cushion","a cushion on + noun","plump up the cushion"]
cushion	verb	formal,business	["cushion + noun","cushion the impact of + noun","cushion sb against + noun"]
custody	noun	formal,technical	["take sb into custody","be held in custody","custody of + noun"]
custom	noun	academic,neutral	["a local custom","it is the custom to + V","by custom"]
